Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 09:39:15
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:349.0132|y:236.0371|z:9.056425),Pos(x:-0.5713207|y:1.159597|z:1.352437)|Rot(x:5.297144|y:242.7741|z:36.02904),Pos(x:-0.5613819|y:1.199079|z:1.325118)|Rot(x:17.9228|y:279.0458|z:106.1364),Pos(x:-0.563279|y:1.191543|z:1.297698)|Rot(x:17.92275|y:279.0458|z:106.1364),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:25.17195|y:94.87733|z:359.726),Pos(x:-0.5655401|y:1.233242|z:1.35353)|Rot(x:65.18181|y:94.45766|z:359.4092),Pos(x:-0.5420747|y:1.244136|z:1.351432)|Rot(x:78.80467|y:276.2468|z:181.2772),Pos(x:-0.5157845|y:1.238914|z:1.349157)|Rot(x:78.80467|y:276.2471|z:181.2776),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:24.31335|y:90|z:0),Pos(x:-0.5661074|y:1.239542|z:1.328133)|Rot(x:63.11261|y:90|z:0),Pos(x:-0.5413844|y:1.252078|z:1.328133)|Rot(x:81.96809|y:270|z:180),Pos(x:-0.513362|y:1.248124|z:1.328133)|Rot(x:81.96813|y:269.9997|z:179.9997),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:44.88608|y:87.152|z:0.2101471),Pos(x:-0.5532823|y:1.22025|z:1.305771)|Rot(x:70.4157|y:87.42223|z:0.4442401),Pos(x:-0.5284971|y:1.22908|z:1.307091)|Rot(x:76.15116|y:343.096|z:255.6837),Pos(x:-0.5027773|y:1.227553|z:1.308434)|Rot(x:76.15118|y:343.096|z:255.6837),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:44.89266|y:85.25317|z:356.5699),Pos(x:-0.5548127|y:1.206644|z:1.283513)|Rot(x:70.42167|y:85.70335|z:356.9599),Pos(x:-0.5374894|y:1.212796|z:1.283837)|Rot(x:84.28448|y:214.9252|z:126.2537),Pos(x:-0.5183269|y:1.211666|z:1.284236)|Rot(x:84.28448|y:214.9257|z:126.2542),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:39:16
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.4174|y:227.9556|z:19.48999),Pos(x:-0.5543374|y:1.155668|z:1.358804)|Rot(x:336.4633|y:235.3443|z:36.82787),Pos(x:-0.5247336|y:1.191648|z:1.34354)|Rot(x:352.6963|y:260.4409|z:76.48155),Pos(x:-0.5192967|y:1.198256|z:1.316355)|Rot(x:352.6963|y:260.4409|z:76.48152),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:24.26911|y:94.88208|z:359.728),Pos(x:-0.566208|y:1.238525|z:1.353587)|Rot(x:62.98925|y:94.50745|z:359.454),Pos(x:-0.5431753|y:1.250312|z:1.351523)|Rot(x:82.15697|y:276.7943|z:181.8174),Pos(x:-0.5166264|y:1.246643|z:1.349219)|Rot(x:82.15688|y:276.7947|z:181.8178),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:24.07703|y:90|z:0),Pos(x:-0.5663061|y:1.244606|z:1.328133)|Rot(x:62.53872|y:90|z:0),Pos(x:-0.5417098|y:1.257388|z:1.328133)|Rot(x:82.84574|y:270|z:180),Pos(x:-0.5136302|y:1.253864|z:1.328133)|Rot(x:82.84588|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:27.00331|y:87.07957|z:0.1671116),Pos(x:-0.5649787|y:1.233716|z:1.305181)|Rot(x:69.63956|y:87.40491|z:0.4279591),Pos(x:-0.5403153|y:1.242882|z:1.306496)|Rot(x:67.66714|y:304.7211|z:215.5312),Pos(x:-0.5158123|y:1.234903|z:1.307758)|Rot(x:67.66715|y:304.721|z:215.5312),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:27.01005|y:85.13254|z:356.4982),Pos(x:-0.5646851|y:1.218804|z:1.282682)|Rot(x:69.64557|y:85.67456|z:356.9328),Pos(x:-0.5474465|y:1.22519|z:1.282999)|Rot(x:71.20382|y:251.3315|z:163.1613),Pos(x:-0.5291848|y:1.219269|z:1.283299)|Rot(x:71.20382|y:251.3316|z:163.1613),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:39:17
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:331.4915|y:233.2868|z:359.7974),Pos(x:-0.5653285|y:1.160589|z:1.366206)|Rot(x:340.3165|y:234.3654|z:12.94772),Pos(x:-0.5458472|y:1.20558|z:1.366654)|Rot(x:356.6765|y:242.5599|z:39.57026),Pos(x:-0.5363505|y:1.227512|z:1.351129)|Rot(x:356.6765|y:242.5599|z:39.57024),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:2.642247|y:94.98243|z:359.7518),Pos(x:-0.5832341|y:1.242614|z:1.355057)|Rot(x:4.446193|y:94.97459|z:359.7513),Pos(x:-0.5812393|y:1.268491|z:1.35477)|Rot(x:6.069755|y:94.9675|z:359.7506),Pos(x:-0.5784158|y:1.29524|z:1.354407)|Rot(x:6.069798|y:94.96744|z:359.7506),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:359.7293|y:90|z:0),Pos(x:-0.5880982|y:1.249199|z:1.328133)|Rot(x:3.319772|y:90|z:0),Pos(x:-0.586493|y:1.276872|z:1.328133)|Rot(x:6.551164|y:90|z:0),Pos(x:-0.5832642|y:1.304987|z:1.328133)|Rot(x:6.55112|y:90.00004|z:6.875081E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.095468|y:87.01176|z:0.1491115),Pos(x:-0.5835705|y:1.238721|z:1.304221)|Rot(x:11.15559|y:87.03306|z:0.1517689),Pos(x:-0.578484|y:1.264568|z:1.304554)|Rot(x:17.91385|y:72.76315|z:355.6817),Pos(x:-0.5703505|y:1.289047|z:1.305044)|Rot(x:17.91384|y:72.76316|z:355.6817),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.102359|y:85.01958|z:356.4682),Pos(x:-0.5803768|y:1.22304|z:1.281329)|Rot(x:11.16245|y:85.05508|z:356.4727),Pos(x:-0.5767398|y:1.241045|z:1.280509)|Rot(x:18.62082|y:89.45184|z:357.8676),Pos(x:-0.5706069|y:1.259227|z:1.279853)|Rot(x:18.62086|y:89.45179|z:357.8676),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:39:18
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:333.6535|y:234.1111|z:358.0083),Pos(x:-0.5671526|y:1.161328|z:1.366206)|Rot(x:342.5039|y:234.8877|z:11.30951),Pos(x:-0.5497981|y:1.207182|z:1.366654)|Rot(x:359.0576|y:242.6059|z:38.33435),Pos(x:-0.5413383|y:1.229535|z:1.351129)|Rot(x:359.0576|y:242.6059|z:38.33434),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:24.26911|y:94.88208|z:359.728),Pos(x:-0.566208|y:1.238525|z:1.353587)|Rot(x:62.98925|y:94.50745|z:359.454),Pos(x:-0.5431753|y:1.250312|z:1.351523)|Rot(x:82.15697|y:276.7943|z:181.8174),Pos(x:-0.5166264|y:1.246643|z:1.349219)|Rot(x:82.15688|y:276.7947|z:181.8178),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:24.07703|y:90|z:0),Pos(x:-0.5663061|y:1.244606|z:1.328133)|Rot(x:62.53872|y:90|z:0),Pos(x:-0.5417098|y:1.257388|z:1.328133)|Rot(x:82.84574|y:270|z:180),Pos(x:-0.5136302|y:1.253864|z:1.328133)|Rot(x:82.84588|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:25.29085|y:87.07404|z:0.1646717),Pos(x:-0.5662256|y:1.234329|z:1.305117)|Rot(x:65.48077|y:87.33011|z:0.3587695),Pos(x:-0.5422911|y:1.245262|z:1.306399)|Rot(x:72.28883|y:316.8125|z:228.4013),Pos(x:-0.5170566|y:1.240051|z:1.307706)|Rot(x:72.28883|y:316.8125|z:228.4013),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:25.2976|y:85.12334|z:356.4942),Pos(x:-0.5657375|y:1.219322|z:1.282592)|Rot(x:65.48695|y:85.54991|z:356.8175),Pos(x:-0.5490055|y:1.226939|z:1.282871)|Rot(x:77.29745|y:244.7036|z:156.3138),Pos(x:-0.5302022|y:1.223073|z:1.283226)|Rot(x:77.29743|y:244.7039|z:156.3141),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:39:19
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:335.1452|y:234.6234|z:356.8227),Pos(x:-0.5684198|y:1.161785|z:1.366206)|Rot(x:344.0081|y:235.2041|z:10.21151),Pos(x:-0.5525427|y:1.208171|z:1.366654)|Rot(x:0.6871728|y:242.6078|z:37.48997),Pos(x:-0.5448031|y:1.230783|z:1.351129)|Rot(x:0.6871608|y:242.6078|z:37.48997),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:24.26911|y:94.88208|z:359.728),Pos(x:-0.566208|y:1.238525|z:1.353587)|Rot(x:62.98925|y:94.50745|z:359.454),Pos(x:-0.5431753|y:1.250312|z:1.351523)|Rot(x:82.15697|y:276.7943|z:181.8174),Pos(x:-0.5166264|y:1.246643|z:1.349219)|Rot(x:82.15688|y:276.7947|z:181.8178),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:24.07703|y:90|z:0),Pos(x:-0.5663061|y:1.244606|z:1.328133)|Rot(x:62.53872|y:90|z:0),Pos(x:-0.5417098|y:1.257388|z:1.328133)|Rot(x:82.84574|y:270|z:180),Pos(x:-0.5136302|y:1.253864|z:1.328133)|Rot(x:82.84588|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:25.29085|y:87.07404|z:0.1646717),Pos(x:-0.5662256|y:1.234329|z:1.305117)|Rot(x:65.48077|y:87.33011|z:0.3587695),Pos(x:-0.5422911|y:1.245262|z:1.306399)|Rot(x:72.28883|y:316.8125|z:228.4013),Pos(x:-0.5170566|y:1.240051|z:1.307706)|Rot(x:72.28883|y:316.8125|z:228.4013),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:25.2976|y:85.12334|z:356.4942),Pos(x:-0.5657375|y:1.219322|z:1.282592)|Rot(x:65.48695|y:85.54991|z:356.8175),Pos(x:-0.5490055|y:1.226939|z:1.282871)|Rot(x:77.29745|y:244.7036|z:156.3138),Pos(x:-0.5302022|y:1.223073|z:1.283226)|Rot(x:77.29743|y:244.7039|z:156.3141),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:39:21
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:322.2699|y:227.2911|z:15.10363),Pos(x:-0.5552128|y:1.155532|z:1.362741)|Rot(x:332.5809|y:232.2979|z:29.48442),Pos(x:-0.5249044|y:1.193417|z:1.355668)|Rot(x:349.2694|y:249.746|z:60.4781),Pos(x:-0.513866|y:1.207215|z:1.333307)|Rot(x:349.2693|y:249.746|z:60.4781),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:24.26911|y:94.88208|z:359.728),Pos(x:-0.566208|y:1.238525|z:1.353587)|Rot(x:62.98925|y:94.50745|z:359.454),Pos(x:-0.5431753|y:1.250312|z:1.351523)|Rot(x:82.15697|y:276.7943|z:181.8174),Pos(x:-0.5166264|y:1.246643|z:1.349219)|Rot(x:82.15688|y:276.7947|z:181.8178),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:24.07703|y:90|z:0),Pos(x:-0.5663061|y:1.244606|z:1.328133)|Rot(x:62.53872|y:90|z:0),Pos(x:-0.5417098|y:1.257388|z:1.328133)|Rot(x:82.84574|y:270|z:180),Pos(x:-0.5136302|y:1.253864|z:1.328133)|Rot(x:82.84588|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:25.29085|y:87.07404|z:0.1646717),Pos(x:-0.5662256|y:1.234329|z:1.305117)|Rot(x:65.48077|y:87.33011|z:0.3587695),Pos(x:-0.5422911|y:1.245262|z:1.306399)|Rot(x:72.28883|y:316.8125|z:228.4013),Pos(x:-0.5170566|y:1.240051|z:1.307706)|Rot(x:72.28883|y:316.8125|z:228.4013),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:25.2976|y:85.12334|z:356.4942),Pos(x:-0.5657375|y:1.219322|z:1.282592)|Rot(x:65.48695|y:85.54991|z:356.8175),Pos(x:-0.5490055|y:1.226939|z:1.282871)|Rot(x:77.29745|y:244.7036|z:156.3138),Pos(x:-0.5302022|y:1.223073|z:1.283226)|Rot(x:77.29743|y:244.7039|z:156.3141),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 09:39:22
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:333.8347|y:226.2679|z:349.1222),Pos(x:-0.574025|y:1.160705|z:1.372685)|Rot(x:338.249|y:225.6445|z:356.1664),Pos(x:-0.5633546|y:1.206143|z:1.387703)|Rot(x:348.2188|y:226.3213|z:11.28117),Pos(x:-0.5553771|y:1.233503|z:1.387612)|Rot(x:348.2188|y:226.3213|z:11.28115),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:2.129793|y:94.98464|z:359.7519),Pos(x:-0.5836509|y:1.242631|z:1.355093)|Rot(x:2.243429|y:94.98415|z:359.7519),Pos(x:-0.5826486|y:1.268567|z:1.354893)|Rot(x:2.345697|y:94.98372|z:359.7518),Pos(x:-0.5815618|y:1.295444|z:1.354681)|Rot(x:2.345745|y:94.98365|z:359.7518),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:359.7592|y:90|z:0),Pos(x:-0.5880706|y:1.249199|z:1.328133)|Rot(x:3.376569|y:90|z:0),Pos(x:-0.586438|y:1.276871|z:1.328133)|Rot(x:6.632224|y:90|z:0),Pos(x:-0.5831695|y:1.304981|z:1.328133)|Rot(x:6.632171|y:90.00005|z:2.793458E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:359.6597|y:87.00282|z:0.148895),Pos(x:-0.586356|y:1.238789|z:1.304075)|Rot(x:3.137217|y:87.01186|z:0.1491142),Pos(x:-0.5849198|y:1.265093|z:1.304219)|Rot(x:6.126167|y:73.35681|z:358.668),Pos(x:-0.5821108|y:1.290739|z:1.304433)|Rot(x:6.12616|y:73.35681|z:358.668),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:359.6667|y:85.00469|z:356.4679),Pos(x:-0.5827277|y:1.223097|z:1.281124)|Rot(x:3.144111|y:85.01977|z:356.4682),Pos(x:-0.5816267|y:1.241421|z:1.280083)|Rot(x:6.51231|y:89.19457|z:356.9329),Pos(x:-0.579438|y:1.26047|z:1.279086)|Rot(x:6.51235|y:89.19453|z:356.9329),No,,,,2024-08-28 09:39:23
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:339.1558|y:223.931|z:350.011),Pos(x:-0.5768459|y:1.162417|z:1.369919)|Rot(x:344.5444|y:223.3586|z:358.457),Pos(x:-0.5688384|y:1.209657|z:1.380322)|Rot(x:356.5798|y:224.9945|z:16.84544),Pos(x:-0.5618473|y:1.236886|z:1.375633)|Rot(x:356.5798|y:224.9945|z:16.84541),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:8.816901|y:94.9554|z:359.7491),Pos(x:-0.5782338|y:1.24211|z:1.354622)|Rot(x:10.91915|y:94.94603|z:359.7475),Pos(x:-0.5733454|y:1.267596|z:1.354084)|Rot(x:12.81118|y:94.93748|z:359.7457),Pos(x:-0.567413|y:1.293826|z:1.353452)|Rot(x:12.81122|y:94.93742|z:359.7457),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.564123|y:90|z:0),Pos(x:-0.5799851|y:1.248611|z:1.328133)|Rot(x:22.10776|y:90|z:0),Pos(x:-0.5695529|y:1.274292|z:1.328133)|Rot(x:34.29702|y:90|z:0),Pos(x:-0.5536064|y:1.297672|z:1.328133)|Rot(x:34.29696|y:90.00006|z:3.100392E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:6.781669|y:87.0214|z:0.1499446),Pos(x:-0.5805922|y:1.238464|z:1.304376)|Rot(x:18.44662|y:87.05337|z:0.1569642),Pos(x:-0.572271|y:1.263454|z:1.304877)|Rot(x:28.10204|y:71.64454|z:352.7617),Pos(x:-0.5598047|y:1.286031|z:1.305588)|Rot(x:28.10205|y:71.64454|z:352.7617),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:6.788553|y:85.03565|z:356.4696),Pos(x:-0.5778631|y:1.222822|z:1.281548)|Rot(x:18.45342|y:85.08888|z:356.4813),Pos(x:-0.571979|y:1.24023|z:1.280921)|Rot(x:29.12156|y:89.87727|z:358.802),Pos(x:-0.5626362|y:1.256999|z:1.28054)|Rot(x:29.1216|y:89.87723|z:358.802),No,,,,2024-08-28 09:39:24
HYUNWOOK_t,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:339.0871|y:222.855|z:345.9419),Pos(x:-0.5795144|y:1.161792|z:1.371953)|Rot(x:344.6082|y:221.8696|z:354.7986),Pos(x:-0.5741746|y:1.208869|z:1.384571)|Rot(x:357.1242|y:222.8365|z:13.9424),Pos(x:-0.5681955|y:1.236495|z:1.380919)|Rot(x:357.1242|y:222.8365|z:13.94238),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.1932|y:95.00603|z:359.7517),Pos(x:-0.5876693|y:1.242607|z:1.355444)|Rot(x:357.1932|y:95.00603|z:359.7517),Pos(x:-0.5889452|y:1.268532|z:1.355443)|Rot(x:357.1932|y:95.00603|z:359.7517),Pos(x:-0.5902676|y:1.295399|z:1.355442)|Rot(x:357.1932|y:95.00597|z:359.7517),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.249135|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.27682|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.305085|z:1.328133)|Rot(x:357.1538|y:90.00006|z:-3.739872E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5883844|y:1.238732|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5896925|y:1.265044|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129447),Pos(x:-0.5909736|y:1.290812|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129502),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5844397|y:1.22305|z:1.280974)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5852451|y:1.241379|z:1.279767)|Rot(x:357.427|y:89.13229|z:356.2729),Pos(x:-0.5860863|y:1.260519|z:1.278506)|Rot(x:357.4271|y:89.13226|z:356.2728),No,,,,2024-08-28 09:39:25
