Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 16:21:52
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:342.158|y:221.2676|z:346.0805),Pos(x:-0.5813629|y:1.157599|z:1.370335)|Rot(x:355.1521|y:220.3858|z:6.290264),Pos(x:-0.5746025|y:1.20616|z:1.369992)|Rot(x:20.07458|y:234.8331|z:54.12764),Pos(x:-0.5659872|y:1.221846|z:1.347811)|Rot(x:20.07456|y:234.8331|z:54.12764),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:24.79908|y:94.8793|z:359.7269),Pos(x:-0.5658153|y:1.233371|z:1.353553)|Rot(x:64.27631|y:94.47918|z:359.4287),Pos(x:-0.5425245|y:1.244636|z:1.351469)|Rot(x:80.18925|y:276.4279|z:181.4553),Pos(x:-0.5161165|y:1.240054|z:1.349181)|Rot(x:80.18916|y:276.4283|z:181.4557),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:10.50994|y:90|z:0),Pos(x:-0.5782167|y:1.243339|z:1.328133)|Rot(x:41.43301|y:90|z:0),Pos(x:-0.5598735|y:1.264122|z:1.328133)|Rot(x:69.26377|y:90|z:0),Pos(x:-0.5334067|y:1.274142|z:1.328133)|Rot(x:69.26373|y:90.00015|z:0.0001398573),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:9.669805|y:87.02907|z:0.1510482),Pos(x:-0.5782739|y:1.233154|z:1.304497)|Rot(x:37.92054|y:87.11968|z:0.1887439),Pos(x:-0.5621084|y:1.253936|z:1.305397)|Rot(x:60.38237|y:58.92612|z:335.1892),Pos(x:-0.5390831|y:1.265509|z:1.306632)|Rot(x:60.38234|y:58.9261|z:335.1892),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:9.676662|y:85.04842|z:356.4714),Pos(x:-0.5759065|y:1.217563|z:1.281718)|Rot(x:37.92718|y:85.19936|z:356.5342),Pos(x:-0.5645725|y:1.23204|z:1.281554)|Rot(x:63.28713|y:94.73214|z:5.025281),Pos(x:-0.5474071|y:1.240637|z:1.281821)|Rot(x:63.28715|y:94.73206|z:5.025197),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:21:53
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:341.2263|y:221.9493|z:346.7309),Pos(x:-0.5803379|y:1.162467|z:1.37052)|Rot(x:354.4888|y:221.2458|z:7.318988),Pos(x:-0.5725623|y:1.210873|z:1.369913)|Rot(x:19.50687|y:236.5939|z:56.06924),Pos(x:-0.5639776|y:1.225868|z:1.347249)|Rot(x:19.50686|y:236.5939|z:56.06924),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:8.747122|y:94.95571|z:359.7491),Pos(x:-0.5782899|y:1.242119|z:1.354627)|Rot(x:56.73989|y:94.61581|z:359.5479),Pos(x:-0.5566734|y:1.256354|z:1.352676)|Rot(x:80.06214|y:276.4092|z:181.4369),Pos(x:-0.5302756|y:1.251713|z:1.35039)|Rot(x:80.0621|y:276.4095|z:181.4372),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.86746|y:90|z:0),Pos(x:-0.5778929|y:1.248253|z:1.328133)|Rot(x:43.97358|y:90|z:0),Pos(x:-0.5586465|y:1.268201|z:1.328133)|Rot(x:73.76907|y:90|z:0),Pos(x:-0.5314745|y:1.276111|z:1.328133)|Rot(x:73.76903|y:90.00015|z:0.0001405086),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:10.55737|y:87.03145|z:0.151464),Pos(x:-0.5775652|y:1.238002|z:1.304533)|Rot(x:42.58115|y:87.14052|z:0.2022175),Pos(x:-0.5597667|y:1.257399|z:1.305516)|Rot(x:67.20249|y:50.13633|z:325.3909),Pos(x:-0.5353484|y:1.265627|z:1.306815)|Rot(x:67.20249|y:50.13633|z:325.3909),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:10.56421|y:85.05238|z:356.4721),Pos(x:-0.5753083|y:1.222431|z:1.28177)|Rot(x:42.58777|y:85.23406|z:356.5567),Pos(x:-0.5628397|y:1.235943|z:1.281701)|Rot(x:71.18141|y:98.6647|z:9.24192),Pos(x:-0.5446422|y:1.242056|z:1.282047)|Rot(x:71.18144|y:98.66458|z:9.241788),No,,,,2024-08-27 16:21:54
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:339.6966|y:234.7721|z:2.389805),Pos(x:-0.5685448|y:1.163149|z:1.360838)|Rot(x:351.8013|y:237.3233|z:20.74575),Pos(x:-0.5536643|y:1.208532|z:1.34975)|Rot(x:11.47269|y:254.66|z:62.72755),Pos(x:-0.5494678|y:1.22133|z:1.324633)|Rot(x:11.47265|y:254.66|z:62.72755),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:7.52513|y:94.96111|z:359.7499),Pos(x:-0.579275|y:1.24226|z:1.354712)|Rot(x:55.19255|y:94.6372|z:359.5656),Pos(x:-0.5580494|y:1.257076|z:1.352793)|Rot(x:81.9016|y:276.7368|z:181.7605),Pos(x:-0.5315171|y:1.253288|z:1.350491)|Rot(x:81.90156|y:276.7371|z:181.7608),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.77269|y:90|z:0),Pos(x:-0.5797951|y:1.248582|z:1.328133)|Rot(x:35.51424|y:90|z:0),Pos(x:-0.5636927|y:1.271145|z:1.328133)|Rot(x:59.58166|y:90|z:0),Pos(x:-0.5392882|y:1.285473|z:1.328133)|Rot(x:59.58163|y:90.00011|z:0.0001011759),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:5.092017|y:87.01697|z:0.1494869),Pos(x:-0.5819553|y:1.238606|z:1.304305)|Rot(x:21.12062|y:87.06123|z:0.1596192),Pos(x:-0.5724788|y:1.26318|z:1.304865)|Rot(x:34.4516|y:70.56188|z:350.6467),Pos(x:-0.557503|y:1.284172|z:1.305704)|Rot(x:34.4516|y:70.56189|z:350.6467),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:5.098897|y:85.02826|z:356.4688),Pos(x:-0.5790136|y:1.222942|z:1.281448)|Rot(x:21.12741|y:85.10196|z:356.4857),Pos(x:-0.5723268|y:1.24006|z:1.28089)|Rot(x:35.69709|y:90.2767|z:359.4927),Pos(x:-0.561125|y:1.255652|z:1.280666)|Rot(x:35.69712|y:90.27665|z:359.4927),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:21:55
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:335.0809|y:233.4637|z:5.181655),Pos(x:-0.5648708|y:1.161662|z:1.361336)|Rot(x:346.7667|y:236.5235|z:22.66866),Pos(x:-0.5458089|y:1.205704|z:1.351287)|Rot(x:5.749578|y:253.5825|z:61.78313),Pos(x:-0.540006|y:1.219111|z:1.326816)|Rot(x:5.749545|y:253.5826|z:61.78313),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:6.117167|y:94.96731|z:359.7506),Pos(x:-0.5804133|y:1.242397|z:1.354811)|Rot(x:44.67418|y:94.74873|z:359.6513),Pos(x:-0.5622404|y:1.260854|z:1.353143)|Rot(x:79.37362|y:93.67211|z:358.6552),Pos(x:-0.5359036|y:1.265813|z:1.35082)|Rot(x:79.37366|y:93.67183|z:358.6549),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.824889|y:90|z:0),Pos(x:-0.5843262|y:1.249082|z:1.328133)|Rot(x:15.92771|y:90|z:0),Pos(x:-0.5767193|y:1.275738|z:1.328133)|Rot(x:26.82026|y:90|z:0),Pos(x:-0.5639505|y:1.300993|z:1.328133)|Rot(x:26.82022|y:90.00004|z:1.435031E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.4106|y:86.99957|z:0.1489529),Pos(x:-0.587369|y:1.238771|z:1.304022)|Rot(x:0.2972034|y:87.00446|z:0.1488997),Pos(x:-0.5872362|y:1.265115|z:1.304098)|Rot(x:1.974341|y:73.41695|z:359.676),Pos(x:-0.5863426|y:1.2909|z:1.304212)|Rot(x:1.974335|y:73.41695|z:359.676),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.4175|y:84.99929|z:356.468),Pos(x:-0.5835828|y:1.223083|z:1.281049)|Rot(x:0.3041259|y:85.00745|z:356.4679),Pos(x:-0.5833871|y:1.241434|z:1.279929)|Rot(x:2.251836|y:89.15228|z:356.6216),Pos(x:-0.5826173|y:1.260586|z:1.278809)|Rot(x:2.251872|y:89.15224|z:356.6216),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:21:56
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:330.9058|y:231.8393|z:8.755774),Pos(x:-0.5613137|y:1.159925|z:1.361336)|Rot(x:342.407|y:235.716|z:25.70382),Pos(x:-0.5383021|y:1.202038|z:1.351287)|Rot(x:0.7122551|y:253.6662|z:63.26516),Pos(x:-0.5312967|y:1.214858|z:1.326816)|Rot(x:0.7122227|y:253.6662|z:63.26515),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:6.701612|y:94.96473|z:359.7503),Pos(x:-0.5799404|y:1.242343|z:1.35477)|Rot(x:44.87902|y:94.74696|z:359.6501),Pos(x:-0.5617018|y:1.260735|z:1.353096)|Rot(x:79.23685|y:93.6893|z:358.6721),Pos(x:-0.535377|y:1.265758|z:1.350774)|Rot(x:79.23688|y:93.68904|z:358.6718),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:4.657004|y:90|z:0),Pos(x:-0.5835614|y:1.249025|z:1.328133)|Rot(x:18.44768|y:90|z:0),Pos(x:-0.5747899|y:1.275321|z:1.328133)|Rot(x:30.85931|y:90|z:0),Pos(x:-0.5602739|y:1.299614|z:1.328133)|Rot(x:30.85928|y:90.00005|z:2.188067E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.9824|y:87.00105|z:0.1489145),Pos(x:-0.5869054|y:1.238782|z:1.304047)|Rot(x:1.782988|y:87.00832|z:0.148967),Pos(x:-0.5860904|y:1.265113|z:1.304158)|Rot(x:4.218002|y:73.3936|z:359.1325),Pos(x:-0.5841604|y:1.290841|z:1.304326)|Rot(x:4.217996|y:73.3936|z:359.1325),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.9893|y:85.00177|z:356.4679),Pos(x:-0.5831914|y:1.223092|z:1.281084)|Rot(x:1.789892|y:85.0139|z:356.468),Pos(x:-0.5825219|y:1.241434|z:1.280005)|Rot(x:4.554119|y:89.17223|z:356.7892),Pos(x:-0.5809844|y:1.260544|z:1.278952)|Rot(x:4.554152|y:89.17217|z:356.7892),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:21:57
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:312.0955|y:216.352|z:33.07882),Pos(x:-0.5465509|y:1.146667|z:1.361336)|Rot(x:321.5114|y:226.6863|z:44.46328),Pos(x:-0.5071458|y:1.174058|z:1.351287)|Rot(x:335.3114|y:251.9707|z:71.21584),Pos(x:-0.4951498|y:1.182396|z:1.326816)|Rot(x:335.3113|y:251.9707|z:71.21582),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:7.206341|y:94.9625|z:359.7501),Pos(x:-0.5795324|y:1.242293|z:1.354735)|Rot(x:59.86277|y:94.56676|z:359.5061),Pos(x:-0.5571749|y:1.255325|z:1.352724)|Rot(x:72.74308|y:275.7921|z:180.8358),Pos(x:-0.5315802|y:1.247346|z:1.350523)|Rot(x:72.743|y:275.7923|z:180.836),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.29695|y:90|z:0),Pos(x:-0.5757036|y:1.247784|z:1.328133)|Rot(x:62.53719|y:90|z:0),Pos(x:-0.5511078|y:1.260568|z:1.328133)|Rot(x:73.14659|y:270|z:180),Pos(x:-0.5240232|y:1.252363|z:1.328133)|Rot(x:73.14661|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:11.58214|y:87.03422|z:0.1519875),Pos(x:-0.5767494|y:1.237842|z:1.304576)|Rot(x:52.23086|y:87.19585|z:0.2430959),Pos(x:-0.5559552|y:1.253977|z:1.305706)|Rot(x:76.51397|y:1.948142|z:275.0871),Pos(x:-0.5301961|y:1.254511|z:1.307056)|Rot(x:76.51402|y:1.948149|z:275.0871),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:11.58899|y:85.05699|z:356.473),Pos(x:-0.5746198|y:1.222295|z:1.281829)|Rot(x:52.23732|y:85.32625|z:356.6248),Pos(x:-0.5600698|y:1.233535|z:1.281932)|Rot(x:85.52666|y:163.3608|z:74.53408),Pos(x:-0.5408783|y:1.233935|z:1.282341)|Rot(x:85.52683|y:163.3613|z:74.53453),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:21:58
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.9604|y:214.5521|z:35.48283),Pos(x:-0.5457295|y:1.145442|z:1.361336)|Rot(x:320.1007|y:225.5806|z:46.21267),Pos(x:-0.5054122|y:1.17147|z:1.351287)|Rot(x:333.4525|y:251.678|z:71.89263),Pos(x:-0.4931386|y:1.179394|z:1.326816)|Rot(x:333.4524|y:251.678|z:71.89261),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:9.065903|y:94.95429|z:359.7489),Pos(x:-0.5780335|y:1.242078|z:1.354605)|Rot(x:62.1561|y:94.52444|z:359.4691),Pos(x:-0.5551741|y:1.254201|z:1.352555)|Rot(x:70.05942|y:275.6774|z:180.7271),Pos(x:-0.5299791|y:1.245028|z:1.350393)|Rot(x:70.05939|y:275.6775|z:180.7272),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.78079|y:90|z:0),Pos(x:-0.576167|y:1.247891|z:1.328133)|Rot(x:57.00249|y:90|z:0),Pos(x:-0.5529188|y:1.262988|z:1.328133)|Rot(x:83.19807|y:270|z:180),Pos(x:-0.524818|y:1.259636|z:1.328133)|Rot(x:83.19807|y:269.9997|z:179.9997),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:10.30216|y:87.03077|z:0.1513407),Pos(x:-0.5777687|y:1.238039|z:1.304523)|Rot(x:43.9551|y:87.14726|z:0.2068367),Pos(x:-0.5595108|y:1.257004|z:1.305528)|Rot(x:69.40795|y:45.63773|z:320.5427),Pos(x:-0.5347152|y:1.26401|z:1.306844)|Rot(x:69.40791|y:45.63773|z:320.5427),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:10.30901|y:85.05125|z:356.4719),Pos(x:-0.5754802|y:1.222462|z:1.281755)|Rot(x:43.96167|y:85.24525|z:356.5644),Pos(x:-0.5626923|y:1.235673|z:1.281713)|Rot(x:73.92764|y:100.9895|z:11.66516),Pos(x:-0.5442152|y:1.240879|z:1.282079)|Rot(x:73.92769|y:100.9894|z:11.66508),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:21:59
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:311.6303|y:215.6373|z:34.03837),Pos(x:-0.5462136|y:1.146175|z:1.361336)|Rot(x:320.9376|y:226.2484|z:45.16252),Pos(x:-0.5064338|y:1.173018|z:1.351287)|Rot(x:334.559|y:251.8558|z:71.4871),Pos(x:-0.4943238|y:1.18119|z:1.326816)|Rot(x:334.559|y:251.8558|z:71.48708),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:8.906515|y:94.95501|z:359.749),Pos(x:-0.5781617|y:1.242099|z:1.354616)|Rot(x:61.29174|y:94.54113|z:359.4838),Pos(x:-0.5554872|y:1.254566|z:1.35258)|Rot(x:71.5582|y:275.7374|z:180.7838),Pos(x:-0.5300621|y:1.246057|z:1.350396)|Rot(x:71.55816|y:275.7377|z:180.784),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.56215|y:90|z:0),Pos(x:-0.5763636|y:1.247936|z:1.328133)|Rot(x:55.33783|y:90|z:0),Pos(x:-0.5535638|y:1.263701|z:1.328133)|Rot(x:86.16416|y:270|z:180),Pos(x:-0.5253271|y:1.261807|z:1.328133)|Rot(x:86.16411|y:269.9994|z:179.9994),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:10.06692|y:87.03012|z:0.1512166),Pos(x:-0.5779566|y:1.238073|z:1.304513)|Rot(x:42.55229|y:87.14039|z:0.2021169),Pos(x:-0.5601678|y:1.25748|z:1.305495)|Rot(x:67.51058|y:49.57782|z:324.7847),Pos(x:-0.5356946|y:1.265542|z:1.306797)|Rot(x:67.51058|y:49.5778|z:324.7847),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:10.07376|y:85.05019|z:356.4717),Pos(x:-0.5756387|y:1.222491|z:1.281741)|Rot(x:42.55889|y:85.23382|z:356.5565),Pos(x:-0.5631768|y:1.236009|z:1.281672)|Rot(x:71.55681|y:98.93979|z:9.530455),Pos(x:-0.5449386|y:1.242|z:1.282021)|Rot(x:71.55684|y:98.9397|z:9.530355),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:22:00
HYW_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:312.6678|y:217.1913|z:31.94262),Pos(x:-0.5469674|y:1.147256|z:1.361336)|Rot(x:322.21|y:227.1989|z:43.63332),Pos(x:-0.5080248|y:1.1753|z:1.351287)|Rot(x:336.2209|y:252.1034|z:70.89248),Pos(x:-0.4961697|y:1.183837|z:1.326816)|Rot(x:336.2209|y:252.1035|z:70.89246),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:8.879948|y:94.95513|z:359.749),Pos(x:-0.5781831|y:1.242102|z:1.354618)|Rot(x:61.3194|y:94.54059|z:359.4833),Pos(x:-0.5555026|y:1.254559|z:1.352582)|Rot(x:71.4817|y:275.7341|z:180.7807),Pos(x:-0.5300887|y:1.246016|z:1.350398)|Rot(x:71.48166|y:275.7344|z:180.7809),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.58037|y:90|z:0),Pos(x:-0.5763472|y:1.247932|z:1.328133)|Rot(x:55.52293|y:90|z:0),Pos(x:-0.5534965|y:1.263623|z:1.328133)|Rot(x:85.8288|y:270|z:180),Pos(x:-0.5252715|y:1.261565|z:1.328133)|Rot(x:85.82886|y:269.9991|z:179.9992),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:10.09971|y:87.03022|z:0.1512358),Pos(x:-0.5779304|y:1.238068|z:1.304514)|Rot(x:42.75894|y:87.14139|z:0.2028037),Pos(x:-0.5600718|y:1.257411|z:1.3055)|Rot(x:67.79789|y:49.03858|z:324.2007),Pos(x:-0.5355481|y:1.265318|z:1.306804)|Rot(x:67.79794|y:49.03858|z:324.2007),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:10.10656|y:85.05035|z:356.4718),Pos(x:-0.5756166|y:1.222487|z:1.281743)|Rot(x:42.76554|y:85.23548|z:356.5577),Pos(x:-0.5631062|y:1.235961|z:1.281678)|Rot(x:71.90902|y:99.20876|z:9.812033),Pos(x:-0.5448305|y:1.241836|z:1.28203)|Rot(x:71.90907|y:99.20864|z:9.811916),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:22:01
