Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 16:59:53
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:322.2304|y:226.8256|z:18.41199),Pos(x:-0.553937|y:1.149962|z:1.360898)|Rot(x:333.2978|y:233.235|z:33.90253),Pos(x:-0.5229192|y:1.186316|z:1.349935)|Rot(x:349.8642|y:254.5684|z:68.34705),Pos(x:-0.5140869|y:1.196668|z:1.324893)|Rot(x:349.8641|y:254.5684|z:68.34703),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:358.3956|y:95.00082|z:359.7519),Pos(x:-0.5866909|y:1.237671|z:1.355359)|Rot(x:6.632281|y:94.96504|z:359.7504),Pos(x:-0.5837141|y:1.263453|z:1.354987)|Rot(x:14.04526|y:94.93183|z:359.7444),Pos(x:-0.5772204|y:1.289548|z:1.354306)|Rot(x:14.04531|y:94.93178|z:359.7444),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:2.652771|y:90|z:0),Pos(x:-0.5854048|y:1.244169|z:1.328133)|Rot(x:10.94138|y:90|z:0),Pos(x:-0.5801435|y:1.271384|z:1.328133)|Rot(x:18.4011|y:90|z:0),Pos(x:-0.57121|y:1.298237|z:1.328133)|Rot(x:18.40107|y:90.00005|z:1.529625E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:0.6038082|y:87.00526|z:0.1489064),Pos(x:-0.5855903|y:1.233812|z:1.304115)|Rot(x:5.703365|y:87.01857|z:0.149635),Pos(x:-0.5829794|y:1.260026|z:1.30432)|Rot(x:10.03757|y:73.23174|z:357.7045),Pos(x:-0.5783791|y:1.285411|z:1.304627)|Rot(x:10.03756|y:73.23174|z:357.7045),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:0.6107147|y:85.00879|z:356.4679),Pos(x:-0.5820815|y:1.218121|z:1.281181)|Rot(x:5.710247|y:85.03094|z:356.4691),Pos(x:-0.5801644|y:1.236382|z:1.280211)|Rot(x:10.5274|y:89.25641|z:357.2324),Pos(x:-0.5766488|y:1.255236|z:1.279329)|Rot(x:10.52744|y:89.25636|z:357.2323),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:59:54
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:322.1063|y:226.7404|z:18.51525),Pos(x:-0.5538558|y:1.154861|z:1.360924)|Rot(x:333.1516|y:233.169|z:33.95735),Pos(x:-0.5227374|y:1.191145|z:1.350013)|Rot(x:349.6958|y:254.4916|z:68.28648),Pos(x:-0.5138404|y:1.201519|z:1.325004)|Rot(x:349.6958|y:254.4916|z:68.28645),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.4366|y:95.00064|z:359.752),Pos(x:-0.5866575|y:1.242646|z:1.355356)|Rot(x:6.551292|y:94.96539|z:359.7504),Pos(x:-0.583717|y:1.268432|z:1.354987)|Rot(x:13.85446|y:94.93272|z:359.7446),Pos(x:-0.5773099|y:1.294549|z:1.354313)|Rot(x:13.85449|y:94.93264|z:359.7446),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:2.653437|y:90|z:0),Pos(x:-0.5854041|y:1.249143|z:1.328133)|Rot(x:10.93092|y:90|z:0),Pos(x:-0.5801478|y:1.27636|z:1.328133)|Rot(x:18.38065|y:90|z:0),Pos(x:-0.571224|y:1.303216|z:1.328133)|Rot(x:18.38061|y:90.00005|z:1.529443E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:0.753282|y:87.00565|z:0.1489066),Pos(x:-0.5854691|y:1.238785|z:1.304122)|Rot(x:6.076151|y:87.01955|z:0.1497322),Pos(x:-0.5826879|y:1.264982|z:1.304335)|Rot(x:10.59479|y:73.20836|z:357.5656),Pos(x:-0.577834|y:1.290319|z:1.304655)|Rot(x:10.59478|y:73.20836|z:357.5656),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:0.7601908|y:85.00943|z:356.4679),Pos(x:-0.5819792|y:1.223094|z:1.281189)|Rot(x:6.083021|y:85.03255|z:356.4693),Pos(x:-0.5799438|y:1.241343|z:1.28023)|Rot(x:11.09956|y:89.26701|z:357.2757),Pos(x:-0.5762403|y:1.260162|z:1.279365)|Rot(x:11.0996|y:89.26695|z:357.2757),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:59:55
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:314.2921|y:219.245|z:29.71444),Pos(x:-0.5479102|y:1.148634|z:1.360924)|Rot(x:324.2656|y:228.7851|z:42.36142),Pos(x:-0.5102262|y:1.178042|z:1.350013)|Rot(x:338.7178|y:253.6013|z:71.54202),Pos(x:-0.4994521|y:1.18645|z:1.325004)|Rot(x:338.7177|y:253.6013|z:71.54202),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.7239|y:94.99938|z:359.752),Pos(x:-0.5864237|y:1.242652|z:1.355335)|Rot(x:11.65848|y:94.94271|z:359.7468),Pos(x:-0.5812081|y:1.268072|z:1.354769)|Rot(x:23.29959|y:94.88708|z:359.73),Pos(x:-0.5706177|y:1.292778|z:1.353736)|Rot(x:23.29964|y:94.88701|z:359.73),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.743947|y:90|z:0),Pos(x:-0.5844007|y:1.249087|z:1.328133)|Rot(x:14.17324|y:90|z:0),Pos(x:-0.5776134|y:1.275963|z:1.328133)|Rot(x:23.55961|y:90|z:0),Pos(x:-0.5663018|y:1.301904|z:1.328133)|Rot(x:23.55957|y:90.00006|z:1.490258E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.259497|y:87.01479|z:0.1493041),Pos(x:-0.5826283|y:1.238661|z:1.30427)|Rot(x:15.57348|y:87.04519|z:0.1545705),Pos(x:-0.5755686|y:1.264038|z:1.304706)|Rot(x:25.02388|y:72.05318|z:353.6937),Pos(x:-0.5643759|y:1.287275|z:1.305352)|Rot(x:25.02387|y:72.0532|z:353.6937),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.266385|y:85.02465|z:356.4685),Pos(x:-0.5795816|y:1.222989|z:1.281399)|Rot(x:15.5803|y:85.07528|z:356.4773),Pos(x:-0.5745738|y:1.240666|z:1.280696)|Rot(x:25.94374|y:89.72448|z:358.5014),Pos(x:-0.5661746|y:1.257925|z:1.280234)|Rot(x:25.94378|y:89.72443|z:358.5014),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:59:56
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:313.7408|y:218.5377|z:30.69796),Pos(x:-0.5475061|y:1.148108|z:1.360924)|Rot(x:323.6072|y:228.362|z:43.08011),Pos(x:-0.5093759|y:1.176935|z:1.350013)|Rot(x:337.8756|y:253.5023|z:71.80961),Pos(x:-0.4984742|y:1.185177|z:1.325004)|Rot(x:337.8756|y:253.5023|z:71.80959),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:11.64873|y:94.94274|z:359.7468),Pos(x:-0.5759647|y:1.241699|z:1.354426)|Rot(x:52.58774|y:94.66968|z:359.5919),Pos(x:-0.5554323|y:1.257468|z:1.352563)|Rot(x:89.38261|y:71.33389|z:336.3386),Pos(x:-0.5286359|y:1.257734|z:1.35022)|Rot(x:89.38261|y:71.32818|z:336.333),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:19.59372|y:90|z:0),Pos(x:-0.5701405|y:1.246142|z:1.328133)|Rot(x:69.37413|y:90|z:0),Pos(x:-0.5441978|y:1.255907|z:1.328133)|Rot(x:65.82354|y:270|z:180),Pos(x:-0.51838|y:1.244316|z:1.328133)|Rot(x:65.82358|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:15.05843|y:87.04375|z:0.1541851),Pos(x:-0.574006|y:1.237191|z:1.304718)|Rot(x:53.338|y:87.20372|z:0.2493581),Pos(x:-0.5529042|y:1.252921|z:1.305863)|Rot(x:76.388|y:6.167938|z:279.4303),Pos(x:-0.5271588|y:1.253916|z:1.307213)|Rot(x:76.38799|y:6.167931|z:279.4303),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:15.06526|y:85.07288|z:356.4767),Pos(x:-0.5723043|y:1.221745|z:1.282029)|Rot(x:53.34446|y:85.33935|z:356.6353),Pos(x:-0.5575407|y:1.232702|z:1.28215)|Rot(x:85.21362|y:151.2748|z:62.41328),Pos(x:-0.5383593|y:1.233444|z:1.282559)|Rot(x:85.21357|y:151.2749|z:62.41333),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:59:57
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:312.0534|y:216.1582|z:33.9454),Pos(x:-0.5462803|y:1.146402|z:1.360924)|Rot(x:321.5521|y:226.9284|z:45.43875),Pos(x:-0.5067967|y:1.173345|z:1.350013)|Rot(x:335.212|y:253.1561|z:72.67902),Pos(x:-0.495508|y:1.181049|z:1.325004)|Rot(x:335.2119|y:253.1562|z:72.67899),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:24.69666|y:94.87983|z:359.7271),Pos(x:-0.5658911|y:1.23838|z:1.35356)|Rot(x:62.21878|y:94.52319|z:359.468),Pos(x:-0.5430186|y:1.250477|z:1.351508)|Rot(x:84.00452|y:277.3555|z:182.3746),Pos(x:-0.5163659|y:1.24767|z:1.349192)|Rot(x:84.00455|y:277.3561|z:182.3752),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:26.87033|y:90|z:0),Pos(x:-0.5639822|y:1.243498|z:1.328133)|Rot(x:67.65335|y:90|z:0),Pos(x:-0.5383443|y:1.254038|z:1.328133)|Rot(x:75.64197|y:270|z:180),Pos(x:-0.5109283|y:1.24702|z:1.328133)|Rot(x:75.64198|y:269.9998|z:179.9998),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:23.75068|y:87.0692|z:0.1626684),Pos(x:-0.5673622|y:1.234848|z:1.305059)|Rot(x:60.2331|y:87.26403|z:0.2999064),Pos(x:-0.5445269|y:1.247927|z:1.306288)|Rot(x:76.22583|y:344.3833|z:257.0102),Pos(x:-0.5187989|y:1.246546|z:1.307632)|Rot(x:76.22583|y:344.3833|z:257.0103),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:23.75744|y:85.1153|z:356.4908),Pos(x:-0.5666969|y:1.219762|z:1.28251)|Rot(x:60.23941|y:85.43979|z:356.7195),Pos(x:-0.5507286|y:1.228873|z:1.282729)|Rot(x:84.48765|y:212.3376|z:123.6552),Pos(x:-0.53156|y:1.227851|z:1.283128)|Rot(x:84.48765|y:212.338|z:123.6555),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:59:58
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:339.9747|y:222.0941|z:344.8419),Pos(x:-0.5808276|y:1.161823|z:1.372019)|Rot(x:345.7162|y:220.9772|z:354.0886),Pos(x:-0.5767494|y:1.209085|z:1.384415)|Rot(x:358.7686|y:221.9174|z:14.09439),Pos(x:-0.5711883|y:1.23672|z:1.38022)|Rot(x:358.7686|y:221.9174|z:14.0944),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5876924|y:1.242606|z:1.355446)|Rot(x:359.6883|y:94.99522|z:359.752),Pos(x:-0.5878428|y:1.268561|z:1.355347)|Rot(x:1.959596|y:94.98538|z:359.7519),Pos(x:-0.5869366|y:1.295445|z:1.355151)|Rot(x:1.959644|y:94.98532|z:359.7519),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:358.6627|y:90|z:0),Pos(x:-0.5890811|y:1.249185|z:1.328133)|Rot(x:0.8317395|y:90|z:0),Pos(x:-0.5886788|y:1.276902|z:1.328133)|Rot(x:2.783933|y:90|z:0),Pos(x:-0.5873042|y:1.305169|z:1.328133)|Rot(x:2.783884|y:90.00005|z:5.983477E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.276|y:86.99921|z:0.1489609),Pos(x:-0.5874782|y:1.238768|z:1.304016)|Rot(x:359.881|y:87.00338|z:0.1488969),Pos(x:-0.5875364|y:1.265112|z:1.304082)|Rot(x:1.323475|y:73.41975|z:359.8334),Pos(x:-0.5869439|y:1.290905|z:1.30418)|Rot(x:1.323467|y:73.41976|z:359.8334),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.2829|y:84.99871|z:356.468),Pos(x:-0.5836748|y:1.22308|z:1.281041)|Rot(x:359.8879|y:85.00566|z:356.4679),Pos(x:-0.583612|y:1.241432|z:1.27991)|Rot(x:1.583986|y:89.14774|z:356.5732),Pos(x:-0.5830652|y:1.26059|z:1.27877)|Rot(x:1.58402|y:89.1477|z:356.5732),No,,,,2024-08-27 16:59:59
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:325.1491|y:230.1081|z:6.155578),Pos(x:-0.5598752|y:1.15783|z:1.36594)|Rot(x:333.9904|y:232.3805|z:18.86378),Pos(x:-0.534083|y:1.199527|z:1.365803)|Rot(x:349.8713|y:242.6446|z:44.57368),Pos(x:-0.5217209|y:1.219513|z:1.349679)|Rot(x:349.8713|y:242.6447|z:44.57364),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:1.926545|y:94.98552|z:359.7519),Pos(x:-0.5838163|y:1.242637|z:1.355108)|Rot(x:27.7938|y:94.86316|z:359.7197),Pos(x:-0.5717678|y:1.265598|z:1.353955)|Rot(x:51.07417|y:94.68684|z:359.6053),Pos(x:-0.5509263|y:1.282499|z:1.35206)|Rot(x:51.0742|y:94.68674|z:359.6053),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:9.838373|y:90|z:0),Pos(x:-0.5788259|y:1.248423|z:1.328133)|Rot(x:34.31546|y:90|z:0),Pos(x:-0.563199|y:1.271318|z:1.328133)|Rot(x:56.34482|y:90|z:0),Pos(x:-0.5396425|y:1.287002|z:1.328133)|Rot(x:56.3448|y:90.0001|z:7.702846E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:8.464024|y:87.02586|z:0.1505387),Pos(x:-0.5792397|y:1.238283|z:1.304446)|Rot(x:29.7414|y:87.08876|z:0.1714809),Pos(x:-0.5661916|y:1.261156|z:1.305189)|Rot(x:47.138|y:66.97606|z:345.1413),Pos(x:-0.5467811|y:1.27812|z:1.306249)|Rot(x:47.138|y:66.97607|z:345.1414),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:8.470888|y:85.04307|z:356.4706),Pos(x:-0.5767216|y:1.222668|z:1.281647)|Rot(x:29.7481|y:85.14784|z:356.5055),Pos(x:-0.5675535|y:1.238602|z:1.281301)|Rot(x:48.97167|y:91.59657|z:1.353796),Pos(x:-0.5530663|y:1.251202|z:1.281351)|Rot(x:48.97171|y:91.5965|z:1.353747),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:00:00
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:324.848|y:229.9312|z:6.463835),Pos(x:-0.55963|y:1.157677|z:1.36594)|Rot(x:333.6793|y:232.2625|z:19.13142),Pos(x:-0.5335523|y:1.199197|z:1.365803)|Rot(x:349.5223|y:242.6118|z:44.75732),Pos(x:-0.5210534|y:1.219097|z:1.349679)|Rot(x:349.5223|y:242.6118|z:44.75731),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:1.966228|y:94.98534|z:359.7519),Pos(x:-0.583784|y:1.242636|z:1.355105)|Rot(x:27.78089|y:94.86325|z:359.7197),Pos(x:-0.5717407|y:1.2656|z:1.353953)|Rot(x:51.01395|y:94.68751|z:359.6059),Pos(x:-0.5509169|y:1.282523|z:1.352059)|Rot(x:51.014|y:94.6874|z:359.6058),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.1377|y:90|z:0),Pos(x:-0.5785542|y:1.248375|z:1.328133)|Rot(x:35.28096|y:90|z:0),Pos(x:-0.5625437|y:1.271004|z:1.328133)|Rot(x:57.90991|y:90|z:0),Pos(x:-0.5385676|y:1.286038|z:1.328133)|Rot(x:57.90987|y:90.00008|z:7.392636E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:9.021087|y:87.02734|z:0.1507562),Pos(x:-0.5787931|y:1.238214|z:1.30447)|Rot(x:31.54261|y:87.09508|z:0.1747017),Pos(x:-0.5650334|y:1.260666|z:1.305248)|Rot(x:49.87231|y:65.82127|z:343.5899),Pos(x:-0.5447848|y:1.276616|z:1.30635)|Rot(x:49.8723|y:65.8213|z:343.59),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:9.027939|y:85.04555|z:356.471),Pos(x:-0.5763447|y:1.22261|z:1.28168)|Rot(x:31.54929|y:85.15838|z:356.5109),Pos(x:-0.5666821|y:1.23825|z:1.281375)|Rot(x:51.87204|y:92.02806|z:1.897048),Pos(x:-0.551574|y:1.250098|z:1.281476)|Rot(x:51.87209|y:92.02799|z:1.896986),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:00:01
eunchae_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:323.6514|y:229.1971|z:7.720188),Pos(x:-0.5586597|y:1.157049|z:1.36594)|Rot(x:332.4402|y:231.7708|z:20.21668),Pos(x:-0.5314528|y:1.197837|z:1.365803)|Rot(x:348.1274|y:242.4686|z:45.49623),Pos(x:-0.5184126|y:1.217387|z:1.349679)|Rot(x:348.1274|y:242.4686|z:45.49622),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:2.005913|y:94.98518|z:359.7519),Pos(x:-0.5837517|y:1.242635|z:1.355102)|Rot(x:27.82059|y:94.86301|z:359.7196),Pos(x:-0.5716925|y:1.26559|z:1.353948)|Rot(x:51.05364|y:94.68708|z:359.6056),Pos(x:-0.5508571|y:1.282499|z:1.352054)|Rot(x:51.05369|y:94.68697|z:359.6055),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.05232|y:90|z:0),Pos(x:-0.5786317|y:1.248389|z:1.328133)|Rot(x:34.97136|y:90|z:0),Pos(x:-0.5627437|y:1.271104|z:1.328133)|Rot(x:57.39852|y:90|z:0),Pos(x:-0.5389028|y:1.286351|z:1.328133)|Rot(x:57.39845|y:90.00008|z:7.923014E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:8.363699|y:87.0256|z:0.1505006),Pos(x:-0.5793202|y:1.238294|z:1.304442)|Rot(x:29.36438|y:87.08748|z:0.1708453),Pos(x:-0.5664227|y:1.261254|z:1.305177)|Rot(x:46.54943|y:67.20185|z:345.4531),Pos(x:-0.5471985|y:1.278428|z:1.306228)|Rot(x:46.54941|y:67.20187|z:345.4531),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:8.370576|y:85.04263|z:356.4705),Pos(x:-0.5767896|y:1.222679|z:1.281641)|Rot(x:29.3711|y:85.1457|z:356.5044),Pos(x:-0.567726|y:1.238672|z:1.281286)|Rot(x:48.34973|y:91.5127|z:1.245709),Pos(x:-0.5533769|y:1.251429|z:1.281325)|Rot(x:48.34978|y:91.51263|z:1.245648),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 17:00:02
