Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 16:00:14
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:309.4102|y:213.0566|z:33.18839),Pos(x:-0.5464034|y:1.140358|z:1.364238)|Rot(x:317.478|y:222.0945|z:42.18955),Pos(x:-0.5055103|y:1.167132|z:1.360384)|Rot(x:330.5269|y:242.8812|z:62.92517),Pos(x:-0.488262|y:1.178425|z:1.340706)|Rot(x:330.5269|y:242.8812|z:62.92515),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:5.827478|y:94.96857|z:359.7508),Pos(x:-0.5806479|y:1.237447|z:1.354832)|Rot(x:25.55384|y:94.87531|z:359.7252),Pos(x:-0.5695028|y:1.260864|z:1.353756)|Rot(x:43.30751|y:94.76013|z:359.6592),Pos(x:-0.5511289|y:1.280438|z:1.352065)|Rot(x:43.30755|y:94.76006|z:359.6592),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:8.559255|y:90|z:0),Pos(x:-0.5799896|y:1.243637|z:1.328133)|Rot(x:26.74702|y:90|z:0),Pos(x:-0.5675144|y:1.268391|z:1.328133)|Rot(x:43.11601|y:90|z:0),Pos(x:-0.5481719|y:1.289049|z:1.328133)|Rot(x:43.11597|y:90.00008|z:4.912311E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:4.498626|y:87.01541|z:0.1493533),Pos(x:-0.5824349|y:1.233672|z:1.30428)|Rot(x:15.83322|y:87.04591|z:0.1547623),Pos(x:-0.5752604|y:1.259016|z:1.304722)|Rot(x:25.29272|y:72.02015|z:353.6143),Pos(x:-0.5639551|y:1.282198|z:1.305374)|Rot(x:25.29271|y:72.02014|z:353.6143),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:4.505518|y:85.02567|z:356.4686),Pos(x:-0.5794184|y:1.218002|z:1.281413)|Rot(x:15.84003|y:85.07649|z:356.4777),Pos(x:-0.5743308|y:1.235656|z:1.280717)|Rot(x:26.22106|y:89.73691|z:358.5269),Pos(x:-0.5658482|y:1.252875|z:1.280263)|Rot(x:26.22109|y:89.73685|z:358.5269),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:15
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.2043|y:214.4814|z:31.33378),Pos(x:-0.5469961|y:1.146213|z:1.364238)|Rot(x:318.4442|y:223.043|z:40.77321),Pos(x:-0.506783|y:1.173998|z:1.360384)|Rot(x:331.8002|y:243.2375|z:62.18647),Pos(x:-0.4898215|y:1.185718|z:1.340706)|Rot(x:331.8002|y:243.2375|z:62.18644),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.860679|y:94.96841|z:359.7507),Pos(x:-0.580621|y:1.242419|z:1.354829)|Rot(x:25.52193|y:94.87548|z:359.7252),Pos(x:-0.5694889|y:1.265841|z:1.353755)|Rot(x:43.21701|y:94.76087|z:359.6598),Pos(x:-0.5511459|y:1.285445|z:1.352067)|Rot(x:43.21704|y:94.76081|z:359.6597),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.562624|y:90|z:0),Pos(x:-0.5799865|y:1.248611|z:1.328133)|Rot(x:26.72621|y:90|z:0),Pos(x:-0.5675203|y:1.273369|z:1.328133)|Rot(x:43.07345|y:90|z:0),Pos(x:-0.5481932|y:1.294042|z:1.328133)|Rot(x:43.07339|y:90.00006|z:4.207627E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.479779|y:87.01536|z:0.1493479),Pos(x:-0.5824502|y:1.238647|z:1.304279)|Rot(x:15.77028|y:87.04573|z:0.1547151),Pos(x:-0.5753035|y:1.264|z:1.304719)|Rot(x:25.19358|y:72.0324|z:353.6436),Pos(x:-0.5640396|y:1.287202|z:1.305369)|Rot(x:25.19358|y:72.03239|z:353.6436),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.486674|y:85.02561|z:356.4686),Pos(x:-0.5794312|y:1.222977|z:1.281412)|Rot(x:15.7771|y:85.0762|z:356.4776),Pos(x:-0.574363|y:1.240637|z:1.280714)|Rot(x:26.1188|y:89.73231|z:358.5175),Pos(x:-0.5659111|y:1.257871|z:1.280257)|Rot(x:26.11883|y:89.73226|z:358.5175),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:16
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.4086|y:214.8298|z:30.8769),Pos(x:-0.5471486|y:1.146432|z:1.364238)|Rot(x:318.69|y:223.2743|z:40.42365),Pos(x:-0.5071105|y:1.174469|z:1.360384)|Rot(x:332.1212|y:243.3235|z:62.00343),Pos(x:-0.4902228|y:1.186295|z:1.340706)|Rot(x:332.1211|y:243.3235|z:62.00342),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.794294|y:94.9687|z:359.7508),Pos(x:-0.5806748|y:1.242424|z:1.354834)|Rot(x:25.45555|y:94.87583|z:359.7254),Pos(x:-0.5695697|y:1.26586|z:1.353762)|Rot(x:43.15061|y:94.76141|z:359.6601),Pos(x:-0.5512493|y:1.285485|z:1.352076)|Rot(x:43.15067|y:94.76133|z:359.6601),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.559783|y:90|z:0),Pos(x:-0.5799891|y:1.248612|z:1.328133)|Rot(x:26.74376|y:90|z:0),Pos(x:-0.5675153|y:1.273366|z:1.328133)|Rot(x:43.10933|y:90|z:0),Pos(x:-0.5481753|y:1.294026|z:1.328133)|Rot(x:43.10927|y:90.00007|z:5.14567E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.439373|y:87.01525|z:0.1493408),Pos(x:-0.5824828|y:1.23865|z:1.304278)|Rot(x:15.67455|y:87.04547|z:0.1546468),Pos(x:-0.5753785|y:1.264014|z:1.304716)|Rot(x:25.053|y:72.04964|z:353.6851),Pos(x:-0.5641736|y:1.287245|z:1.305362)|Rot(x:25.053|y:72.04963|z:353.6851),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.446263|y:85.02542|z:356.4686),Pos(x:-0.5794588|y:1.22298|z:1.281409)|Rot(x:15.68137|y:85.07576|z:356.4774),Pos(x:-0.57442|y:1.240648|z:1.28071)|Rot(x:25.97378|y:89.72581|z:358.5042),Pos(x:-0.5660117|y:1.257903|z:1.280249)|Rot(x:25.97381|y:89.72577|z:358.5042),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:17
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.9948|y:214.1223|z:31.78716),Pos(x:-0.5468472|y:1.145991|z:1.364249)|Rot(x:318.1879|y:222.7952|z:41.11098),Pos(x:-0.5064592|y:1.173525|z:1.360419)|Rot(x:331.4644|y:243.117|z:62.33649),Pos(x:-0.4894076|y:1.18515|z:1.340763)|Rot(x:331.4644|y:243.1171|z:62.33646),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.794294|y:94.9687|z:359.7508),Pos(x:-0.5806748|y:1.242424|z:1.354834)|Rot(x:25.52065|y:94.87548|z:359.7252),Pos(x:-0.5695432|y:1.265847|z:1.35376)|Rot(x:43.27432|y:94.7604|z:359.6594),Pos(x:-0.5511806|y:1.285432|z:1.35207)|Rot(x:43.27435|y:94.76031|z:359.6594),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.557836|y:90|z:0),Pos(x:-0.5799909|y:1.248612|z:1.328133)|Rot(x:26.75579|y:90|z:0),Pos(x:-0.5675119|y:1.273364|z:1.328133)|Rot(x:43.13396|y:90|z:0),Pos(x:-0.5481629|y:1.294016|z:1.328133)|Rot(x:43.13391|y:90.00007|z:4.679766E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.478429|y:87.01536|z:0.1493541),Pos(x:-0.5824512|y:1.238647|z:1.304279)|Rot(x:15.78534|y:87.0458|z:0.1547337),Pos(x:-0.5752979|y:1.263998|z:1.30472)|Rot(x:25.2224|y:72.02884|z:353.6351),Pos(x:-0.564022|y:1.287194|z:1.30537)|Rot(x:25.22239|y:72.02884|z:353.6351),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.485322|y:85.02559|z:356.4686),Pos(x:-0.5794321|y:1.222977|z:1.281412)|Rot(x:15.79216|y:85.07627|z:356.4776),Pos(x:-0.5743593|y:1.240636|z:1.280715)|Rot(x:26.14853|y:89.73363|z:358.5203),Pos(x:-0.5658985|y:1.257865|z:1.280258)|Rot(x:26.14854|y:89.73358|z:358.5202),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:18
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.4016|y:214.8234|z:30.86937),Pos(x:-0.5471509|y:1.146431|z:1.364249)|Rot(x:318.6783|y:223.261|z:40.40889),Pos(x:-0.5071113|y:1.174469|z:1.360419)|Rot(x:332.1058|y:243.2908|z:61.96886),Pos(x:-0.4902068|y:1.186306|z:1.340763)|Rot(x:332.1057|y:243.2909|z:61.96883),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.761099|y:94.96883|z:359.7508),Pos(x:-0.5807016|y:1.242427|z:1.354836)|Rot(x:25.55256|y:94.87531|z:359.7252),Pos(x:-0.5695571|y:1.265844|z:1.353761)|Rot(x:43.36484|y:94.75968|z:359.6589),Pos(x:-0.5511637|y:1.2854|z:1.352069)|Rot(x:43.36485|y:94.7596|z:359.6589),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.554461|y:90|z:0),Pos(x:-0.579994|y:1.248612|z:1.328133)|Rot(x:26.7766|y:90|z:0),Pos(x:-0.567506|y:1.27336|z:1.328133)|Rot(x:43.17651|y:90|z:0),Pos(x:-0.5481417|y:1.293997|z:1.328133)|Rot(x:43.17648|y:90.00008|z:5.151327E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.457687|y:87.0153|z:0.1493447),Pos(x:-0.582468|y:1.238649|z:1.304278)|Rot(x:15.74354|y:87.04567|z:0.1546956),Pos(x:-0.5753332|y:1.264004|z:1.304718)|Rot(x:25.16369|y:72.03606|z:353.6524),Pos(x:-0.5640818|y:1.287213|z:1.305367)|Rot(x:25.16369|y:72.03607|z:353.6524),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.464574|y:85.02551|z:356.4686),Pos(x:-0.5794463|y:1.222978|z:1.28141)|Rot(x:15.75035|y:85.0761|z:356.4775),Pos(x:-0.5743863|y:1.240641|z:1.280712)|Rot(x:26.08797|y:89.73092|z:358.5147),Pos(x:-0.5659437|y:1.257879|z:1.280254)|Rot(x:26.08799|y:89.73087|z:358.5147),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:19
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.387|y:214.7987|z:30.90168),Pos(x:-0.5471399|y:1.146415|z:1.364249)|Rot(x:318.6608|y:223.2447|z:40.43364),Pos(x:-0.5070879|y:1.174435|z:1.360419)|Rot(x:332.083|y:243.2848|z:61.98183),Pos(x:-0.4901782|y:1.186265|z:1.340763)|Rot(x:332.0829|y:243.2848|z:61.98182),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.794294|y:94.9687|z:359.7508),Pos(x:-0.5806748|y:1.242424|z:1.354834)|Rot(x:25.52065|y:94.87548|z:359.7252),Pos(x:-0.5695432|y:1.265847|z:1.35376)|Rot(x:43.27432|y:94.7604|z:359.6594),Pos(x:-0.5511806|y:1.285432|z:1.35207)|Rot(x:43.27435|y:94.76031|z:359.6594),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.541155|y:90|z:0),Pos(x:-0.5800061|y:1.248614|z:1.328133)|Rot(x:26.71034|y:90|z:0),Pos(x:-0.5675467|y:1.273376|z:1.328133)|Rot(x:43.06261|y:90|z:0),Pos(x:-0.5482236|y:1.294052|z:1.328133)|Rot(x:43.06255|y:90.00007|z:4.206884E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.458641|y:87.0153|z:0.1493494),Pos(x:-0.5824673|y:1.238649|z:1.304278)|Rot(x:15.73298|y:87.04565|z:0.1546849),Pos(x:-0.5753371|y:1.264006|z:1.304718)|Rot(x:25.14352|y:72.03853|z:353.6584),Pos(x:-0.5640942|y:1.287218|z:1.305367)|Rot(x:25.14351|y:72.03854|z:353.6584),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.465524|y:85.02551|z:356.4686),Pos(x:-0.5794457|y:1.222978|z:1.28141)|Rot(x:15.7398|y:85.07603|z:356.4775),Pos(x:-0.5743889|y:1.240642|z:1.280712)|Rot(x:26.06714|y:89.72998|z:358.5128),Pos(x:-0.5659525|y:1.257883|z:1.280254)|Rot(x:26.06717|y:89.72993|z:358.5128),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:20
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.5905|y:215.1395|z:30.45361),Pos(x:-0.5472919|y:1.146631|z:1.364249)|Rot(x:318.9045|y:223.4708|z:40.09048),Pos(x:-0.5074142|y:1.174899|z:1.360419)|Rot(x:332.4002|y:243.3687|z:61.80175),Pos(x:-0.4905781|y:1.186833|z:1.340763)|Rot(x:332.4002|y:243.3687|z:61.8017),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.794294|y:94.9687|z:359.7508),Pos(x:-0.5806748|y:1.242424|z:1.354834)|Rot(x:25.52065|y:94.87548|z:359.7252),Pos(x:-0.5695432|y:1.265847|z:1.35376)|Rot(x:43.27432|y:94.7604|z:359.6594),Pos(x:-0.5511806|y:1.285432|z:1.35207)|Rot(x:43.27435|y:94.76031|z:359.6594),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.557836|y:90|z:0),Pos(x:-0.5799909|y:1.248612|z:1.328133)|Rot(x:26.75579|y:90|z:0),Pos(x:-0.5675119|y:1.273364|z:1.328133)|Rot(x:43.13396|y:90|z:0),Pos(x:-0.5481629|y:1.294016|z:1.328133)|Rot(x:43.13391|y:90.00007|z:4.679766E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.656486|y:87.01582|z:0.1493873),Pos(x:-0.5823073|y:1.238636|z:1.304287)|Rot(x:16.25667|y:87.04711|z:0.1550969),Pos(x:-0.5749459|y:1.263927|z:1.304738)|Rot(x:25.93255|y:71.93954|z:353.4238),Pos(x:-0.5633737|y:1.286976|z:1.305404)|Rot(x:25.93253|y:71.93955|z:353.4239),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.663377|y:85.02636|z:356.4687),Pos(x:-0.5793107|y:1.222968|z:1.281422)|Rot(x:16.26349|y:85.07848|z:356.4782),Pos(x:-0.5740933|y:1.240585|z:1.280738)|Rot(x:26.88127|y:89.76717|z:358.5882),Pos(x:-0.5654129|y:1.257705|z:1.2803)|Rot(x:26.88131|y:89.76712|z:358.5882),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:21
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.5905|y:215.1395|z:30.45361),Pos(x:-0.5472919|y:1.146631|z:1.364249)|Rot(x:318.9045|y:223.4708|z:40.09048),Pos(x:-0.5074142|y:1.174899|z:1.360419)|Rot(x:332.4002|y:243.3687|z:61.80175),Pos(x:-0.4905781|y:1.186833|z:1.340763)|Rot(x:332.4002|y:243.3687|z:61.8017),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.794294|y:94.9687|z:359.7508),Pos(x:-0.5806748|y:1.242424|z:1.354834)|Rot(x:25.52065|y:94.87548|z:359.7252),Pos(x:-0.5695432|y:1.265847|z:1.35376)|Rot(x:43.27432|y:94.7604|z:359.6594),Pos(x:-0.5511806|y:1.285432|z:1.35207)|Rot(x:43.27435|y:94.76031|z:359.6594),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.657854|y:90|z:0),Pos(x:-0.5798997|y:1.248598|z:1.328133)|Rot(x:27.02846|y:90|z:0),Pos(x:-0.5673031|y:1.27329|z:1.328133)|Rot(x:43.562|y:90|z:0),Pos(x:-0.5478004|y:1.293797|z:1.328133)|Rot(x:43.56199|y:90.00006|z:4.005951E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.636713|y:87.01577|z:0.1493848),Pos(x:-0.5823233|y:1.238637|z:1.304286)|Rot(x:16.20428|y:87.04697|z:0.1550619),Pos(x:-0.574985|y:1.263935|z:1.304736)|Rot(x:25.85364|y:71.94964|z:353.4474),Pos(x:-0.5634456|y:1.287001|z:1.3054)|Rot(x:25.85363|y:71.94964|z:353.4474),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.643608|y:85.02628|z:356.4687),Pos(x:-0.5793241|y:1.222969|z:1.281421)|Rot(x:16.2111|y:85.07824|z:356.4781),Pos(x:-0.5741228|y:1.240591|z:1.280735)|Rot(x:26.79981|y:89.76338|z:358.5806),Pos(x:-0.5654668|y:1.257723|z:1.280295)|Rot(x:26.79986|y:89.76333|z:358.5806),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:22
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.5905|y:215.1395|z:30.45361),Pos(x:-0.5472919|y:1.146631|z:1.364249)|Rot(x:318.9045|y:223.4708|z:40.09048),Pos(x:-0.5074142|y:1.174899|z:1.360419)|Rot(x:332.4002|y:243.3687|z:61.80175),Pos(x:-0.4905781|y:1.186833|z:1.340763)|Rot(x:332.4002|y:243.3687|z:61.8017),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.860679|y:94.96841|z:359.7507),Pos(x:-0.580621|y:1.242419|z:1.354829)|Rot(x:25.52193|y:94.87548|z:359.7252),Pos(x:-0.5694889|y:1.265841|z:1.353755)|Rot(x:43.21701|y:94.76087|z:359.6598),Pos(x:-0.5511459|y:1.285445|z:1.352067)|Rot(x:43.21704|y:94.76081|z:359.6597),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.729486|y:90|z:0),Pos(x:-0.5798345|y:1.248588|z:1.328133)|Rot(x:27.18006|y:90|z:0),Pos(x:-0.5671725|y:1.273247|z:1.328133)|Rot(x:43.78555|y:90|z:0),Pos(x:-0.54759|y:1.293677|z:1.328133)|Rot(x:43.78551|y:90.00007|z:4.966995E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.77661|y:87.01614|z:0.1494138),Pos(x:-0.5822102|y:1.238628|z:1.304292)|Rot(x:16.55493|y:87.04796|z:0.155334),Pos(x:-0.5747174|y:1.26388|z:1.30475)|Rot(x:26.37533|y:71.88211|z:353.2908),Pos(x:-0.5629613|y:1.286836|z:1.305425)|Rot(x:26.37533|y:71.88211|z:353.2908),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.783491|y:85.02689|z:356.4687),Pos(x:-0.5792287|y:1.222961|z:1.281429)|Rot(x:16.56174|y:85.07988|z:356.4786),Pos(x:-0.5739201|y:1.240551|z:1.280753)|Rot(x:27.33827|y:89.78869|z:358.6311),Pos(x:-0.5651035|y:1.257602|z:1.280327)|Rot(x:27.33832|y:89.78864|z:358.6311),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:23
haeun_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.5905|y:215.1395|z:30.45361),Pos(x:-0.5472919|y:1.146631|z:1.364249)|Rot(x:318.9045|y:223.4708|z:40.09048),Pos(x:-0.5074142|y:1.174899|z:1.360419)|Rot(x:332.4002|y:243.3687|z:61.80175),Pos(x:-0.4905781|y:1.186833|z:1.340763)|Rot(x:332.4002|y:243.3687|z:61.8017),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.761099|y:94.96883|z:359.7508),Pos(x:-0.5807016|y:1.242427|z:1.354836)|Rot(x:25.48747|y:94.87566|z:359.7253),Pos(x:-0.5695836|y:1.265857|z:1.353763)|Rot(x:43.24112|y:94.76067|z:359.6596),Pos(x:-0.5512323|y:1.285452|z:1.352074)|Rot(x:43.24116|y:94.7606|z:359.6596),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.856142|y:90|z:0),Pos(x:-0.5797191|y:1.24857|z:1.328133)|Rot(x:27.58272|y:90|z:0),Pos(x:-0.5668842|y:1.273139|z:1.328133)|Rot(x:44.43663|y:90|z:0),Pos(x:-0.5470707|y:1.293346|z:1.328133)|Rot(x:44.4366|y:90.00009|z:6.217735E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.794397|y:87.01618|z:0.1494108),Pos(x:-0.5821958|y:1.238626|z:1.304293)|Rot(x:16.62818|y:87.04816|z:0.1553967),Pos(x:-0.5746708|y:1.263869|z:1.304752)|Rot(x:26.49424|y:71.86646|z:353.2549),Pos(x:-0.5628654|y:1.2868|z:1.30543)|Rot(x:26.49423|y:71.86646|z:353.2549),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.801281|y:85.02696|z:356.4687),Pos(x:-0.5792165|y:1.22296|z:1.28143)|Rot(x:16.635|y:85.08022|z:356.4787),Pos(x:-0.5738856|y:1.240543|z:1.280756)|Rot(x:27.46101|y:89.79453|z:358.6427),Pos(x:-0.5650325|y:1.257575|z:1.280333)|Rot(x:27.46106|y:89.79449|z:358.6426),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:00:24
