Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 16:22:25
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:310.6218|y:214.3013|z:34.53219),Pos(x:-0.5460003|y:1.140579|z:1.362207)|Rot(x:319.4877|y:224.6519|z:44.81157),Pos(x:-0.5055377|y:1.167024|z:1.353996)|Rot(x:332.9071|y:249.0506|z:69.11104),Pos(x:-0.4916953|y:1.176071|z:1.330784)|Rot(x:332.907|y:249.0506|z:69.111),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:3.816492|y:94.97733|z:359.7515),Pos(x:-0.5822795|y:1.237585|z:1.354974)|Rot(x:19.34042|y:94.90685|z:359.7372),Pos(x:-0.5737252|y:1.262076|z:1.35412)|Rot(x:33.31193|y:94.83092|z:359.7033),Pos(x:-0.5590162|y:1.284556|z:1.352737)|Rot(x:33.31197|y:94.83084|z:359.7033),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:10.50818|y:90|z:0),Pos(x:-0.5782183|y:1.24334|z:1.328133)|Rot(x:31.61429|y:90|z:0),Pos(x:-0.5636877|y:1.266946|z:1.328133)|Rot(x:50.60981|y:90|z:0),Pos(x:-0.5418163|y:1.284905|z:1.328133)|Rot(x:50.60977|y:90.00007|z:3.497975E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:8.728798|y:87.02657|z:0.1506388),Pos(x:-0.5790274|y:1.233276|z:1.304457)|Rot(x:26.84071|y:87.07904|z:0.1668719),Pos(x:-0.567152|y:1.256782|z:1.30514)|Rot(x:41.70415|y:68.80756|z:347.7762),Pos(x:-0.5495365|y:1.275607|z:1.306111)|Rot(x:41.70415|y:68.80756|z:347.7762),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:8.735654|y:85.04424|z:356.4708),Pos(x:-0.5765424|y:1.217667|z:1.281663)|Rot(x:26.84746|y:85.13165|z:356.4978),Pos(x:-0.568189|y:1.234041|z:1.281247)|Rot(x:43.25618|y:90.92014|z:0.4509157),Pos(x:-0.5550317|y:1.248024|z:1.281187)|Rot(x:43.25623|y:90.92007|z:0.4508714),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:26
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:311.3368|y:215.4815|z:32.96894),Pos(x:-0.5465226|y:1.146334|z:1.362207)|Rot(x:320.3719|y:225.395|z:43.65719),Pos(x:-0.5066465|y:1.173655|z:1.353996)|Rot(x:334.0751|y:249.2723|z:68.6142),Pos(x:-0.4930047|y:1.183002|z:1.330784)|Rot(x:334.0751|y:249.2723|z:68.61417),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:3.971916|y:94.97665|z:359.7514),Pos(x:-0.5821532|y:1.242551|z:1.354963)|Rot(x:19.32587|y:94.9069|z:359.7372),Pos(x:-0.5736051|y:1.267044|z:1.354109)|Rot(x:33.14441|y:94.83195|z:359.7039),Pos(x:-0.5589617|y:1.289567|z:1.352732)|Rot(x:33.14445|y:94.83188|z:359.7038),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:11.90273|y:90|z:0),Pos(x:-0.5769576|y:1.248064|z:1.328133)|Rot(x:35.20859|y:90|z:0),Pos(x:-0.5609757|y:1.270713|z:1.328133)|Rot(x:56.18386|y:90|z:0),Pos(x:-0.5374633|y:1.286463|z:1.328133)|Rot(x:56.18383|y:90.00007|z:6.136405E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:9.612502|y:87.02892|z:0.1510095),Pos(x:-0.5783197|y:1.238136|z:1.304494)|Rot(x:29.08342|y:87.08652|z:0.1703734),Pos(x:-0.5655348|y:1.261158|z:1.305223)|Rot(x:44.9869|y:67.76654|z:346.2471),Pos(x:-0.5468149|y:1.278883|z:1.306249)|Rot(x:44.9869|y:67.76653|z:346.2471),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:9.619368|y:85.04816|z:356.4714),Pos(x:-0.5759452|y:1.222544|z:1.281714)|Rot(x:29.09015|y:85.14411|z:356.5037),Pos(x:-0.5669599|y:1.238581|z:1.281352)|Rot(x:46.70235|y:91.3036|z:0.9719728),Pos(x:-0.5529843|y:1.251747|z:1.28136)|Rot(x:46.70238|y:91.30355|z:0.9719213),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:27
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:314.3632|y:220.1646|z:24.71909),Pos(x:-0.5496114|y:1.149891|z:1.363501)|Rot(x:323.5485|y:227.3275|z:36.32376),Pos(x:-0.5126696|y:1.181666|z:1.358056)|Rot(x:338.3081|y:246.5496|z:61.76857),Pos(x:-0.4981056|y:1.194193|z:1.337003)|Rot(x:338.3081|y:246.5496|z:61.76857),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:23.27455|y:94.88719|z:359.7301),Pos(x:-0.5669492|y:1.238853|z:1.35365)|Rot(x:44.01082|y:94.75433|z:359.6552),Pos(x:-0.5489905|y:1.25752|z:1.352)|Rot(x:62.67318|y:94.51398|z:359.4598),Pos(x:-0.5251876|y:1.269868|z:1.349866)|Rot(x:62.67324|y:94.51388|z:359.4597),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:31.28332|y:90|z:0),Pos(x:-0.5604285|y:1.241522|z:1.328133)|Rot(x:65.2441|y:90|z:0),Pos(x:-0.5352563|y:1.25313|z:1.328133)|Rot(x:84.19124|y:270|z:180),Pos(x:-0.5071017|y:1.250266|z:1.328133)|Rot(x:84.19121|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.15016|y:87.07046|z:0.1631758),Pos(x:-0.5670661|y:1.234716|z:1.305074)|Rot(x:62.71059|y:87.29229|z:0.324744),Pos(x:-0.5436874|y:1.246795|z:1.306329)|Rot(x:74.68856|y:328.6383|z:240.7407),Pos(x:-0.5181377|y:1.243465|z:1.307658)|Rot(x:74.68856|y:328.6382|z:240.7406),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.15693|y:85.11735|z:356.4917),Pos(x:-0.5664469|y:1.21965|z:1.282532)|Rot(x:62.71685|y:85.48691|z:356.7608),Pos(x:-0.5501011|y:1.228065|z:1.28278)|Rot(x:81.14978|y:235.2533|z:146.7186),Pos(x:-0.5310644|y:1.225595|z:1.283162)|Rot(x:81.14983|y:235.2536|z:146.7189),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:28
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:315.3889|y:221.3595|z:23.03298),Pos(x:-0.550388|y:1.15077|z:1.363501)|Rot(x:324.7104|y:228.0918|z:35.01954),Pos(x:-0.514331|y:1.183545|z:1.358056)|Rot(x:339.7504|y:246.7881|z:61.10241),Pos(x:-0.500116|y:1.196466|z:1.337003)|Rot(x:339.7503|y:246.7881|z:61.10239),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.8249|y:94.99895|z:359.752),Pos(x:-0.5863415|y:1.242653|z:1.355328)|Rot(x:2.45091|y:94.98325|z:359.7518),Pos(x:-0.5852455|y:1.268585|z:1.35512)|Rot(x:5.714327|y:94.96906|z:359.7508),Pos(x:-0.5825874|y:1.295352|z:1.354771)|Rot(x:5.714374|y:94.96899|z:359.7508),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:4.367492|y:90|z:0),Pos(x:-0.5838274|y:1.249046|z:1.328133)|Rot(x:14.81093|y:90|z:0),Pos(x:-0.5767415|y:1.275845|z:1.328133)|Rot(x:24.21004|y:90|z:0),Pos(x:-0.5651361|y:1.301656|z:1.328133)|Rot(x:24.21|y:90.00005|z:2.527485E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.020712|y:87.01154|z:0.149098),Pos(x:-0.583631|y:1.238725|z:1.304218)|Rot(x:11.49034|y:87.03395|z:0.1519392),Pos(x:-0.5783938|y:1.264541|z:1.304559)|Rot(x:18.59542|y:72.70779|z:355.4991),Pos(x:-0.569961|y:1.288919|z:1.305064)|Rot(x:18.59541|y:72.70779|z:355.4992),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.027615|y:85.01926|z:356.4682),Pos(x:-0.5804279|y:1.223043|z:1.281325)|Rot(x:11.49719|y:85.05658|z:356.4729),Pos(x:-0.5766863|y:1.241026|z:1.280513)|Rot(x:19.32197|y:89.47367|z:357.9254),Pos(x:-0.5703315|y:1.259133|z:1.279876)|Rot(x:19.32202|y:89.47362|z:357.9254),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:29
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:326.0002|y:231.7453|z:359.515),Pos(x:-0.5629854|y:1.158405|z:1.369047)|Rot(x:332.9585|y:232.4064|z:9.847522),Pos(x:-0.5404676|y:1.201432|z:1.375801)|Rot(x:345.9521|y:237.3317|z:29.3364),Pos(x:-0.5278539|y:1.225533|z:1.367302)|Rot(x:345.9521|y:237.3317|z:29.33638),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:5.375049|y:94.97054|z:359.7509),Pos(x:-0.5810145|y:1.242458|z:1.354864)|Rot(x:16.19647|y:94.92184|z:359.7418),Pos(x:-0.5738114|y:1.267383|z:1.354126)|Rot(x:25.93575|y:94.87328|z:359.7243),Pos(x:-0.5621|y:1.291574|z:1.352997)|Rot(x:25.93579|y:94.87321|z:359.7242),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.16018|y:90|z:0),Pos(x:-0.5758263|y:1.247813|z:1.328133)|Rot(x:35.63861|y:90|z:0),Pos(x:-0.5596749|y:1.270341|z:1.328133)|Rot(x:55.86918|y:90|z:0),Pos(x:-0.5362493|y:1.28622|z:1.328133)|Rot(x:55.86913|y:90.0001|z:7.912566E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:10.06783|y:87.03013|z:0.1512187),Pos(x:-0.5779558|y:1.238073|z:1.304513)|Rot(x:28.23709|y:87.08365|z:0.1690053),Pos(x:-0.5655119|y:1.261282|z:1.305225)|Rot(x:43.07806|y:68.39401|z:347.1573),Pos(x:-0.547427|y:1.279655|z:1.306219)|Rot(x:43.07806|y:68.39404|z:347.1573),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:10.07469|y:85.0502|z:356.4717),Pos(x:-0.5756381|y:1.222491|z:1.281741)|Rot(x:28.24381|y:85.13934|z:356.5014),Pos(x:-0.5668896|y:1.238658|z:1.281359)|Rot(x:44.69622|y:91.07218|z:0.6608705),Pos(x:-0.5533845|y:1.252305|z:1.281328)|Rot(x:44.69625|y:91.07213|z:0.6608181),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:30
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:316.5731|y:225.0258|z:10.20381),Pos(x:-0.555522|y:1.153388|z:1.369047)|Rot(x:323.3245|y:227.3526|z:19.37269),Pos(x:-0.524183|y:1.190485|z:1.375801)|Rot(x:335.5071|y:234.8715|z:36.75068),Pos(x:-0.5066279|y:1.211266|z:1.367302)|Rot(x:335.5071|y:234.8715|z:36.75066),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:10.9593|y:94.94585|z:359.7474),Pos(x:-0.5765153|y:1.241809|z:1.354473)|Rot(x:27.04977|y:94.86725|z:359.7216),Pos(x:-0.5647648|y:1.264926|z:1.353346)|Rot(x:41.53118|y:94.77425|z:359.6688),Pos(x:-0.5470045|y:1.285063|z:1.351707)|Rot(x:41.53121|y:94.77415|z:359.6687),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:17.59742|y:90|z:0),Pos(x:-0.5718843|y:1.246729|z:1.328133)|Rot(x:44.70403|y:90|z:0),Pos(x:-0.5523851|y:1.26643|z:1.328133)|Rot(x:69.09998|y:90|z:0),Pos(x:-0.5259471|y:1.276526|z:1.328133)|Rot(x:69.09994|y:90.00011|z:0.0001005174),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:13.36806|y:87.03909|z:0.1530381),Pos(x:-0.5753351|y:1.237528|z:1.304649)|Rot(x:35.04146|y:87.10812|z:0.1818614),Pos(x:-0.5602325|y:1.259097|z:1.305496)|Rot(x:52.41228|y:64.56664|z:341.9701),Pos(x:-0.5392467|y:1.274062|z:1.306633)|Rot(x:52.41229|y:64.56665|z:341.9701),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:13.37489|y:85.0651|z:356.4748),Pos(x:-0.5734261|y:1.22203|z:1.281932)|Rot(x:35.04814|y:85.18007|z:356.5228),Pos(x:-0.5628306|y:1.237055|z:1.281707)|Rot(x:54.58569|y:92.50254|z:2.47442),Pos(x:-0.5471762|y:1.24817|z:1.281852)|Rot(x:54.58574|y:92.50245|z:2.474349),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:31
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:317.4684|y:225.8475|z:8.998639),Pos(x:-0.5562167|y:1.153962|z:1.369047)|Rot(x:324.2533|y:227.9722|z:18.32383),Pos(x:-0.5256987|y:1.191738|z:1.375801)|Rot(x:336.5368|y:235.1918|z:35.96253),Pos(x:-0.5086035|y:1.212898|z:1.367302)|Rot(x:336.5368|y:235.1918|z:35.96251),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:11.11023|y:94.94516|z:359.7473),Pos(x:-0.5763946|y:1.241786|z:1.354463)|Rot(x:27.37068|y:94.86549|z:359.7208),Pos(x:-0.5645154|y:1.264836|z:1.353325)|Rot(x:42.00504|y:94.77058|z:359.6663),Pos(x:-0.5465897|y:1.284824|z:1.351671)|Rot(x:42.00507|y:94.77049|z:359.6663),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:17.64836|y:90|z:0),Pos(x:-0.5718395|y:1.246714|z:1.328133)|Rot(x:44.79575|y:90|z:0),Pos(x:-0.5523088|y:1.266385|z:1.328133)|Rot(x:69.22838|y:90|z:0),Pos(x:-0.5258483|y:1.276421|z:1.328133)|Rot(x:69.22836|y:90.00014|z:0.0001348147),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:13.48083|y:87.03939|z:0.1531183),Pos(x:-0.5752461|y:1.237507|z:1.304654)|Rot(x:35.28173|y:87.10904|z:0.1823953),Pos(x:-0.5600533|y:1.259012|z:1.305505)|Rot(x:52.74024|y:64.38983|z:341.7463),Pos(x:-0.5389752|y:1.273847|z:1.306647)|Rot(x:52.74024|y:64.38983|z:341.7463),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:13.48765|y:85.06562|z:356.4749),Pos(x:-0.573351|y:1.222012|z:1.281939)|Rot(x:35.28842|y:85.18164|z:356.5237),Pos(x:-0.5626928|y:1.236992|z:1.281718)|Rot(x:54.93768|y:92.56991|z:2.555047),Pos(x:-0.5469701|y:1.248011|z:1.281869)|Rot(x:54.93773|y:92.56985|z:2.554984),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:32
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:317.4684|y:225.8475|z:8.998639),Pos(x:-0.5562167|y:1.153962|z:1.369047)|Rot(x:324.2533|y:227.9722|z:18.32383),Pos(x:-0.5256987|y:1.191738|z:1.375801)|Rot(x:336.5368|y:235.1918|z:35.96253),Pos(x:-0.5086035|y:1.212898|z:1.367302)|Rot(x:336.5368|y:235.1918|z:35.96251),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:11.11023|y:94.94516|z:359.7473),Pos(x:-0.5763946|y:1.241786|z:1.354463)|Rot(x:27.71062|y:94.86362|z:359.7199),Pos(x:-0.5643793|y:1.264764|z:1.353313)|Rot(x:42.65092|y:94.76546|z:359.6629),Pos(x:-0.5462303|y:1.284549|z:1.351641)|Rot(x:42.65098|y:94.76537|z:359.6628),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:17.9028|y:90|z:0),Pos(x:-0.5716162|y:1.246643|z:1.328133)|Rot(x:45.56411|y:90|z:0),Pos(x:-0.5518235|y:1.26605|z:1.328133)|Rot(x:70.45928|y:90|z:0),Pos(x:-0.5251535|y:1.275515|z:1.328133)|Rot(x:70.45926|y:90.00013|z:0.0001174179),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:13.7708|y:87.0402|z:0.1533076),Pos(x:-0.5750175|y:1.237452|z:1.304665)|Rot(x:36.07827|y:87.11218|z:0.1842167),Pos(x:-0.5595276|y:1.258743|z:1.305532)|Rot(x:53.89366|y:63.73774|z:340.9292),Pos(x:-0.5381308|y:1.273113|z:1.306689)|Rot(x:53.89364|y:63.73775|z:340.9292),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:13.77764|y:85.06696|z:356.4752),Pos(x:-0.5731581|y:1.221965|z:1.281955)|Rot(x:36.08493|y:85.18686|z:356.5267),Pos(x:-0.5622935|y:1.236797|z:1.281752)|Rot(x:56.17884|y:92.81969|z:2.851323),Pos(x:-0.5463346|y:1.24747|z:1.281923)|Rot(x:56.17888|y:92.81961|z:2.851258),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:33
haeun_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:317.4684|y:225.8475|z:8.998639),Pos(x:-0.5562167|y:1.153962|z:1.369047)|Rot(x:324.2533|y:227.9722|z:18.32383),Pos(x:-0.5256987|y:1.191738|z:1.375801)|Rot(x:336.5368|y:235.1918|z:35.96253),Pos(x:-0.5086035|y:1.212898|z:1.367302)|Rot(x:336.5368|y:235.1918|z:35.96251),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:10.92912|y:94.94599|z:359.7475),Pos(x:-0.5765394|y:1.241814|z:1.354475)|Rot(x:27.52951|y:94.86462|z:359.7204),Pos(x:-0.5645965|y:1.264831|z:1.353332)|Rot(x:42.4698|y:94.7669|z:359.6638),Pos(x:-0.5465099|y:1.284673|z:1.351665)|Rot(x:42.46986|y:94.76683|z:359.6638),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:17.54654|y:90|z:0),Pos(x:-0.571929|y:1.246743|z:1.328133)|Rot(x:44.88758|y:90|z:0),Pos(x:-0.5523667|y:1.266382|z:1.328133)|Rot(x:69.49454|y:90|z:0),Pos(x:-0.5258599|y:1.276295|z:1.328133)|Rot(x:69.4945|y:90.00014|z:0.0001364878),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:13.85259|y:87.04042|z:0.153357),Pos(x:-0.5749531|y:1.237436|z:1.304669)|Rot(x:36.37046|y:87.11335|z:0.1849189),Pos(x:-0.559355|y:1.258648|z:1.30554)|Rot(x:54.33561|y:63.47468|z:340.6029),Pos(x:-0.5378382|y:1.272837|z:1.306703)|Rot(x:54.33562|y:63.47466|z:340.6029),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:13.85943|y:85.06732|z:356.4753),Pos(x:-0.5731037|y:1.221952|z:1.28196)|Rot(x:36.37711|y:85.1888|z:356.5279),Pos(x:-0.5621639|y:1.236728|z:1.281763)|Rot(x:56.65586|y:92.92101|z:2.970435),Pos(x:-0.5461162|y:1.247267|z:1.281941)|Rot(x:56.6559|y:92.92094|z:2.970376),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 16:22:34
