Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
nayoung_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 11:33:46
nayoung_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:303.1017|y:243.2448|z:0.8060756),Pos(x:-0.5489154|y:1.141006|z:1.369559)|Rot(x:307.8152|y:243.837|z:7.534645),Pos(x:-0.5116158|y:1.170808|z:1.38072)|Rot(x:318.098|y:247.6653|z:20.98394),Pos(x:-0.4912989|y:1.190613|z:1.378033)|Rot(x:318.098|y:247.6654|z:20.98389),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:19.30504|y:94.90701|z:359.7373),Pos(x:-0.5699606|y:1.235056|z:1.353908)|Rot(x:25.3581|y:94.87634|z:359.7256),Pos(x:-0.5588953|y:1.258511|z:1.352839)|Rot(x:30.80585|y:94.84602|z:359.7113),Pos(x:-0.5451798|y:1.281615|z:1.35154)|Rot(x:30.80589|y:94.84595|z:359.7113),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:6.410329|y:90|z:0),Pos(x:-0.5819531|y:1.243895|z:1.328133)|Rot(x:16.68124|y:90|z:0),Pos(x:-0.5739963|y:1.270448|z:1.328133)|Rot(x:25.92506|y:90|z:0),Pos(x:-0.5616236|y:1.2959|z:1.328133)|Rot(x:25.92503|y:90.00005|z:2.183402E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:1.300699|y:87.00707|z:0.1489299),Pos(x:-0.5850251|y:1.233803|z:1.304145)|Rot(x:6.449918|y:87.02053|z:0.1498401),Pos(x:-0.5820733|y:1.25998|z:1.304368)|Rot(x:10.80603|y:73.1991|z:357.5128),Pos(x:-0.5771234|y:1.285299|z:1.304693)|Rot(x:10.80602|y:73.19913|z:357.5128),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:1.307608|y:85.0118|z:356.4679),Pos(x:-0.5816045|y:1.218113|z:1.281222)|Rot(x:6.4568|y:85.0342|z:356.4695),Pos(x:-0.5794505|y:1.236348|z:1.280273)|Rot(x:11.31646|y:89.27115|z:357.2922),Pos(x:-0.575676|y:1.255154|z:1.279414)|Rot(x:11.31649|y:89.27111|z:357.2922),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:33:47
nayoung_E,0.01,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:302.6578|y:243.5536|z:0.9617263),Pos(x:-0.5486125|y:1.145694|z:1.369355)|Rot(x:307.4434|y:244.1893|z:7.764857),Pos(x:-0.5110053|y:1.17523|z:1.380185)|Rot(x:317.8722|y:248.1771|z:21.3375),Pos(x:-0.4906195|y:1.194918|z:1.377178)|Rot(x:317.8722|y:248.1771|z:21.33748),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:19.30504|y:94.90701|z:359.7373),Pos(x:-0.5699606|y:1.24003|z:1.353908)|Rot(x:25.3581|y:94.87634|z:359.7256),Pos(x:-0.5588952|y:1.263485|z:1.352839)|Rot(x:30.80585|y:94.84602|z:359.7113),Pos(x:-0.5451798|y:1.286589|z:1.35154)|Rot(x:30.80589|y:94.84595|z:359.7113),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:6.468987|y:90|z:0),Pos(x:-0.5818994|y:1.248863|z:1.328133)|Rot(x:16.79361|y:90|z:0),Pos(x:-0.5738905|y:1.275401|z:1.328133)|Rot(x:26.08576|y:90|z:0),Pos(x:-0.5614465|y:1.300818|z:1.328133)|Rot(x:26.08572|y:90.00006|z:2.471573E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.345933|y:87.00719|z:0.1489341),Pos(x:-0.5849884|y:1.238777|z:1.304147)|Rot(x:6.545123|y:87.02077|z:0.1498693),Pos(x:-0.5819932|y:1.264949|z:1.304372)|Rot(x:10.94214|y:73.19306|z:357.4787),Pos(x:-0.5769815|y:1.290255|z:1.3047)|Rot(x:10.94213|y:73.19306|z:357.4787),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.352834|y:85.012|z:356.4679),Pos(x:-0.5815735|y:1.223087|z:1.281225)|Rot(x:6.551998|y:85.03461|z:356.4695),Pos(x:-0.5793895|y:1.241318|z:1.280278)|Rot(x:11.45624|y:89.27386|z:357.3028),Pos(x:-0.575569|y:1.260115|z:1.279423)|Rot(x:11.45628|y:89.27382|z:357.3028),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:48
nayoung_E,0.01,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:302.8173|y:243.4503|z:0.9517149),Pos(x:-0.5487035|y:1.145797|z:1.369393)|Rot(x:307.6126|y:244.0844|z:7.77193),Pos(x:-0.5111928|y:1.175446|z:1.380248)|Rot(x:318.061|y:248.074|z:21.38521),Pos(x:-0.490859|y:1.195186|z:1.37723)|Rot(x:318.061|y:248.0741|z:21.38517),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:19.2771|y:94.90714|z:359.7373),Pos(x:-0.5699821|y:1.240038|z:1.35391)|Rot(x:25.63898|y:94.87487|z:359.725),Pos(x:-0.5588023|y:1.263438|z:1.352831)|Rot(x:31.36467|y:94.84272|z:359.7096),Pos(x:-0.544863|y:1.286407|z:1.351514)|Rot(x:31.36472|y:94.84264|z:359.7096),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:6.443538|y:90|z:0),Pos(x:-0.5819227|y:1.248866|z:1.328133)|Rot(x:16.77248|y:90|z:0),Pos(x:-0.5739236|y:1.275406|z:1.328133)|Rot(x:26.06854|y:90|z:0),Pos(x:-0.5614873|y:1.300828|z:1.328133)|Rot(x:26.0685|y:90.00006|z:2.566255E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.316281|y:87.00713|z:0.1489344),Pos(x:-0.5850125|y:1.238777|z:1.304146)|Rot(x:6.491043|y:87.02064|z:0.1498538),Pos(x:-0.5820419|y:1.264952|z:1.304369)|Rot(x:10.86827|y:73.19635|z:357.4972),Pos(x:-0.5770638|y:1.290265|z:1.304696)|Rot(x:10.86827|y:73.19634|z:357.4972),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.323192|y:85.01187|z:356.4679),Pos(x:-0.5815938|y:1.223088|z:1.281223)|Rot(x:6.497921|y:85.03439|z:356.4695),Pos(x:-0.5794269|y:1.241321|z:1.280275)|Rot(x:11.38039|y:89.27241|z:357.2971),Pos(x:-0.5756313|y:1.260122|z:1.279418)|Rot(x:11.38042|y:89.27234|z:357.297),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:49
nayoung_E,0.01,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:303.0078|y:243.3486|z:1.054975),Pos(x:-0.5487681|y:1.145919|z:1.369345)|Rot(x:307.8196|y:243.998|z:7.8905),Pos(x:-0.5113361|y:1.175698|z:1.380114)|Rot(x:318.2987|y:248.0229|z:21.54839),Pos(x:-0.4910657|y:1.19549|z:1.377007)|Rot(x:318.2987|y:248.0229|z:21.54836),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:19.2771|y:94.90714|z:359.7373),Pos(x:-0.5699821|y:1.240038|z:1.35391)|Rot(x:25.63898|y:94.87487|z:359.725),Pos(x:-0.5588023|y:1.263438|z:1.352831)|Rot(x:31.36467|y:94.84272|z:359.7096),Pos(x:-0.544863|y:1.286407|z:1.351514)|Rot(x:31.36472|y:94.84264|z:359.7096),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:6.443538|y:90|z:0),Pos(x:-0.5819227|y:1.248866|z:1.328133)|Rot(x:16.77248|y:90|z:0),Pos(x:-0.5739236|y:1.275406|z:1.328133)|Rot(x:26.06854|y:90|z:0),Pos(x:-0.5614873|y:1.300828|z:1.328133)|Rot(x:26.0685|y:90.00006|z:2.566255E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.33884|y:87.00716|z:0.1489354),Pos(x:-0.5849942|y:1.238777|z:1.304147)|Rot(x:6.538587|y:87.02077|z:0.1498746),Pos(x:-0.582002|y:1.264949|z:1.304371)|Rot(x:10.93628|y:73.19331|z:357.4801),Pos(x:-0.5769929|y:1.290257|z:1.304699)|Rot(x:10.93627|y:73.19331|z:357.4802),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.345745|y:85.01197|z:356.4679),Pos(x:-0.5815784|y:1.223087|z:1.281224)|Rot(x:6.545469|y:85.03458|z:356.4695),Pos(x:-0.5793964|y:1.241319|z:1.280278)|Rot(x:11.45023|y:89.27375|z:357.3024),Pos(x:-0.5755779|y:1.260116|z:1.279422)|Rot(x:11.45027|y:89.27371|z:357.3024),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:50
nayoung_E,0.09,0.08,0.09,0.09,0.06,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:307.8077|y:211.4803|z:31.39676),Pos(x:-0.5470632|y:1.144979|z:1.366861)|Rot(x:314.7313|y:218.8391|z:38.77549),Pos(x:-0.5061159|y:1.17188|z:1.368756)|Rot(x:326.5799|y:235.0778|z:55.04208),Pos(x:-0.48537|y:1.18551|z:1.354753)|Rot(x:326.5798|y:235.0778|z:55.04206),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:40.49488|y:94.78214|z:359.674),Pos(x:-0.5550854|y:1.231446|z:1.352646)|Rot(x:79.89937|y:93.6018|z:358.586),Pos(x:-0.5296302|y:1.235996|z:1.350402)|Rot(x:64.63017|y:275.5168|z:180.5787),Pos(x:-0.5054121|y:1.224472|z:1.348335)|Rot(x:64.63011|y:275.517|z:180.5789),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:37.89999|y:90|z:0),Pos(x:-0.5554112|y:1.238062|z:1.328133)|Rot(x:73.96233|y:90|z:0),Pos(x:-0.5287705|y:1.24572|z:1.328133)|Rot(x:73.58158|y:270|z:180),Pos(x:-0.5016245|y:1.237721|z:1.328133)|Rot(x:73.58163|y:269.9998|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.73928|y:87.0723|z:0.163943),Pos(x:-0.566631|y:1.234518|z:1.305097)|Rot(x:64.1413|y:87.31089|z:0.3413872),Pos(x:-0.5429584|y:1.246008|z:1.306366)|Rot(x:73.5388|y:322.0938|z:233.9313),Pos(x:-0.5175542|y:1.241704|z:1.307684)|Rot(x:73.53882|y:322.0938|z:233.9314),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.74603|y:85.12042|z:356.4929),Pos(x:-0.5660797|y:1.219483|z:1.282563)|Rot(x:64.14751|y:85.51791|z:356.7886),Pos(x:-0.5495297|y:1.227487|z:1.282827)|Rot(x:79.19575|y:240.979|z:152.519),Pos(x:-0.5306006|y:1.224294|z:1.283197)|Rot(x:79.19575|y:240.9792|z:152.5193),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:51
nayoung_E,0.01,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:311.4992|y:238.4147|z:359.3622),Pos(x:-0.5542783|y:1.151096|z:1.371193)|Rot(x:315.6497|y:238.671|z:5.513666),Pos(x:-0.5226874|y:1.185994|z:1.384908)|Rot(x:324.78|y:241.1623|z:18.19847),Pos(x:-0.5047163|y:1.208113|z:1.384642)|Rot(x:324.78|y:241.1623|z:18.19844),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:14.46884|y:94.92988|z:359.7439),Pos(x:-0.573728|y:1.241178|z:1.354232)|Rot(x:14.46884|y:94.92988|z:359.7439),Pos(x:-0.5672768|y:1.266311|z:1.353559)|Rot(x:14.46884|y:94.92988|z:359.7439),Pos(x:-0.560591|y:1.292357|z:1.352862)|Rot(x:14.46889|y:94.92982|z:359.7439),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.6281|y:90|z:0),Pos(x:-0.5900341|y:1.249154|z:1.328133)|Rot(x:358.2925|y:90|z:0),Pos(x:-0.5908601|y:1.276862|z:1.328133)|Rot(x:358.8905|y:90|z:0),Pos(x:-0.5914081|y:1.305156|z:1.328133)|Rot(x:358.8905|y:90.00005|z:-4.269668E-07),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.3827|y:86.99689|z:0.149054),Pos(x:-0.5882022|y:1.238741|z:1.303979)|Rot(x:357.701|y:86.9977|z:0.1490159),Pos(x:-0.5892611|y:1.265064|z:1.303992)|Rot(x:358.0788|y:73.40698|z:0.6176583),Pos(x:-0.5901694|y:1.290848|z:1.304011)|Rot(x:358.0788|y:73.40698|z:0.6176636),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.3896|y:84.99484|z:356.4681),Pos(x:-0.5842859|y:1.223057|z:1.280988)|Rot(x:357.7079|y:84.99621|z:356.468),Pos(x:-0.5849183|y:1.241394|z:1.279795)|Rot(x:358.2546|y:89.13364|z:356.3326),Pos(x:-0.5854832|y:1.260545|z:1.278559)|Rot(x:358.2546|y:89.1336|z:356.3326),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:52
nayoung_E,0.02,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:313.6842|y:237.4346|z:359.6098),Pos(x:-0.555436|y:1.15233|z:1.370896)|Rot(x:317.8735|y:237.7114|z:5.814662),Pos(x:-0.5251231|y:1.188507|z:1.384175)|Rot(x:327.0771|y:240.2293|z:18.69763),Pos(x:-0.5078506|y:1.211167|z:1.38353)|Rot(x:327.0771|y:240.2293|z:18.6976),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:17.43207|y:94.91601|z:359.7401),Pos(x:-0.5714081|y:1.240513|z:1.354033)|Rot(x:20.17416|y:94.90278|z:359.7358),Pos(x:-0.5624996|y:1.264876|z:1.353148)|Rot(x:22.64205|y:94.89043|z:359.7313),Pos(x:-0.5521924|y:1.289702|z:1.35214)|Rot(x:22.64208|y:94.89038|z:359.7313),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:1.925207|y:90|z:0),Pos(x:-0.5860747|y:1.24917|z:1.328133)|Rot(x:7.740968|y:90|z:0),Pos(x:-0.582341|y:1.276637|z:1.328133)|Rot(x:12.97515|y:90|z:0),Pos(x:-0.5759869|y:1.304214|z:1.328133)|Rot(x:12.97511|y:90.00006|z:1.40183E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.450729|y:87.00746|z:0.1489387),Pos(x:-0.5849035|y:1.238774|z:1.304151)|Rot(x:6.749477|y:87.02132|z:0.1499321),Pos(x:-0.5818151|y:1.264936|z:1.304381)|Rot(x:11.22759|y:73.18005|z:357.4071),Pos(x:-0.5766737|y:1.290216|z:1.304716)|Rot(x:11.22759|y:73.18006|z:357.4071),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.457632|y:85.01244|z:356.468),Pos(x:-0.5815018|y:1.223085|z:1.281231)|Rot(x:6.756352|y:85.03551|z:356.4696),Pos(x:-0.579253|y:1.241309|z:1.28029)|Rot(x:11.74939|y:89.27964|z:357.3252),Pos(x:-0.5753366|y:1.260086|z:1.279443)|Rot(x:11.74942|y:89.27958|z:357.3252),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:53
nayoung_E,0.02,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:313.3078|y:237.6158|z:359.6476),Pos(x:-0.555198|y:1.152121|z:1.370894)|Rot(x:317.5109|y:237.9|z:5.867377),Pos(x:-0.524627|y:1.188087|z:1.384155)|Rot(x:326.7432|y:240.4505|z:18.76658),Pos(x:-0.5072317|y:1.210652|z:1.383477)|Rot(x:326.7431|y:240.4505|z:18.76656),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:17.82344|y:94.91413|z:359.7395),Pos(x:-0.5711043|y:1.240416|z:1.354006)|Rot(x:21.38232|y:94.89677|z:359.7337),Pos(x:-0.561686|y:1.264585|z:1.353078)|Rot(x:24.58533|y:94.88042|z:359.7273),Pos(x:-0.5505459|y:1.289046|z:1.351999)|Rot(x:24.58537|y:94.88035|z:359.7273),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.120403|y:90|z:0),Pos(x:-0.5849743|y:1.249121|z:1.328133)|Rot(x:10.19333|y:90|z:0),Pos(x:-0.5800688|y:1.276404|z:1.328133)|Rot(x:16.55894|y:90|z:0),Pos(x:-0.5720032|y:1.30353|z:1.328133)|Rot(x:16.5589|y:90.00005|z:9.797853E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:2.66522|y:87.01062|z:0.1490569),Pos(x:-0.583919|y:1.238739|z:1.304203)|Rot(x:9.265306|y:87.02799|z:0.150867),Pos(x:-0.5796868|y:1.26474|z:1.304492)|Rot(x:14.8064|y:72.98449|z:356.4968),Pos(x:-0.5729325|y:1.289636|z:1.30491)|Rot(x:14.8064|y:72.9845|z:356.4968),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:2.672119|y:85.0177|z:356.4681),Pos(x:-0.580671|y:1.223055|z:1.281304)|Rot(x:9.272173|y:85.04662|z:356.4711),Pos(x:-0.5776275|y:1.241167|z:1.280432)|Rot(x:15.42595|y:89.36266|z:357.6105),Pos(x:-0.5725163|y:1.259659|z:1.279688)|Rot(x:15.42599|y:89.36263|z:357.6105),Yes,0.1,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:54
nayoung_E,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:303.0696|y:243.041|z:359.5286),Pos(x:-0.5494022|y:1.145962|z:1.370556)|Rot(x:307.2379|y:243.3669|z:5.627134),Pos(x:-0.5125226|y:1.175488|z:1.383673)|Rot(x:316.4129|y:246.221|z:17.84065),Pos(x:-0.4918852|y:1.195139|z:1.383224)|Rot(x:316.4129|y:246.2211|z:17.84061),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:17.79548|y:94.91428|z:359.7396),Pos(x:-0.571126|y:1.240423|z:1.354008)|Rot(x:18.15758|y:94.91254|z:359.739),Pos(x:-0.5630772|y:1.265086|z:1.353198)|Rot(x:18.48347|y:94.91099|z:359.7386),Pos(x:-0.554591|y:1.290598|z:1.352345)|Rot(x:18.48351|y:94.9109|z:359.7386),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:357.501|y:90|z:0),Pos(x:-0.5901511|y:1.24915|z:1.328133)|Rot(x:357.9886|y:90|z:0),Pos(x:-0.5911241|y:1.276852|z:1.328133)|Rot(x:358.4275|y:90|z:0),Pos(x:-0.5919007|y:1.305141|z:1.328133)|Rot(x:358.4274|y:90.00005|z:-3.096096E-06),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:357.5586|y:86.99734|z:0.1490345),Pos(x:-0.5880596|y:1.238747|z:1.303986)|Rot(x:358.1204|y:86.99881|z:0.1489736),Pos(x:-0.5889261|y:1.265077|z:1.304009)|Rot(x:358.6993|y:73.41283|z:0.4675407),Pos(x:-0.5895475|y:1.29087|z:1.304044)|Rot(x:358.6993|y:73.41284|z:0.4675496),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:357.5656|y:84.99559|z:356.4681),Pos(x:-0.5841656|y:1.223063|z:1.280998)|Rot(x:358.1273|y:84.99804|z:356.468),Pos(x:-0.5846642|y:1.241404|z:1.279818)|Rot(x:358.8914|y:89.13527|z:356.3786),Pos(x:-0.5850166|y:1.260562|z:1.278599)|Rot(x:358.8914|y:89.13522|z:356.3786),Yes,0,StressBall (UnityEngine.GameObject),2,2024-08-28 11:33:55
