Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-28 11:25:03
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:329.7365|y:229.6154|z:355.4415),Pos(x:-0.5674942|y:1.154835|z:1.370504)|Rot(x:334.2531|y:229.5181|z:2.379796),Pos(x:-0.5499865|y:1.198959|z:1.382771)|Rot(x:344.2448|y:231.3654|z:17.26375),Pos(x:-0.5389332|y:1.225152|z:1.380778)|Rot(x:344.2448|y:231.3654|z:17.26373),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:17.5998|y:94.91521|z:359.7399),Pos(x:-0.5712778|y:1.235497|z:1.354021)|Rot(x:23.65285|y:94.88528|z:359.7293),Pos(x:-0.5609128|y:1.259272|z:1.353012)|Rot(x:29.1006|y:94.85585|z:359.7162),Pos(x:-0.5478886|y:1.282776|z:1.351772)|Rot(x:29.10064|y:94.85577|z:359.7162),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:8.574568|y:90|z:0),Pos(x:-0.5799756|y:1.243635|z:1.328133)|Rot(x:21.03285|y:90|z:0),Pos(x:-0.570027|y:1.269508|z:1.328133)|Rot(x:32.2453|y:90|z:0),Pos(x:-0.5549276|y:1.293443|z:1.328133)|Rot(x:32.24525|y:90.00007|z:3.634058E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:2.911074|y:87.01126|z:0.1490863),Pos(x:-0.5837198|y:1.233755|z:1.304213)|Rot(x:9.87792|y:87.02961|z:0.1511276),Pos(x:-0.5792102|y:1.259709|z:1.304517)|Rot(x:15.72089|y:72.9245|z:356.2596),Pos(x:-0.5720478|y:1.284491|z:1.304956)|Rot(x:15.72089|y:72.9245|z:356.2596),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:2.917963|y:85.01878|z:356.4682),Pos(x:-0.5805029|y:1.218073|z:1.281318)|Rot(x:9.884778|y:85.04936|z:356.4716),Pos(x:-0.5772666|y:1.236151|z:1.280463)|Rot(x:16.36589|y:89.38719|z:357.6852),Pos(x:-0.5718531|y:1.254559|z:1.279745)|Rot(x:16.36593|y:89.38715|z:357.6852),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:04
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:330.0398|y:229.4626|z:355.3468),Pos(x:-0.567741|y:1.15992|z:1.370466)|Rot(x:334.5474|y:229.3569|z:2.275011),Pos(x:-0.5504973|y:1.204157|z:1.382703)|Rot(x:344.5229|y:231.1765|z:17.14669),Pos(x:-0.5395679|y:1.230402|z:1.380713)|Rot(x:344.5229|y:231.1766|z:17.14667),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:17.79548|y:94.91428|z:359.7396),Pos(x:-0.571126|y:1.240423|z:1.354008)|Rot(x:23.725|y:94.88488|z:359.7292),Pos(x:-0.5607312|y:1.264185|z:1.352997)|Rot(x:29.06157|y:94.85607|z:359.7163),Pos(x:-0.5477229|y:1.287698|z:1.351758)|Rot(x:29.06161|y:94.85603|z:359.7163),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:8.909941|y:90|z:0),Pos(x:-0.5796701|y:1.248563|z:1.328133)|Rot(x:21.61996|y:90|z:0),Pos(x:-0.5694569|y:1.274332|z:1.328133)|Rot(x:33.05897|y:90|z:0),Pos(x:-0.5540192|y:1.298051|z:1.328133)|Rot(x:33.05891|y:90.00005|z:2.648592E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.08912|y:87.01173|z:0.1491093),Pos(x:-0.5835756|y:1.238722|z:1.304221)|Rot(x:10.22661|y:87.03056|z:0.151302),Pos(x:-0.5789083|y:1.264647|z:1.304532)|Rot(x:16.20804|y:72.8908|z:356.1324),Pos(x:-0.5715293|y:1.289366|z:1.304983)|Rot(x:16.20804|y:72.8908|z:356.1324),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.096025|y:85.01955|z:356.4682),Pos(x:-0.5803812|y:1.223041|z:1.281329)|Rot(x:10.23346|y:85.05091|z:356.4719),Pos(x:-0.5770354|y:1.2411|z:1.280483)|Rot(x:16.86669|y:89.40083|z:357.7253),Pos(x:-0.5714613|y:1.259459|z:1.279779)|Rot(x:16.86673|y:89.40077|z:357.7253),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:05
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:328.9993|y:230.0562|z:355.962),Pos(x:-0.5667254|y:1.159548|z:1.370408)|Rot(x:333.4649|y:230.0012|z:2.802166),Pos(x:-0.548425|y:1.20336|z:1.382634)|Rot(x:343.3336|y:231.8958|z:17.46448),Pos(x:-0.5370115|y:1.229405|z:1.380715)|Rot(x:343.3336|y:231.8958|z:17.46445),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:18.82982|y:94.90931|z:359.738),Pos(x:-0.5703263|y:1.240157|z:1.35394)|Rot(x:25.12993|y:94.87755|z:359.7261),Pos(x:-0.5593542|y:1.263656|z:1.352879)|Rot(x:30.80004|y:94.84605|z:359.7113),Pos(x:-0.5456411|y:1.286762|z:1.35158)|Rot(x:30.80007|y:94.84599|z:359.7113),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:9.896698|y:90|z:0),Pos(x:-0.578773|y:1.248414|z:1.328133)|Rot(x:23.32463|y:90|z:0),Pos(x:-0.5677977|y:1.273868|z:1.328133)|Rot(x:35.40977|y:90|z:0),Pos(x:-0.5514001|y:1.296934|z:1.328133)|Rot(x:35.40973|y:90.00007|z:3.771133E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.284397|y:87.01484|z:0.1493132),Pos(x:-0.5826082|y:1.238659|z:1.304271)|Rot(x:12.58656|y:87.03693|z:0.1525569),Pos(x:-0.5768787|y:1.26437|z:1.304638)|Rot(x:19.51147|y:72.62939|z:355.2515),Pos(x:-0.5680451|y:1.288605|z:1.305163)|Rot(x:19.51147|y:72.62939|z:355.2515),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.291296|y:85.02474|z:356.4686),Pos(x:-0.5795646|y:1.222988|z:1.2814)|Rot(x:12.59338|y:85.06153|z:356.474),Pos(x:-0.5754809|y:1.240898|z:1.280618)|Rot(x:20.26457|y:89.50435|z:358.004),Pos(x:-0.5688294|y:1.258898|z:1.280007)|Rot(x:20.2646|y:89.50433|z:358.0039),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:06
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:327.9924|y:230.8406|z:357.4316),Pos(x:-0.5652505|y:1.1592|z:1.369761)|Rot(x:332.7311|y:230.938|z:4.615439),Pos(x:-0.5453784|y:1.20264|z:1.380807)|Rot(x:343.123|y:233.3812|z:20.00313),Pos(x:-0.5333229|y:1.228268|z:1.37762)|Rot(x:343.123|y:233.3812|z:20.0031),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:18.82982|y:94.90931|z:359.738),Pos(x:-0.5703263|y:1.240157|z:1.35394)|Rot(x:25.5623|y:94.87526|z:359.7251),Pos(x:-0.5591778|y:1.263572|z:1.352864)|Rot(x:31.62152|y:94.84119|z:359.7088),Pos(x:-0.545136|y:1.286478|z:1.351537)|Rot(x:31.62156|y:94.84112|z:359.7088),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:9.906194|y:90|z:0),Pos(x:-0.5787643|y:1.248412|z:1.328133)|Rot(x:23.39693|y:90|z:0),Pos(x:-0.567757|y:1.273853|z:1.328133)|Rot(x:35.53862|y:90|z:0),Pos(x:-0.5513075|y:1.296881|z:1.328133)|Rot(x:35.53857|y:90.00007|z:3.357494E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:4.677383|y:87.01588|z:0.1493907),Pos(x:-0.5822904|y:1.238634|z:1.304288)|Rot(x:13.39275|y:87.03915|z:0.1530585),Pos(x:-0.5762002|y:1.264262|z:1.304673)|Rot(x:20.65242|y:72.52515|z:354.939),Pos(x:-0.5668709|y:1.28831|z:1.305224)|Rot(x:20.65241|y:72.52515|z:354.939),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:4.684273|y:85.02645|z:356.4687),Pos(x:-0.5792964|y:1.222966|z:1.281423)|Rot(x:13.39958|y:85.06521|z:356.4748),Pos(x:-0.5749621|y:1.240818|z:1.280663)|Rot(x:21.43898|y:89.54481|z:358.1033),Pos(x:-0.5679434|y:1.25868|z:1.280083)|Rot(x:21.43902|y:89.54477|z:358.1033),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:07
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:326.9939|y:231.2942|z:357.5941),Pos(x:-0.5645396|y:1.158794|z:1.369935)|Rot(x:331.7534|y:231.4097|z:4.799462),Pos(x:-0.5439072|y:1.201834|z:1.381152)|Rot(x:342.1839|y:233.9182|z:20.19675),Pos(x:-0.5314984|y:1.227299|z:1.378019)|Rot(x:342.1839|y:233.9182|z:20.19672),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:19.36097|y:94.90673|z:359.7372),Pos(x:-0.5699176|y:1.240015|z:1.353904)|Rot(x:28.19348|y:94.86094|z:359.7187),Pos(x:-0.5577098|y:1.262891|z:1.352738)|Rot(x:36.14273|y:94.81277|z:359.693),Pos(x:-0.5419125|y:1.284614|z:1.351264)|Rot(x:36.14277|y:94.81269|z:359.6929),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.09859|y:90|z:0),Pos(x:-0.5758816|y:1.247826|z:1.328133)|Rot(x:29.44823|y:90|z:0),Pos(x:-0.5622537|y:1.271964|z:1.328133)|Rot(x:44.1629|y:90|z:0),Pos(x:-0.542537|y:1.292265|z:1.328133)|Rot(x:44.16284|y:90.00008|z:5.236688E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:6.094917|y:87.01959|z:0.1497405),Pos(x:-0.5811457|y:1.238526|z:1.304347)|Rot(x:16.27991|y:87.04717|z:0.15511),Pos(x:-0.5737741|y:1.263814|z:1.304799)|Rot(x:24.72466|y:72.08939|z:353.7816),Pos(x:-0.562707|y:1.287111|z:1.305439)|Rot(x:24.72466|y:72.08939|z:353.7816),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:6.101799|y:85.03265|z:356.4693),Pos(x:-0.5783303|y:1.222875|z:1.281507)|Rot(x:16.28672|y:85.07858|z:356.4782),Pos(x:-0.5731058|y:1.24049|z:1.280824)|Rot(x:25.6351|y:89.71084|z:358.4732),Pos(x:-0.5647996|y:1.257794|z:1.280354)|Rot(x:25.63514|y:89.71082|z:358.4732),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:08
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:320.0592|y:235.7448|z:4.16801),Pos(x:-0.5570009|y:1.15558|z:1.366741)|Rot(x:327.7623|y:237.3666|z:15.15857),Pos(x:-0.5288279|y:1.195609|z:1.369557)|Rot(x:343.3591|y:246.0066|z:38.59736),Pos(x:-0.5157707|y:1.21695|z:1.355907)|Rot(x:343.3591|y:246.0066|z:38.59736),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:10.69492|y:94.94704|z:359.7477),Pos(x:-0.5767267|y:1.24185|z:1.354491)|Rot(x:20.70098|y:94.90016|z:359.7349),Pos(x:-0.5675954|y:1.26613|z:1.353588)|Rot(x:29.70644|y:94.8524|z:359.7145),Pos(x:-0.5543242|y:1.289494|z:1.352327)|Rot(x:29.70649|y:94.85233|z:359.7145),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.19405|y:90|z:0),Pos(x:-0.5785031|y:1.248366|z:1.328133)|Rot(x:26.41679|y:90|z:0),Pos(x:-0.5661708|y:1.273191|z:1.328133)|Rot(x:41.01723|y:90|z:0),Pos(x:-0.5475978|y:1.294544|z:1.328133)|Rot(x:41.0172|y:90.00008|z:4.978848E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.86193|y:87.01376|z:0.1492402),Pos(x:-0.5829499|y:1.238684|z:1.304253)|Rot(x:12.6632|y:87.03714|z:0.1526078),Pos(x:-0.5771861|y:1.264387|z:1.304622)|Rot(x:20.02082|y:72.58377|z:355.1125),Pos(x:-0.5681309|y:1.28854|z:1.305159)|Rot(x:20.02081|y:72.58376|z:355.1126),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.868825|y:85.0229|z:356.4684),Pos(x:-0.5798531|y:1.223008|z:1.281375)|Rot(x:12.67004|y:85.06189|z:356.4741),Pos(x:-0.5757456|y:1.240913|z:1.280595)|Rot(x:20.78879|y:89.5221|z:358.0481),Pos(x:-0.5689297|y:1.258852|z:1.279998)|Rot(x:20.78883|y:89.52206|z:358.0481),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:09
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:313.5397|y:220.6197|z:19.41049),Pos(x:-0.5514143|y:1.150531|z:1.36684)|Rot(x:321.257|y:225.3429|z:29.15001),Pos(x:-0.5155659|y:1.183929|z:1.368687)|Rot(x:334.7013|y:238.1373|z:49.00981),Pos(x:-0.4974249|y:1.200831|z:1.354633)|Rot(x:334.7012|y:238.1373|z:49.0098),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:14.88817|y:94.92794|z:359.7434),Pos(x:-0.5733976|y:1.241091|z:1.354204)|Rot(x:24.64717|y:94.8801|z:359.7272),Pos(x:-0.5626231|y:1.264682|z:1.35316)|Rot(x:33.43026|y:94.83019|z:359.7029),Pos(x:-0.5478679|y:1.287131|z:1.351773)|Rot(x:33.43032|y:94.83011|z:359.7029),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:13.92135|y:90|z:0),Pos(x:-0.5751443|y:1.247649|z:1.328133)|Rot(x:32.54441|y:90|z:0),Pos(x:-0.5602325|y:1.271016|z:1.328133)|Rot(x:49.30515|y:90|z:0),Pos(x:-0.5387756|y:1.289468|z:1.328133)|Rot(x:49.30513|y:90.00008|z:5.761389E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:5.038393|y:87.01683|z:0.1494692),Pos(x:-0.5819986|y:1.23861|z:1.304303)|Rot(x:14.72525|y:87.04283|z:0.153953),Pos(x:-0.5753149|y:1.264089|z:1.304719)|Rot(x:22.78815|y:72.30945|z:354.3408),Pos(x:-0.5650677|y:1.287759|z:1.305317)|Rot(x:22.78815|y:72.30946|z:354.3408),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:5.045284|y:85.02804|z:356.4688),Pos(x:-0.5790501|y:1.222945|z:1.281445)|Rot(x:14.73207|y:85.07134|z:356.4763),Pos(x:-0.5743036|y:1.240694|z:1.28072)|Rot(x:23.63877|y:89.62749|z:358.2941),Pos(x:-0.5666048|y:1.258275|z:1.280198)|Rot(x:23.63881|y:89.62744|z:358.294),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:10
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:314.6745|y:221.953|z:17.55381),Pos(x:-0.5522843|y:1.151437|z:1.36684)|Rot(x:322.4902|y:226.2838|z:27.62628),Pos(x:-0.5174543|y:1.185896|z:1.368687)|Rot(x:336.1652|y:238.5499|z:48.01744),Pos(x:-0.4998288|y:1.203334|z:1.354633)|Rot(x:336.1651|y:238.5499|z:48.01742),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:16.45365|y:94.92063|z:359.7415),Pos(x:-0.5721703|y:1.240746|z:1.354098)|Rot(x:27.44796|y:94.86508|z:359.7206),Pos(x:-0.56026|y:1.263779|z:1.352957)|Rot(x:37.34283|y:94.80469|z:359.6881),Pos(x:-0.5440128|y:1.285165|z:1.351445)|Rot(x:37.34288|y:94.80458|z:359.6881),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:16.41563|y:90|z:0),Pos(x:-0.5729258|y:1.247047|z:1.328133)|Rot(x:37.0549|y:90|z:0),Pos(x:-0.5562225|y:1.269169|z:1.328133)|Rot(x:55.63027|y:90|z:0),Pos(x:-0.5328634|y:1.285145|z:1.328133)|Rot(x:55.63024|y:90.00008|z:6.654372E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:6.014092|y:87.01938|z:0.1497223),Pos(x:-0.5812109|y:1.238533|z:1.304344)|Rot(x:16.66014|y:87.04826|z:0.1554208),Pos(x:-0.5736719|y:1.263772|z:1.304804)|Rot(x:25.4929|y:71.99524|z:353.5549),Pos(x:-0.5622829|y:1.286912|z:1.305461)|Rot(x:25.4929|y:71.99523|z:353.5549),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:6.020972|y:85.03229|z:356.4692),Pos(x:-0.5783853|y:1.222881|z:1.281503)|Rot(x:16.66696|y:85.08038|z:356.4787),Pos(x:-0.5730445|y:1.240461|z:1.280829)|Rot(x:26.4276|y:89.74628|z:358.5461),Pos(x:-0.5644999|y:1.257649|z:1.28038)|Rot(x:26.42764|y:89.74622|z:358.546),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:11
nayoung_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:320.0381|y:226.9854|z:10.13892),Pos(x:-0.5564637|y:1.155133|z:1.36684)|Rot(x:328.1815|y:229.8226|z:21.41617),Pos(x:-0.5265265|y:1.193918|z:1.368687)|Rot(x:342.7392|y:240.0155|z:43.85012),Pos(x:-0.5113768|y:1.213546|z:1.354633)|Rot(x:342.7392|y:240.0156|z:43.85011),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:20.03188|y:94.90346|z:359.7361),Pos(x:-0.5694032|y:1.23983|z:1.35386)|Rot(x:32.38504|y:94.83659|z:359.7064),Pos(x:-0.555562|y:1.261749|z:1.352556)|Rot(x:43.50284|y:94.75854|z:359.6581),Pos(x:-0.5371218|y:1.28126|z:1.35086)|Rot(x:43.5029|y:94.75845|z:359.6581),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:21.34701|y:90|z:0),Pos(x:-0.5686268|y:1.245577|z:1.328133)|Rot(x:44.87249|y:90|z:0),Pos(x:-0.5490698|y:1.265221|z:1.328133)|Rot(x:66.0454|y:90|z:0),Pos(x:-0.5232073|y:1.276711|z:1.328133)|Rot(x:66.04537|y:90.00011|z:9.672979E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:9.255534|y:87.02796|z:0.1508602),Pos(x:-0.5786054|y:1.238183|z:1.304479)|Rot(x:22.67311|y:87.0659|z:0.1613607),Pos(x:-0.5684675|y:1.262492|z:1.305073)|Rot(x:33.68647|y:70.71178|z:350.9179),Pos(x:-0.5537849|y:1.28369|z:1.305897)|Rot(x:33.68645|y:70.71178|z:350.918),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:9.262391|y:85.04658|z:356.4711),Pos(x:-0.5761862|y:1.222585|z:1.281693)|Rot(x:22.67988|y:85.10978|z:356.4886),Pos(x:-0.5690399|y:1.239517|z:1.281175)|Rot(x:34.90297|y:90.22164|z:359.4034),Pos(x:-0.5580554|y:1.255263|z:1.280932)|Rot(x:34.90301|y:90.22162|z:359.4034),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-28 11:25:12
