Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-27 16:25:43
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:335.9378|y:234.2506|z:0.3557079),Pos(x:-0.5673472|y:1.157122|z:1.363791)|Rot(x:346.2916|y:235.8097|z:15.88432),Pos(x:-0.5505621|y:1.202937|z:1.358971)|Rot(x:4.779785|y:247.5446|z:49.17382),Pos(x:-0.5437596|y:1.221505|z:1.338447)|Rot(x:4.779754|y:247.5446|z:49.17381),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:6.478162|y:94.96571|z:359.7505),Pos(x:-0.5801211|y:1.23739|z:1.354786)|Rot(x:26.1918|y:94.87189|z:359.7237),Pos(x:-0.5687169|y:1.260681|z:1.353688)|Rot(x:43.93399|y:94.75496|z:359.6557),Pos(x:-0.5501308|y:1.280052|z:1.35198)|Rot(x:43.93404|y:94.75488|z:359.6556),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:26.39245|y:90|z:0),Pos(x:-0.5643759|y:1.238721|z:1.328133)|Rot(x:68.16187|y:90|z:0),Pos(x:-0.5386454|y:1.249033|z:1.328133)|Rot(x:74.24564|y:270|z:180),Pos(x:-0.5114086|y:1.241349|z:1.328133)|Rot(x:74.2457|y:269.9998|z:179.9998),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:20.88298|y:87.06049|z:0.1593689),Pos(x:-0.5695139|y:1.230758|z:1.304949)|Rot(x:59.91669|y:87.26072|z:0.2970429),Pos(x:-0.5467511|y:1.243963|z:1.306175)|Rot(x:75.66511|y:336.7963|z:249.1846),Pos(x:-0.521086|y:1.241693|z:1.307512)|Rot(x:75.66509|y:336.7963|z:249.1846),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:20.88976|y:85.10078|z:356.4853),Pos(x:-0.5685129|y:1.215536|z:1.282355)|Rot(x:59.92303|y:85.4343|z:356.7147),Pos(x:-0.5525951|y:1.224735|z:1.282569)|Rot(x:83.10542|y:225.4974|z:136.8822),Pos(x:-0.533473|y:1.223053|z:1.282962)|Rot(x:83.10536|y:225.4979|z:136.8827),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:44
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:321.1551|y:226.9353|z:13.53309),Pos(x:-0.5554573|y:1.150278|z:1.364329)|Rot(x:330.653|y:231.126|z:26.66854),Pos(x:-0.5249285|y:1.18847|z:1.360674)|Rot(x:346.77|y:245.7325|z:54.18313),Pos(x:-0.5119505|y:1.204705|z:1.341174)|Rot(x:346.77|y:245.7325|z:54.18312),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.4613|y:95.00485|z:359.7518),Pos(x:-0.5874512|y:1.237643|z:1.355425)|Rot(x:357.4613|y:95.00485|z:359.7518),Pos(x:-0.5886063|y:1.263573|z:1.355414)|Rot(x:357.4613|y:95.00485|z:359.7518),Pos(x:-0.5898034|y:1.290447|z:1.355401)|Rot(x:357.4613|y:95.0048|z:359.7518),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00006|z:-3.739872E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1577|y:86.9963|z:0.1490755),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129447),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2723|y:73.3969|z:0.8129502),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5844397|y:1.218075|z:1.280974)|Rot(x:357.1647|y:84.99387|z:356.4682),Pos(x:-0.5852451|y:1.236404|z:1.279767)|Rot(x:357.427|y:89.13229|z:356.2729),Pos(x:-0.5860863|y:1.255544|z:1.278506)|Rot(x:357.4271|y:89.13226|z:356.2728),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:47
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:314.4096|y:220.6513|z:22.47248),Pos(x:-0.550419|y:1.150397|z:1.36461)|Rot(x:323.1819|y:226.8466|z:33.58788),Pos(x:-0.5140108|y:1.183094|z:1.361563)|Rot(x:337.766|y:243.7197|z:57.36579),Pos(x:-0.4981697|y:1.197321|z:1.342618)|Rot(x:337.7659|y:243.7197|z:57.36577),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:30.05182|y:94.85041|z:359.7135),Pos(x:-0.5620196|y:1.236368|z:1.35323)|Rot(x:77.03188|y:93.91707|z:358.8951),Pos(x:-0.5368237|y:1.242192|z:1.351003)|Rot(x:60.68097|y:275.4354|z:180.5064),Pos(x:-0.5134532|y:1.22902|z:1.349018)|Rot(x:60.68091|y:275.4355|z:180.5065),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:26.37813|y:90|z:0),Pos(x:-0.5643877|y:1.243702|z:1.328133)|Rot(x:68.12711|y:90|z:0),Pos(x:-0.5386636|y:1.254029|z:1.328133)|Rot(x:74.2989|y:270|z:180),Pos(x:-0.5114195|y:1.24637|z:1.328133)|Rot(x:74.2989|y:269.9998|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:25.68501|y:87.07531|z:0.1652221),Pos(x:-0.565937|y:1.234191|z:1.305132)|Rot(x:66.43804|y:87.34512|z:0.3724721),Pos(x:-0.5418234|y:1.244722|z:1.306422)|Rot(x:71.31165|y:313.4986|z:224.9091),Pos(x:-0.5167301|y:1.238867|z:1.30772)|Rot(x:71.3116|y:313.4986|z:224.9091),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:25.69176|y:85.12543|z:356.4951),Pos(x:-0.5654939|y:1.219206|z:1.282613)|Rot(x:66.44415|y:85.57491|z:356.8404),Pos(x:-0.5486374|y:1.226542|z:1.282901)|Rot(x:75.9154|y:246.7407|z:158.4011),Pos(x:-0.5299386|y:1.222198|z:1.283246)|Rot(x:75.91533|y:246.7409|z:158.4014),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:48
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:313.3902|y:237.3935|z:358.6981),Pos(x:-0.5557005|y:1.15216|z:1.371584)|Rot(x:319.6912|y:237.9004|z:7.989356),Pos(x:-0.5254709|y:1.189186|z:1.382502)|Rot(x:333.1829|y:242.9795|z:26.94083),Pos(x:-0.5093936|y:1.21186|z:1.376206)|Rot(x:333.1829|y:242.9796|z:26.9408),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:0.4769665|y:94.9918|z:359.752),Pos(x:-0.5849964|y:1.242662|z:1.355211)|Rot(x:8.543643|y:94.95662|z:359.7493),Pos(x:-0.5811645|y:1.268329|z:1.354764)|Rot(x:15.80366|y:94.92368|z:359.7423),Pos(x:-0.573876|y:1.294212|z:1.354015)|Rot(x:15.8037|y:94.92362|z:359.7423),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:3.554363|y:90|z:0),Pos(x:-0.584575|y:1.249098|z:1.328133)|Rot(x:12.99335|y:90|z:0),Pos(x:-0.5783426|y:1.276108|z:1.328133)|Rot(x:21.48845|y:90|z:0),Pos(x:-0.5679759|y:1.302441|z:1.328133)|Rot(x:21.48841|y:90.00007|z:3.027919E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:5.352209|y:87.01765|z:0.1495522),Pos(x:-0.5817451|y:1.238586|z:1.304316)|Rot(x:17.52533|y:87.05071|z:0.1561451),Pos(x:-0.5738264|y:1.263708|z:1.304796)|Rot(x:27.65462|y:71.70823|z:352.9004),Pos(x:-0.561543|y:1.286385|z:1.305498)|Rot(x:27.65461|y:71.70823|z:352.9005),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:5.359092|y:85.0294|z:356.4689),Pos(x:-0.5788362|y:1.222926|z:1.281463)|Rot(x:17.53213|y:85.08447|z:356.4799),Pos(x:-0.5732316|y:1.240425|z:1.280812)|Rot(x:28.6593|y:89.85358|z:358.7571),Pos(x:-0.5640244|y:1.257269|z:1.280419)|Rot(x:28.65934|y:89.85355|z:358.7571),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:49
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:309.0452|y:214.7719|z:25.36411),Pos(x:-0.5490105|y:1.146997|z:1.368138)|Rot(x:315.6848|y:220.2575|z:32.91348),Pos(x:-0.5100968|y:1.176447|z:1.372866)|Rot(x:327.2806|y:232.9251|z:48.45815),Pos(x:-0.4890862|y:1.192349|z:1.362005)|Rot(x:327.2806|y:232.9252|z:48.45812),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:11.13144|y:94.94508|z:359.7473),Pos(x:-0.5763777|y:1.241782|z:1.354461)|Rot(x:43.05038|y:94.76223|z:359.6607),Pos(x:-0.5587333|y:1.260749|z:1.352837)|Rot(x:71.77667|y:94.24072|z:359.2071),Pos(x:-0.5332824|y:1.269161|z:1.350577)|Rot(x:71.7767|y:94.2405|z:359.2069),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.7822|y:90|z:0),Pos(x:-0.5779701|y:1.248268|z:1.328133)|Rot(x:34.58481|y:90|z:0),Pos(x:-0.5622358|y:1.271089|z:1.328133)|Rot(x:56.00718|y:90|z:0),Pos(x:-0.538772|y:1.286911|z:1.328133)|Rot(x:56.00714|y:90.00008|z:7.024557E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:10.43448|y:87.0311|z:0.1513947),Pos(x:-0.5776632|y:1.23802|z:1.304528)|Rot(x:33.53969|y:87.10239|z:0.1786416),Pos(x:-0.5631304|y:1.259978|z:1.305346)|Rot(x:52.21522|y:64.67117|z:342.1028),Pos(x:-0.5422002|y:1.27502|z:1.306481)|Rot(x:52.21521|y:64.67117|z:342.1029),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:10.44133|y:85.05183|z:356.472),Pos(x:-0.5753911|y:1.222446|z:1.281762)|Rot(x:33.54639|y:85.17056|z:356.5174),Pos(x:-0.5651914|y:1.237741|z:1.281503)|Rot(x:54.37439|y:92.46275|z:2.426695),Pos(x:-0.5495783|y:1.248915|z:1.281645)|Rot(x:54.37442|y:92.46268|z:2.426615),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:50
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:307.957|y:212.7244|z:27.98001),Pos(x:-0.5481756|y:1.145853|z:1.368138)|Rot(x:314.4388|y:218.7495|z:35.04825),Pos(x:-0.5082783|y:1.173957|z:1.372866)|Rot(x:325.7261|y:232.1366|z:49.8868),Pos(x:-0.4867364|y:1.189131|z:1.362005)|Rot(x:325.7261|y:232.1366|z:49.88677),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:22.28984|y:94.89222|z:359.732),Pos(x:-0.5676886|y:1.239164|z:1.353713)|Rot(x:55.32127|y:94.63547|z:359.5642),Pos(x:-0.5464299|y:1.253932|z:1.351792)|Rot(x:85.04473|y:92.13274|z:357.1282),Pos(x:-0.5197328|y:1.256253|z:1.349449)|Rot(x:85.04473|y:92.13216|z:357.1276),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:14.33745|y:90|z:0),Pos(x:-0.5747724|y:1.247555|z:1.328133)|Rot(x:37.57911|y:90|z:0),Pos(x:-0.5578675|y:1.269523|z:1.328133)|Rot(x:58.49664|y:90|z:0),Pos(x:-0.5337386|y:1.284311|z:1.328133)|Rot(x:58.49655|y:90.00011|z:9.476395E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:14.77472|y:87.04296|z:0.1539836),Pos(x:-0.5742283|y:1.237251|z:1.304706)|Rot(x:38.58507|y:87.12248|z:0.1904734),Pos(x:-0.5578232|y:1.257843|z:1.305618)|Rot(x:57.40847|y:61.41117|z:338.1005),Pos(x:-0.5355088|y:1.270738|z:1.30682)|Rot(x:57.40849|y:61.41121|z:338.1006),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:14.78155|y:85.07156|z:356.4763),Pos(x:-0.572492|y:1.221795|z:1.282013)|Rot(x:38.59171|y:85.20403|z:356.5372),Pos(x:-0.5609915|y:1.23614|z:1.281863)|Rot(x:59.99824|y:93.72795|z:3.90101),Pos(x:-0.5443528|y:1.245718|z:1.282088)|Rot(x:59.99829|y:93.72788|z:3.900938),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:51
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:308.1505|y:213.1063|z:27.49508),Pos(x:-0.5483245|y:1.146063|z:1.368138)|Rot(x:314.6623|y:219.031|z:34.65318),Pos(x:-0.5086026|y:1.174414|z:1.372866)|Rot(x:326.0075|y:232.2845|z:49.62319),Pos(x:-0.4871554|y:1.189722|z:1.362005)|Rot(x:326.0075|y:232.2845|z:49.62317),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:30.05182|y:94.85041|z:359.7135),Pos(x:-0.5620196|y:1.236368|z:1.35323)|Rot(x:77.03188|y:93.91707|z:358.8951),Pos(x:-0.5368237|y:1.242192|z:1.351003)|Rot(x:60.68097|y:275.4354|z:180.5064),Pos(x:-0.5134532|y:1.22902|z:1.349018)|Rot(x:60.68091|y:275.4355|z:180.5065),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:26.37813|y:90|z:0),Pos(x:-0.5643877|y:1.243702|z:1.328133)|Rot(x:68.12711|y:90|z:0),Pos(x:-0.5386636|y:1.254029|z:1.328133)|Rot(x:74.2989|y:270|z:180),Pos(x:-0.5114195|y:1.24637|z:1.328133)|Rot(x:74.2989|y:269.9998|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.77755|y:87.07241|z:0.1639898),Pos(x:-0.5666028|y:1.234505|z:1.305098)|Rot(x:64.23423|y:87.31214|z:0.3425144),Pos(x:-0.5429116|y:1.245957|z:1.306368)|Rot(x:73.45708|y:321.7017|z:233.522),Pos(x:-0.5175181|y:1.241589|z:1.307686)|Rot(x:73.45708|y:321.7017|z:233.522),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.78431|y:85.12064|z:356.493),Pos(x:-0.566056|y:1.219471|z:1.282565)|Rot(x:64.24043|y:85.52|z:356.7905),Pos(x:-0.549493|y:1.22745|z:1.28283)|Rot(x:79.06582|y:241.2791|z:152.824),Pos(x:-0.5305719|y:1.22421|z:1.283199)|Rot(x:79.06575|y:241.2795|z:152.8244),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:52
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:308.1505|y:213.1063|z:27.49508),Pos(x:-0.5483245|y:1.146063|z:1.368138)|Rot(x:314.6623|y:219.031|z:34.65318),Pos(x:-0.5086026|y:1.174414|z:1.372866)|Rot(x:326.0075|y:232.2845|z:49.62319),Pos(x:-0.4871554|y:1.189722|z:1.362005)|Rot(x:326.0075|y:232.2845|z:49.62317),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:16.03598|y:94.92258|z:359.742),Pos(x:-0.5724968|y:1.240841|z:1.354126)|Rot(x:50.18015|y:94.69646|z:359.6128),Pos(x:-0.5526428|y:1.257462|z:1.352319)|Rot(x:80.90759|y:93.44426|z:358.4307),Pos(x:-0.5261829|y:1.261712|z:1.349989)|Rot(x:80.9077|y:93.44393|z:358.4304),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:7.500327|y:90|z:0),Pos(x:-0.5809559|y:1.248748|z:1.328133)|Rot(x:23.8356|y:90|z:0),Pos(x:-0.5697541|y:1.274103|z:1.328133)|Rot(x:38.53735|y:90|z:0),Pos(x:-0.5521225|y:1.29624|z:1.328133)|Rot(x:38.53731|y:90.00007|z:5.020897E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:6.144831|y:87.01972|z:0.1497572),Pos(x:-0.5811054|y:1.238522|z:1.304349)|Rot(x:20.18731|y:87.05844|z:0.1586421),Pos(x:-0.57203|y:1.263248|z:1.304889)|Rot(x:31.83871|y:71.05051|z:351.5531),Pos(x:-0.5580663|y:1.284928|z:1.305676)|Rot(x:31.8387|y:71.05055|z:351.5531),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:6.151709|y:85.03288|z:356.4693),Pos(x:-0.5782963|y:1.222871|z:1.28151)|Rot(x:20.1941|y:85.09734|z:356.4841),Pos(x:-0.5718881|y:1.240095|z:1.280928)|Rot(x:32.98738|y:90.09703|z:359.1952),Pos(x:-0.5614361|y:1.256198|z:1.280641)|Rot(x:32.98742|y:90.09699|z:359.1952),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:53
taeyoon_S,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:308.1505|y:213.1063|z:27.49508),Pos(x:-0.5483245|y:1.146063|z:1.368138)|Rot(x:314.6623|y:219.031|z:34.65318),Pos(x:-0.5086026|y:1.174414|z:1.372866)|Rot(x:326.0075|y:232.2845|z:49.62319),Pos(x:-0.4871554|y:1.189722|z:1.362005)|Rot(x:326.0075|y:232.2845|z:49.62317),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:16.03598|y:94.92258|z:359.742),Pos(x:-0.5724968|y:1.240841|z:1.354126)|Rot(x:50.24967|y:94.69572|z:359.6122),Pos(x:-0.5526227|y:1.257438|z:1.352317)|Rot(x:81.03976|y:93.42107|z:358.4078),Pos(x:-0.5261531|y:1.261626|z:1.349986)|Rot(x:81.03979|y:93.42065|z:358.4074),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:7.81911|y:90|z:0),Pos(x:-0.5806648|y:1.248709|z:1.328133)|Rot(x:24.71321|y:90|z:0),Pos(x:-0.5690759|y:1.27389|z:1.328133)|Rot(x:39.91789|y:90|z:0),Pos(x:-0.5509161|y:1.295595|z:1.328133)|Rot(x:39.91787|y:90.00005|z:3.56219E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:6.16304|y:87.01978|z:0.1497593),Pos(x:-0.5810907|y:1.23852|z:1.30435)|Rot(x:20.24796|y:87.05862|z:0.1587066),Pos(x:-0.5719892|y:1.263237|z:1.304891)|Rot(x:31.93375|y:71.03387|z:351.5211),Pos(x:-0.5579882|y:1.284893|z:1.30568)|Rot(x:31.93376|y:71.03389|z:351.5211),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:6.169921|y:85.03295|z:356.4693),Pos(x:-0.5782839|y:1.22287|z:1.281511)|Rot(x:20.25475|y:85.09763|z:356.4842),Pos(x:-0.5718576|y:1.240087|z:1.280931)|Rot(x:33.08583|y:90.10317|z:359.2057),Pos(x:-0.5613779|y:1.256172|z:1.280646)|Rot(x:33.08588|y:90.10313|z:359.2057),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-27 16:25:54
