Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
F1_2,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-10 15:15:14,
F1_2,0,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:326.7321|y:229.704|z:349.4849),Pos(x:-0.5746878|y:1.1581|z:1.374981)|Rot(x:329.8916|y:229.1858|z:354.6219),Pos(x:-0.5591589|y:1.200328|z:1.394464)|Rot(x:337.0606|y:229.1994|z:5.572721),Pos(x:-0.5489815|y:1.226451|z:1.399593)|Rot(x:337.0606|y:229.1994|z:5.572692),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:357.3795|y:95.00522|z:359.7518),Pos(x:-0.5930498|y:1.242614|z:1.355431)|Rot(x:358.0091|y:95.00248|z:359.7519),Pos(x:-0.5939579|y:1.268554|z:1.355398)|Rot(x:358.5757|y:95.00003|z:359.752),Pos(x:-0.5946342|y:1.295446|z:1.35534)|Rot(x:358.5757|y:94.99998|z:359.752),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:359.1413|y:90|z:0),Pos(x:-0.5941722|y:1.249194|z:1.328133)|Rot(x:1.98349|y:90|z:0),Pos(x:-0.5932128|y:1.276897|z:1.328133)|Rot(x:4.541466|y:90|z:0),Pos(x:-0.590972|y:1.305108|z:1.328133)|Rot(x:4.541423|y:90.00005|z:1.712925E-06),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:357.2629|y:86.99657|z:0.1490613),Pos(x:-0.5938314|y:1.238736|z:1.303973)|Rot(x:357.4131|y:86.99696|z:0.1490516),Pos(x:-0.5950224|y:1.265054|z:1.30398)|Rot(x:357.6519|y:73.40198|z:0.7210029),Pos(x:-0.5961281|y:1.29083|z:1.303989)|Rot(x:357.6519|y:73.40198|z:0.7210132),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:357.2698|y:84.99431|z:356.4681),Pos(x:-0.5899|y:1.223053|z:1.280981)|Rot(x:357.42|y:84.99497|z:356.4681),Pos(x:-0.590624|y:1.241386|z:1.27978)|Rot(x:357.8165|y:89.13281|z:356.301),Pos(x:-0.5913352|y:1.260532|z:1.278531)|Rot(x:357.8166|y:89.13277|z:356.301),No,,,2024-10-10 15:15:44,
F1_2,0,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:336.0206|y:223.3403|z:340.539),Pos(x:-0.5866603|y:1.159831|z:1.375831)|Rot(x:338.5339|y:222.4922|z:344.8799),Pos(x:-0.5843902|y:1.203881|z:1.397242)|Rot(x:344.3541|y:221.3634|z:354.2758),Pos(x:-0.5814697|y:1.231188|z:1.404861)|Rot(x:344.3541|y:221.3634|z:354.2758),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:357.3767|y:95.00521|z:359.7518),Pos(x:-0.5930521|y:1.242614|z:1.355431)|Rot(x:3.132676|y:94.98029|z:359.7517),Pos(x:-0.5916488|y:1.268531|z:1.355196)|Rot(x:8.313083|y:94.95762|z:359.7494),Pos(x:-0.5877843|y:1.295148|z:1.354743)|Rot(x:8.313122|y:94.95758|z:359.7494),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:9.276738|y:90|z:0),Pos(x:-0.5848685|y:1.248509|z:1.328133)|Rot(x:28.14518|y:90|z:0),Pos(x:-0.571793|y:1.272951|z:1.328133)|Rot(x:45.12679|y:90|z:0),Pos(x:-0.5517376|y:1.292918|z:1.328133)|Rot(x:45.12675|y:90.00007|z:5.324433E-05),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:4.891121|y:87.01644|z:0.1494395),Pos(x:-0.5876498|y:1.23862|z:1.304297)|Rot(x:16.62849|y:87.04816|z:0.1553943),Pos(x:-0.5801247|y:1.263862|z:1.304756)|Rot(x:26.41076|y:71.87745|z:353.2801),Pos(x:-0.5683538|y:1.286811|z:1.305432)|Rot(x:26.41075|y:71.87745|z:353.2801),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:4.898009|y:85.0274|z:356.4688),Pos(x:-0.5846828|y:1.222954|z:1.281436)|Rot(x:16.63531|y:85.08022|z:356.4787),Pos(x:-0.5793516|y:1.240538|z:1.280761)|Rot(x:27.37484|y:89.79042|z:358.6346),Pos(x:-0.5705242|y:1.257583|z:1.280336)|Rot(x:27.37488|y:89.79037|z:358.6345),No,,,2024-10-10 15:16:14,
F1_2,0.01,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:332.6479|y:228.1637|z:354.6497),Pos(x:-0.5753335|y:1.160834|z:1.370002)|Rot(x:341.1084|y:228.3384|z:7.528581),Pos(x:-0.5593057|y:1.206823|z:1.375664)|Rot(x:358.6819|y:235.3616|z:35.6277),Pos(x:-0.5494309|y:1.229982|z:1.362308)|Rot(x:358.6819|y:235.3616|z:35.62769),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:0.05828241|y:94.99361|z:359.752),Pos(x:-0.5908694|y:1.242663|z:1.35524)|Rot(x:12.12313|y:94.94061|z:359.7464),Pos(x:-0.5854486|y:1.26804|z:1.354656)|Rot(x:22.98149|y:94.88871|z:359.7307),Pos(x:-0.5749949|y:1.292805|z:1.353635)|Rot(x:22.98153|y:94.88866|z:359.7307),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:5.953439|y:90|z:0),Pos(x:-0.5879039|y:1.248915|z:1.328133)|Rot(x:19.80554|y:90|z:0),Pos(x:-0.5785117|y:1.274995|z:1.328133)|Rot(x:32.27242|y:90|z:0),Pos(x:-0.563401|y:1.298923|z:1.328133)|Rot(x:32.27238|y:90.00005|z:3.231241E-05),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:2.981692|y:87.01145|z:0.1490974),Pos(x:-0.5891948|y:1.238726|z:1.304216)|Rot(x:11.8939|y:87.03506|z:0.1521629),Pos(x:-0.5837761|y:1.264505|z:1.304567)|Rot(x:19.37235|y:72.64159|z:355.2893),Pos(x:-0.5750033|y:1.288762|z:1.305089)|Rot(x:19.37235|y:72.64159|z:355.2893),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:2.988592|y:85.01909|z:356.4682),Pos(x:-0.5859867|y:1.223044|z:1.281322)|Rot(x:11.90074|y:85.05839|z:356.4733),Pos(x:-0.582119|y:1.241001|z:1.280522)|Rot(x:20.1214|y:89.49959|z:357.992),Pos(x:-0.5755125|y:1.259018|z:1.279907)|Rot(x:20.12143|y:89.49956|z:357.9919),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-10 15:16:44,
F1_2,0,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:339.7454|y:221.2142|z:340.7874),Pos(x:-0.5889806|y:1.160903|z:1.373872)|Rot(x:343.8666|y:219.9906|z:347.7022),Pos(x:-0.5884268|y:1.206922|z:1.390782)|Rot(x:353.4455|y:219.1621|z:2.591676),Pos(x:-0.5853752|y:1.235207|z:1.392488)|Rot(x:353.4455|y:219.1621|z:2.591651),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:357.2075|y:95.00597|z:359.7517),Pos(x:-0.5931898|y:1.242608|z:1.355443)|Rot(x:0.2153128|y:94.99294|z:359.752),Pos(x:-0.5931023|y:1.268563|z:1.355323)|Rot(x:2.922365|y:94.98121|z:359.7517),Pos(x:-0.5917462|y:1.295428|z:1.355088)|Rot(x:2.922413|y:94.98115|z:359.7517),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:2.089993|y:90|z:0),Pos(x:-0.5914551|y:1.249165|z:1.328133)|Rot(x:9.301414|y:90|z:0),Pos(x:-0.5869749|y:1.27652|z:1.328133)|Rot(x:15.79169|y:90|z:0),Pos(x:-0.5792733|y:1.303752|z:1.328133)|Rot(x:15.79166|y:90.00005|z:1.153439E-05),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:0.2578402|y:87.00436|z:0.1488971),Pos(x:-0.5914031|y:1.238789|z:1.304101)|Rot(x:4.751877|y:87.01608|z:0.1494065),Pos(x:-0.5892272|y:1.265043|z:1.304283)|Rot(x:8.583942|y:73.28614|z:358.0648),Pos(x:-0.5852906|y:1.290539|z:1.304555)|Rot(x:8.583932|y:73.28613|z:358.0648),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:0.2647528|y:85.00729|z:356.4679),Pos(x:-0.5878505|y:1.223098|z:1.28116)|Rot(x:4.758758|y:85.02678|z:356.4687),Pos(x:-0.5862356|y:1.241386|z:1.280164)|Rot(x:9.035024|y:89.23085|z:357.1202),Pos(x:-0.5832116|y:1.260323|z:1.27924)|Rot(x:9.035058|y:89.23081|z:357.1201),No,,,2024-10-10 15:17:14,
F1_2,0,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:334.5475|y:225.5292|z:347.397),Pos(x:-0.5811385|y:1.160696|z:1.373291)|Rot(x:339.3073|y:224.7312|z:355.0592),Pos(x:-0.5719907|y:1.206393|z:1.388526)|Rot(x:350.0956|y:225.3678|z:11.46579),Pos(x:-0.5645916|y:1.233908|z:1.387869)|Rot(x:350.0956|y:225.3678|z:11.46577),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:357.3814|y:95.0052|z:359.7518),Pos(x:-0.5930483|y:1.242615|z:1.355431)|Rot(x:0.9616799|y:94.98971|z:359.752),Pos(x:-0.5926241|y:1.268566|z:1.355281)|Rot(x:4.183929|y:94.97573|z:359.7514),Pos(x:-0.590679|y:1.295395|z:1.354995)|Rot(x:4.183976|y:94.97567|z:359.7514),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:2.594162|y:90|z:0),Pos(x:-0.5909908|y:1.249146|z:1.328133)|Rot(x:10.57939|y:90|z:0),Pos(x:-0.5859016|y:1.276394|z:1.328133)|Rot(x:17.7661|y:90|z:0),Pos(x:-0.5772663|y:1.303344|z:1.328133)|Rot(x:17.76605|y:90.00005|z:1.793058E-05),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:358.7417|y:87.00043|z:0.148936),Pos(x:-0.5926327|y:1.238778|z:1.304036)|Rot(x:1.024047|y:87.00636|z:0.1489217),Pos(x:-0.5921661|y:1.265118|z:1.304129)|Rot(x:3.02697|y:73.40865|z:359.4213),Pos(x:-0.5907861|y:1.290881|z:1.304268)|Rot(x:3.026964|y:73.40865|z:359.4213),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:358.7487|y:85.00072|z:356.4679),Pos(x:-0.5888882|y:1.223089|z:1.281069)|Rot(x:1.030952|y:85.0106|z:356.4679),Pos(x:-0.5884608|y:1.241437|z:1.279969)|Rot(x:3.331944|y:89.16079|z:356.7001),Pos(x:-0.5873307|y:1.260573|z:1.278881)|Rot(x:3.331986|y:89.16075|z:356.7001),No,,,2024-10-10 15:17:44,
F1_2,1,0,0,0,1,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:303.7782|y:242.1609|z:356.814),Pos(x:-0.5564837|y:1.146378|z:1.372729)|Rot(x:309.4643|y:242.341|z:5.352139),Pos(x:-0.5209801|y:1.177406|z:1.386173)|Rot(x:321.856|y:246.5464|z:21.9968),Pos(x:-0.5017585|y:1.198188|z:1.382876)|Rot(x:321.856|y:246.5465|z:21.99676),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:6.0783|y:94.96746|z:359.7506),Pos(x:-0.5859769|y:1.2424|z:1.354814)|Rot(x:25.78679|y:94.87405|z:359.7246),Pos(x:-0.574737|y:1.265771|z:1.35373)|Rot(x:43.52438|y:94.75835|z:359.658),Pos(x:-0.5562894|y:1.285275|z:1.352034)|Rot(x:43.52443|y:94.75828|z:359.658),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:9.786543|y:90|z:0),Pos(x:-0.5844051|y:1.248431|z:1.328133)|Rot(x:29.98003|y:90|z:0),Pos(x:-0.5705537|y:1.272442|z:1.328133)|Rot(x:48.15417|y:90|z:0),Pos(x:-0.5494719|y:1.291322|z:1.328133)|Rot(x:48.15414|y:90.00007|z:4.863136E-05),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:9.8427|y:87.02953|z:0.1511231),Pos(x:-0.5836678|y:1.238104|z:1.304504)|Rot(x:30.12628|y:87.0901|z:0.1721466),Pos(x:-0.5704665|y:1.26089|z:1.305254)|Rot(x:46.65902|y:67.16037|z:345.3956),Pos(x:-0.5512075|y:1.278025|z:1.306307)|Rot(x:46.65902|y:67.16037|z:345.3956),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:9.849554|y:85.04919|z:356.4716),Pos(x:-0.581322|y:1.222518|z:1.281728)|Rot(x:30.133|y:85.15008|z:356.5066),Pos(x:-0.5720474|y:1.23839|z:1.28139)|Rot(x:48.4655|y:91.52811|z:1.265617),Pos(x:-0.5576724|y:1.251118|z:1.281431)|Rot(x:48.46555|y:91.52805|z:1.265567),Yes,1,StressBall (UnityEngine.GameObject),2024-10-10 15:18:14,
F1_2,0,0,0,0,0.1,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:338.7187|y:222.6462|z:344.3342),Pos(x:-0.5858942|y:1.161399|z:1.372873)|Rot(x:344.1835|y:221.5021|z:353.2041),Pos(x:-0.5814463|y:1.208241|z:1.386655)|Rot(x:356.6576|y:222.1091|z:12.30096),Pos(x:-0.5758532|y:1.23604|z:1.383788)|Rot(x:356.6576|y:222.1091|z:12.30095),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:0.7466479|y:94.99063|z:359.752),Pos(x:-0.590309|y:1.242659|z:1.355191)|Rot(x:13.07849|y:94.93626|z:359.7455),Pos(x:-0.5844672|y:1.267942|z:1.354571)|Rot(x:24.17712|y:94.88255|z:359.7282),Pos(x:-0.5735011|y:1.292482|z:1.353506)|Rot(x:24.17716|y:94.88249|z:359.7282),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:8.011151|y:90|z:0),Pos(x:-0.5860216|y:1.248684|z:1.328133)|Rot(x:25.22365|y:90|z:0),Pos(x:-0.5742089|y:1.273761|z:1.328133)|Rot(x:40.7149|y:90|z:0),Pos(x:-0.5557489|y:1.295211|z:1.328133)|Rot(x:40.71486|y:90.00006|z:4.505608E-05),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:9.005699|y:87.02729|z:0.1507506),Pos(x:-0.5843376|y:1.238216|z:1.304469)|Rot(x:27.9187|y:87.0826|z:0.1685118),Pos(x:-0.5720227|y:1.261494|z:1.305174)|Rot(x:43.41062|y:68.2893|z:347.0031),Pos(x:-0.5538256|y:1.279756|z:1.306174)|Rot(x:43.41063|y:68.28932|z:347.0031),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:9.012554|y:85.04547|z:356.4709),Pos(x:-0.5818873|y:1.222612|z:1.281679)|Rot(x:27.92544|y:85.13757|z:356.5005),Pos(x:-0.5732285|y:1.238827|z:1.281289)|Rot(x:45.04527|y:91.11074|z:0.7133743),Pos(x:-0.5596403|y:1.252392|z:1.281265)|Rot(x:45.0453|y:91.1107|z:0.7133457),No,,,2024-10-10 15:18:44,
F1_2,0,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:339.5164|y:221.1574|z:339.9496),Pos(x:-0.5894036|y:1.160644|z:1.374329)|Rot(x:343.1443|y:219.989|z:346.109),Pos(x:-0.5895529|y:1.206195|z:1.392467)|Rot(x:351.5958|y:218.8878|z:359.3866),Pos(x:-0.5871755|y:1.234387|z:1.395901)|Rot(x:351.5958|y:218.8879|z:359.3866),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:357.3379|y:95.00539|z:359.7518),Pos(x:-0.5930837|y:1.242613|z:1.355434)|Rot(x:359.0367|y:94.99803|z:359.752),Pos(x:-0.5935282|y:1.268565|z:1.35536)|Rot(x:0.5657528|y:94.99141|z:359.752),Pos(x:-0.5932737|y:1.295463|z:1.355221)|Rot(x:0.5657937|y:94.99136|z:359.752),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:359.7971|y:90|z:0),Pos(x:-0.5935678|y:1.249199|z:1.328133)|Rot(x:3.596885|y:90|z:0),Pos(x:-0.5918288|y:1.276864|z:1.328133)|Rot(x:7.016635|y:90|z:0),Pos(x:-0.5883718|y:1.304953|z:1.328133)|Rot(x:7.016594|y:90.00005|z:7.526889E-06),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:358.4491|y:86.99966|z:0.1489515),Pos(x:-0.5928699|y:1.238772|z:1.304024)|Rot(x:0.2997229|y:87.00447|z:0.1488943),Pos(x:-0.5927359|y:1.265116|z:1.304099)|Rot(x:1.945255|y:73.41711|z:359.6831),Pos(x:-0.5918558|y:1.290901|z:1.304213)|Rot(x:1.945254|y:73.41711|z:359.6831),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:358.4561|y:84.99947|z:356.468),Pos(x:-0.5890885|y:1.223084|z:1.281052)|Rot(x:0.3066271|y:85.00748|z:356.4679),Pos(x:-0.5888921|y:1.241435|z:1.279932)|Rot(x:2.221996|y:89.15204|z:356.6195),Pos(x:-0.5881323|y:1.260587|z:1.278811)|Rot(x:2.222029|y:89.15202|z:356.6195),No,,,2024-10-10 15:19:14,
F1_2,1,0,0,0,0,Pos(x:-0.5875688|y:1.122002|z:1.353552)|Rot(x:303.3641|y:242.4296|z:356.8869),Pos(x:-0.5562107|y:1.146116|z:1.372616)|Rot(x:308.781|y:242.5836|z:5.032561),Pos(x:-0.5204327|y:1.176707|z:1.386329)|Rot(x:320.6232|y:246.456|z:20.92945),Pos(x:-0.5008839|y:1.197284|z:1.383742)|Rot(x:320.6231|y:246.4561|z:20.9294),Pos(x:-0.5908992|y:1.195834|z:1.355446)|Rot(x:0.1634342|y:94.99315|z:359.752),Pos(x:-0.5907838|y:1.242663|z:1.355233)|Rot(x:7.813639|y:94.95984|z:359.7497),Pos(x:-0.5872781|y:1.268378|z:1.354815)|Rot(x:14.69882|y:94.92883|z:359.7437),Pos(x:-0.5804882|y:1.294397|z:1.354108)|Rot(x:14.69887|y:94.92876|z:359.7437),Pos(x:-0.5933809|y:1.196394|z:1.328133)|Rot(x:359.86|y:90|z:0),Pos(x:-0.5935099|y:1.2492|z:1.328133)|Rot(x:3.783156|y:90|z:0),Pos(x:-0.5916809|y:1.276859|z:1.328133)|Rot(x:7.314027|y:90|z:0),Pos(x:-0.5880782|y:1.304929|z:1.328133)|Rot(x:7.31399|y:90.00005|z:4.303888E-07),Pos(x:-0.5916058|y:1.192253|z:1.303969)|Rot(x:359.1866|y:87.00159|z:0.1489104),Pos(x:-0.5922719|y:1.238785|z:1.304055)|Rot(x:2.117481|y:87.00919|z:0.1489945),Pos(x:-0.5913035|y:1.265111|z:1.304174)|Rot(x:4.657091|y:73.38652|z:359.0259),Pos(x:-0.5891711|y:1.290822|z:1.304353)|Rot(x:4.657095|y:73.38653|z:359.0259),Pos(x:-0.5882433|y:1.183715|z:1.283566)|Rot(x:359.1935|y:85.00266|z:356.4679),Pos(x:-0.5885838|y:1.223094|z:1.281096)|Rot(x:2.12438|y:85.01533|z:356.468),Pos(x:-0.5878077|y:1.241433|z:1.280026)|Rot(x:5.004697|y:89.17692|z:356.8222),Pos(x:-0.5861202|y:1.26053|z:1.278986)|Rot(x:5.004736|y:89.17687|z:356.8222),Yes,1,StressBall (UnityEngine.GameObject),2024-10-10 15:19:44,
