Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
F4_2,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-21 19:41:10,
F4_2,1,0,0,0,0.01,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:317.3187|y:222.6102|z:25.05072),Pos(x:-0.5554274|y:1.151246|z:1.360813)|Rot(x:327.8263|y:230.8638|z:39.0207),Pos(x:-0.5202106|y:1.183489|z:1.349671)|Rot(x:343.1549|y:254.3536|z:70.611),Pos(x:-0.5103199|y:1.192544|z:1.324523)|Rot(x:343.1549|y:254.3536|z:70.61098),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:19.00076|y:94.90848|z:359.7378),Pos(x:-0.5755271|y:1.240112|z:1.353928)|Rot(x:44.76542|y:94.74792|z:359.6508),Pos(x:-0.5573249|y:1.25854|z:1.352258)|Rot(x:67.95316|y:94.38155|z:359.3394),Pos(x:-0.5324901|y:1.268637|z:1.350044)|Rot(x:67.95317|y:94.38141|z:359.3393),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:9.675005|y:90|z:0),Pos(x:-0.5843067|y:1.248449|z:1.328133)|Rot(x:26.14844|y:90|z:0),Pos(x:-0.5720907|y:1.273331|z:1.328133)|Rot(x:40.97453|y:90|z:0),Pos(x:-0.5535337|y:1.294698|z:1.328133)|Rot(x:40.97448|y:90.00007|z:4.749458E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:7.350484|y:87.0229|z:0.1501269),Pos(x:-0.5854667|y:1.238407|z:1.3044)|Rot(x:20.91216|y:87.0606|z:0.1593999),Pos(x:-0.5760797|y:1.263016|z:1.304955)|Rot(x:32.11957|y:71.00108|z:351.4583),Pos(x:-0.5620057|y:1.284625|z:1.305748)|Rot(x:32.11955|y:71.00108|z:351.4583),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:7.357351|y:85.03815|z:356.4699),Pos(x:-0.5828091|y:1.222774|z:1.281582)|Rot(x:20.91895|y:85.10094|z:356.4854),Pos(x:-0.5761844|y:1.239916|z:1.281018)|Rot(x:33.27835|y:90.11525|z:359.2262),Pos(x:-0.5656507|y:1.255966|z:1.280738)|Rot(x:33.2784|y:90.1152|z:359.2262),Yes,1,StressBall (UnityEngine.GameObject),2024-10-21 19:41:40,
F4_2,0.3,0,0,0,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:316.3411|y:222.6527|z:20.13656),Pos(x:-0.5569666|y:1.151828|z:1.364243)|Rot(x:325.4783|y:228.4103|z:32.07339),Pos(x:-0.5220747|y:1.186059|z:1.3604)|Rot(x:340.6276|y:245.1114|z:57.50366),Pos(x:-0.5073511|y:1.200504|z:1.340732)|Rot(x:340.6276|y:245.1114|z:57.50364),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:15.69696|y:94.92419|z:359.7424),Pos(x:-0.5780947|y:1.240917|z:1.354149)|Rot(x:32.77143|y:94.83424|z:359.7051),Pos(x:-0.5641065|y:1.262741|z:1.352832)|Rot(x:48.13838|y:94.71713|z:359.6284),Pos(x:-0.5441551|y:1.280692|z:1.351011)|Rot(x:48.13845|y:94.71704|z:359.6284),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:14.2649|y:90|z:0),Pos(x:-0.5801696|y:1.247572|z:1.328133)|Rot(x:34.98396|y:90|z:0),Pos(x:-0.5642767|y:1.270283|z:1.328133)|Rot(x:53.63113|y:90|z:0),Pos(x:-0.5414891|y:1.287064|z:1.328133)|Rot(x:53.63106|y:90.00008|z:6.911021E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:13.5503|y:87.03958|z:0.1531568),Pos(x:-0.5805237|y:1.237494|z:1.304656)|Rot(x:33.48198|y:87.10217|z:0.1785184),Pos(x:-0.566013|y:1.259467|z:1.305473)|Rot(x:49.50708|y:65.98638|z:343.8078),Pos(x:-0.5458738|y:1.275555|z:1.306569)|Rot(x:49.50707|y:65.9864|z:343.8078),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:13.55714|y:85.06593|z:356.475),Pos(x:-0.5786372|y:1.222001|z:1.281943)|Rot(x:33.48866|y:85.17019|z:356.5172),Pos(x:-0.5684529|y:1.237307|z:1.281682)|Rot(x:51.48348|y:91.96609|z:1.820219),Pos(x:-0.5534257|y:1.249257|z:1.281777)|Rot(x:51.4835|y:91.96603|z:1.820155),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:42:10,
F4_2,0.11,0,0,0,0.02,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:322.3496|y:227.8768|z:11.69402),Pos(x:-0.5619177|y:1.156047|z:1.364569)|Rot(x:331.8028|y:231.597|z:24.91685),Pos(x:-0.5326208|y:1.195237|z:1.361432)|Rot(x:348.0377|y:245.3234|z:52.44426),Pos(x:-0.5199163|y:1.212231|z:1.342405)|Rot(x:348.0377|y:245.3234|z:52.44424),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:10.87331|y:94.94623|z:359.7475),Pos(x:-0.5819165|y:1.241823|z:1.354479)|Rot(x:37.67839|y:94.80236|z:359.6867),Pos(x:-0.5661193|y:1.262365|z:1.353009)|Rot(x:61.80266|y:94.53138|z:359.4753),Pos(x:-0.5425061|y:1.275075|z:1.350891)|Rot(x:61.80269|y:94.53121|z:359.4751),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:7.71253|y:90|z:0),Pos(x:-0.5860945|y:1.248722|z:1.328133)|Rot(x:24.41703|y:90|z:0),Pos(x:-0.5746359|y:1.273962|z:1.328133)|Rot(x:39.4511|y:90|z:0),Pos(x:-0.5566536|y:1.295815|z:1.328133)|Rot(x:39.45105|y:90.00007|z:4.422736E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:10.02476|y:87.03001|z:0.1512016),Pos(x:-0.5833226|y:1.238079|z:1.304511)|Rot(x:30.70407|y:87.09212|z:0.1731727),Pos(x:-0.5698925|y:1.26073|z:1.305273)|Rot(x:47.53659|y:66.81882|z:344.926),Pos(x:-0.5503571|y:1.277549|z:1.30634)|Rot(x:47.5366|y:66.8188|z:344.926),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:10.03162|y:85.05001|z:356.4717),Pos(x:-0.5809995|y:1.222496|z:1.281738)|Rot(x:30.71079|y:85.15343|z:356.5083),Pos(x:-0.5715659|y:1.238274|z:1.281415)|Rot(x:49.39328|y:91.65504|z:1.42864),Pos(x:-0.5569862|y:1.250767|z:1.281472)|Rot(x:49.39331|y:91.65498|z:1.428583),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:42:40,
F4_2,0.1,0,0,0.1,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:310.0872|y:214.4447|z:30.90295),Pos(x:-0.5524666|y:1.146265|z:1.364569)|Rot(x:318.204|y:222.7481|z:40.17688),Pos(x:-0.5122906|y:1.174193|z:1.361432)|Rot(x:331.4806|y:242.3005|z:61.07647),Pos(x:-0.4948683|y:1.186304|z:1.342405)|Rot(x:331.4806|y:242.3005|z:61.07646),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:22.92402|y:94.889|z:359.7308),Pos(x:-0.5725442|y:1.238965|z:1.353673)|Rot(x:48.68864|y:94.71174|z:359.6244),Pos(x:-0.5531281|y:1.256099|z:1.351902)|Rot(x:71.87611|y:94.23626|z:359.2029),Pos(x:-0.5276626|y:1.264466|z:1.34964)|Rot(x:71.87613|y:94.23608|z:359.2027),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:14.75989|y:90|z:0),Pos(x:-0.579728|y:1.247457|z:1.328133)|Rot(x:35.48511|y:90|z:0),Pos(x:-0.563637|y:1.270028|z:1.328133)|Rot(x:54.13778|y:90|z:0),Pos(x:-0.5407019|y:1.286608|z:1.328133)|Rot(x:54.13776|y:90.00008|z:7.578236E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:17.28531|y:87.05003|z:0.1559348),Pos(x:-0.5776036|y:1.236688|z:1.304807)|Rot(x:40.62822|y:87.13142|z:0.1961741),Pos(x:-0.5604758|y:1.256682|z:1.305756)|Rot(x:58.86478|y:60.26423|z:336.7452),Pos(x:-0.5378056|y:1.268938|z:1.306974)|Rot(x:58.86479|y:60.26421|z:336.7452),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:17.29212|y:85.08333|z:356.4796),Pos(x:-0.5761726|y:1.221318|z:1.282155)|Rot(x:40.63483|y:85.21893|z:356.5467),Pos(x:-0.5641699|y:1.235246|z:1.282048)|Rot(x:61.601|y:94.1867|z:4.418447),Pos(x:-0.5472677|y:1.24435|z:1.282293)|Rot(x:61.60102|y:94.18661|z:4.418365),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 19:43:10,
F4_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:336.2942|y:226.8085|z:355.4387),Pos(x:-0.5769288|y:1.162081|z:1.368143)|Rot(x:343.7542|y:226.963|z:6.792399),Pos(x:-0.5630159|y:1.208823|z:1.3732)|Rot(x:359.5054|y:232.5134|z:31.78825),Pos(x:-0.5537133|y:1.233047|z:1.361415)|Rot(x:359.5054|y:232.5135|z:31.78824),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:5.475817|y:94.97009|z:359.7509),Pos(x:-0.5862653|y:1.24245|z:1.354856)|Rot(x:11.22852|y:94.94463|z:359.7472),Pos(x:-0.5812398|y:1.267909|z:1.354307)|Rot(x:16.40595|y:94.92086|z:359.7415),Pos(x:-0.5736806|y:1.293713|z:1.353534)|Rot(x:16.40599|y:94.92078|z:359.7415),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:2.474405|y:90|z:0),Pos(x:-0.5909014|y:1.249151|z:1.328133)|Rot(x:9.724152|y:90|z:0),Pos(x:-0.5862194|y:1.276472|z:1.328133)|Rot(x:16.24893|y:90|z:0),Pos(x:-0.5783008|y:1.303641|z:1.328133)|Rot(x:16.24889|y:90.00005|z:1.245015E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:1.283576|y:87.00703|z:0.1489369),Pos(x:-0.5903714|y:1.238778|z:1.304144)|Rot(x:6.958077|y:87.02187|z:0.1499929),Pos(x:-0.5871879|y:1.264928|z:1.304379)|Rot(x:11.75851|y:73.15489|z:357.2737),Pos(x:-0.5818058|y:1.290158|z:1.304726)|Rot(x:11.7585|y:73.15489|z:357.2737),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:1.290478|y:85.01173|z:356.4679),Pos(x:-0.5869486|y:1.223088|z:1.281221)|Rot(x:6.964959|y:85.03643|z:356.4697),Pos(x:-0.5846337|y:1.241304|z:1.280286)|Rot(x:12.29463|y:89.29069|z:357.3669),Pos(x:-0.580539|y:1.260044|z:1.279454)|Rot(x:12.29467|y:89.29063|z:357.3669),No,,,2024-10-21 19:43:40,
F4_2,0.7,0,0,0.07,0.25,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:313.5383|y:220.5771|z:19.58129),Pos(x:-0.5566831|y:1.1505|z:1.366759)|Rot(x:321.2931|y:225.3641|z:29.36139),Pos(x:-0.5207774|y:1.183846|z:1.368427)|Rot(x:334.7837|y:238.3185|z:49.34636),Pos(x:-0.5026901|y:1.200644|z:1.354182)|Rot(x:334.7836|y:238.3185|z:49.34632),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:27.10539|y:94.86695|z:359.7215),Pos(x:-0.5694591|y:1.23752|z:1.353409)|Rot(x:57.82697|y:94.59971|z:359.5343),Pos(x:-0.5475772|y:1.251341|z:1.351437)|Rot(x:85.47104|y:91.8619|z:356.8582),Pos(x:-0.5208635|y:1.253461|z:1.349094)|Rot(x:85.47104|y:91.86127|z:356.8576),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:21.76368|y:90|z:0),Pos(x:-0.573602|y:1.245436|z:1.328133)|Rot(x:49.20398|y:90|z:0),Pos(x:-0.5526172|y:1.263547|z:1.328133)|Rot(x:73.90022|y:90|z:0),Pos(x:-0.5254271|y:1.271395|z:1.328133)|Rot(x:73.90017|y:90.00016|z:0.0001539375),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:17.90014|y:87.0518|z:0.1564717),Pos(x:-0.5771283|y:1.236537|z:1.304832)|Rot(x:41.47299|y:87.13531|z:0.198732),Pos(x:-0.5597078|y:1.256276|z:1.305795)|Rot(x:59.80071|y:59.45778|z:335.8045),Pos(x:-0.5368167|y:1.268113|z:1.307024)|Rot(x:59.80071|y:59.45778|z:335.8045),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:17.90694|y:85.08625|z:356.4805),Pos(x:-0.5757714|y:1.221191|z:1.28219)|Rot(x:41.4796|y:85.22536|z:356.5509),Pos(x:-0.5635654|y:1.234941|z:1.282099)|Rot(x:62.63876|y:94.51403|z:4.783602),Pos(x:-0.5464994|y:1.243734|z:1.282358)|Rot(x:62.63879|y:94.51393|z:4.783507),Yes,1,StressBall (UnityEngine.GameObject),2024-10-21 19:44:10,
F4_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:320.2903|y:227.1485|z:9.989799),Pos(x:-0.5619327|y:1.15527|z:1.366759)|Rot(x:328.4894|y:229.9762|z:21.3667),Pos(x:-0.5321696|y:1.194198|z:1.368427)|Rot(x:343.1422|y:240.2324|z:44.03235),Pos(x:-0.5171766|y:1.213807|z:1.354182)|Rot(x:343.1422|y:240.2324|z:44.03233),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:16.78102|y:94.91909|z:359.741),Pos(x:-0.5772472|y:1.240669|z:1.354076)|Rot(x:43.83087|y:94.75583|z:359.6563),Pos(x:-0.559347|y:1.259393|z:1.352431)|Rot(x:68.17521|y:94.37472|z:359.333),Pos(x:-0.5344734|y:1.269393|z:1.350214)|Rot(x:68.17527|y:94.37453|z:359.3329),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.939811|y:90|z:0),Pos(x:-0.5868009|y:1.248813|z:1.328133)|Rot(x:20.7377|y:90|z:0),Pos(x:-0.5769856|y:1.274737|z:1.328133)|Rot(x:33.15578|y:90|z:0),Pos(x:-0.5615078|y:1.298429|z:1.328133)|Rot(x:33.15573|y:90.00007|z:3.671325E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:5.790209|y:87.01879|z:0.1496584),Pos(x:-0.5867239|y:1.238552|z:1.304335)|Rot(x:17.97663|y:87.05199|z:0.1565339),Pos(x:-0.5786078|y:1.26361|z:1.304825)|Rot(x:28.1014|y:71.64465|z:352.7619),Pos(x:-0.5661417|y:1.286187|z:1.305536)|Rot(x:28.10139|y:71.64465|z:352.7619),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:5.797088|y:85.03132|z:356.4691),Pos(x:-0.5838702|y:1.222897|z:1.281489)|Rot(x:17.98344|y:85.08663|z:356.4806),Pos(x:-0.5781285|y:1.240352|z:1.28085)|Rot(x:29.1209|y:89.87724|z:358.8019),Pos(x:-0.5687859|y:1.257121|z:1.280469)|Rot(x:29.12094|y:89.8772|z:358.8019),Yes,0,StressBall (UnityEngine.GameObject),2024-10-21 19:44:40,
F4_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:312.1645|y:218.7997|z:21.98647),Pos(x:-0.5556455|y:1.149334|z:1.366772)|Rot(x:319.7729|y:224.102|z:31.30552),Pos(x:-0.5185227|y:1.181318|z:1.368471)|Rot(x:332.9455|y:237.7286|z:50.55939),Pos(x:-0.4998079|y:1.197442|z:1.354257)|Rot(x:332.9454|y:237.7286|z:50.55936),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:24.9889|y:94.8783|z:359.7264),Pos(x:-0.5710075|y:1.23828|z:1.353541)|Rot(x:61.58547|y:94.53555|z:359.4789),Pos(x:-0.5482697|y:1.25063|z:1.351501)|Rot(x:85.46914|y:278.1246|z:183.1405),Pos(x:-0.5215545|y:1.248508|z:1.349176)|Rot(x:85.46918|y:278.1252|z:183.1412),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:14.9392|y:90|z:0),Pos(x:-0.5795683|y:1.247415|z:1.328133)|Rot(x:38.84019|y:90|z:0),Pos(x:-0.5621839|y:1.269006|z:1.328133)|Rot(x:60.35109|y:90|z:0),Pos(x:-0.5375891|y:1.283005|z:1.328133)|Rot(x:60.35107|y:90.00008|z:7.248756E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:12.03193|y:87.03543|z:0.1522433),Pos(x:-0.5817247|y:1.237767|z:1.304594)|Rot(x:32.14027|y:87.09724|z:0.1758372),Pos(x:-0.5677319|y:1.260074|z:1.305385)|Rot(x:48.40126|y:66.4652|z:344.4467),Pos(x:-0.5479285|y:1.276576|z:1.306464)|Rot(x:48.40125|y:66.46517|z:344.4467),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:12.03878|y:85.05902|z:356.4734),Pos(x:-0.5796509|y:1.222232|z:1.281855)|Rot(x:32.14696|y:85.16197|z:356.5128),Pos(x:-0.5698262|y:1.237771|z:1.281564)|Rot(x:50.30926|y:91.7869|z:1.595908),Pos(x:-0.555048|y:1.250028|z:1.281638)|Rot(x:50.30931|y:91.78683|z:1.595848),Yes,0,StressBall (UnityEngine.GameObject),2024-10-21 19:45:10,
F4_2,0.18,0.01,0,0,0.02,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:318.092|y:225.3825|z:12.53256),Pos(x:-0.5602965|y:1.153903|z:1.36688)|Rot(x:326.1172|y:228.6773|z:23.40779),Pos(x:-0.5285964|y:1.191257|z:1.368815)|Rot(x:340.3597|y:239.4809|z:45.10668),Pos(x:-0.5125191|y:1.210202|z:1.354855)|Rot(x:340.3597|y:239.4809|z:45.10665),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:28.03459|y:94.86183|z:359.7191),Pos(x:-0.5687883|y:1.237169|z:1.353352)|Rot(x:64.69225|y:94.46949|z:359.42),Pos(x:-0.5454165|y:1.248264|z:1.351262)|Rot(x:82.31|y:276.8306|z:181.8533),Pos(x:-0.518858|y:1.244666|z:1.348957)|Rot(x:82.31002|y:276.831|z:181.8538),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:13.0496|y:90|z:0),Pos(x:-0.581258|y:1.247836|z:1.328133)|Rot(x:33.0231|y:90|z:0),Pos(x:-0.5661514|y:1.271078|z:1.328133)|Rot(x:50.99929|y:90|z:0),Pos(x:-0.5441585|y:1.288888|z:1.328133)|Rot(x:50.99924|y:90.00008|z:6.51186E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:9.001355|y:87.02728|z:0.1507554),Pos(x:-0.5841413|y:1.238216|z:1.304469)|Rot(x:24.22185|y:87.07067|z:0.1632675),Pos(x:-0.573351|y:1.262241|z:1.305096)|Rot(x:36.72565|y:70.08031|z:349.8087),Pos(x:-0.5575197|y:1.282594|z:1.305978)|Rot(x:36.72565|y:70.08031|z:349.8087),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:9.008215|y:85.04546|z:356.4709),Pos(x:-0.5816905|y:1.222612|z:1.281679)|Rot(x:24.22861|y:85.11773|z:356.4918),Pos(x:-0.5740909|y:1.239348|z:1.281199)|Rot(x:38.06061|y:90.45332|z:359.7699),Pos(x:-0.5622553|y:1.254465|z:1.281028)|Rot(x:38.06066|y:90.45329|z:359.7699),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:45:40,
F4_2,0.07,0,0,0,0.01,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:309.869|y:215.3703|z:26.37839),Pos(x:-0.5539826|y:1.14722|z:1.36688)|Rot(x:317.14|y:221.598|z:34.75446),Pos(x:-0.5148892|y:1.176748|z:1.368815)|Rot(x:329.655|y:236.3438|z:52.49092),Pos(x:-0.4950624|y:1.191724|z:1.354855)|Rot(x:329.655|y:236.3439|z:52.4909),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:27.36351|y:94.86555|z:359.7208),Pos(x:-0.5692722|y:1.237423|z:1.353393)|Rot(x:65.4287|y:94.45158|z:359.4037),Pos(x:-0.5457601|y:1.248216|z:1.351292)|Rot(x:80.30755|y:276.4457|z:181.4729),Pos(x:-0.5193428|y:1.243689|z:1.349003)|Rot(x:80.30746|y:276.4462|z:181.4733),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:14.70893|y:90|z:0),Pos(x:-0.5797734|y:1.247469|z:1.328133)|Rot(x:37.50411|y:90|z:0),Pos(x:-0.5628972|y:1.269459|z:1.328133)|Rot(x:58.01974|y:90|z:0),Pos(x:-0.5388923|y:1.284448|z:1.328133)|Rot(x:58.0197|y:90.00006|z:5.158482E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:12.86684|y:87.03771|z:0.152729),Pos(x:-0.5810634|y:1.237621|z:1.304628)|Rot(x:33.38615|y:87.10182|z:0.1783214),Pos(x:-0.5665895|y:1.259618|z:1.305443)|Rot(x:49.91106|y:65.80354|z:343.5666),Pos(x:-0.5463293|y:1.275554|z:1.306545)|Rot(x:49.91104|y:65.80354|z:343.5667),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:12.87368|y:85.06281|z:356.4742),Pos(x:-0.5790927|y:1.222108|z:1.281903)|Rot(x:33.39284|y:85.1696|z:356.5169),Pos(x:-0.5689339|y:1.237431|z:1.281641)|Rot(x:51.9133|y:92.03471|z:1.905278),Pos(x:-0.5538172|y:1.249268|z:1.281743)|Rot(x:51.91334|y:92.03465|z:1.905224),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 19:46:10,
