Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
F4_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-21 19:20:05,
F4_T,0.3,0,0,0.09,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:321.0818|y:227.4476|z:10.53213),Pos(x:-0.5619622|y:1.155591|z:1.365981)|Rot(x:329.7384|y:230.5694|z:22.57611),Pos(x:-0.5323845|y:1.194695|z:1.365933)|Rot(x:345.0355|y:242.0009|z:46.96096),Pos(x:-0.5181707|y:1.213487|z:1.349898)|Rot(x:345.0355|y:242.001|z:46.96094),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:21.72284|y:94.89508|z:359.7331),Pos(x:-0.5734491|y:1.239338|z:1.35375)|Rot(x:59.91041|y:94.56593|z:359.5054),Pos(x:-0.5510808|y:1.25235|z:1.351739)|Rot(x:85.71221|y:278.3027|z:183.3181),Pos(x:-0.5243569|y:1.250342|z:1.349412)|Rot(x:85.71211|y:278.3036|z:183.319),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:16.73747|y:90|z:0),Pos(x:-0.5779739|y:1.246963|z:1.328133)|Rot(x:46.59147|y:90|z:0),Pos(x:-0.5578364|y:1.266011|z:1.328133)|Rot(x:73.46008|y:90|z:0),Pos(x:-0.5307074|y:1.274068|z:1.328133)|Rot(x:73.46003|y:90.00018|z:0.000173943),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:15.29451|y:87.04442|z:0.1543673),Pos(x:-0.5791536|y:1.237141|z:1.304727)|Rot(x:42.88236|y:87.14196|z:0.2031926),Pos(x:-0.5612535|y:1.256445|z:1.305714)|Rot(x:64.15966|y:54.7623|z:330.4755),Pos(x:-0.537415|y:1.26623|z:1.306988)|Rot(x:64.15967|y:54.76229|z:330.4755),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.30133|y:85.07398|z:356.477),Pos(x:-0.5774808|y:1.221702|z:1.282043)|Rot(x:42.88895|y:85.23648|z:356.5583),Pos(x:-0.5649416|y:1.235149|z:1.28198)|Rot(x:67.57822|y:96.51099|z:6.959029),Pos(x:-0.5471737|y:1.242419|z:1.282293)|Rot(x:67.57825|y:96.51096|z:6.959004),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:20:35,
F4_T,0.3,0.3,0.3,0.3,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:309.0279|y:213.3239|z:30.31711),Pos(x:-0.5526704|y:1.145871|z:1.365981)|Rot(x:316.4856|y:220.846|z:38.60029),Pos(x:-0.5122752|y:1.17366|z:1.365933)|Rot(x:329.0751|y:238.0827|z:56.89333),Pos(x:-0.4928631|y:1.187013|z:1.349898)|Rot(x:329.0751|y:238.0828|z:56.89331),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:34.29384|y:94.82476|z:359.6999),Pos(x:-0.5644284|y:1.234522|z:1.352983)|Rot(x:80.70896|y:93.47805|z:358.4641),Pos(x:-0.5389116|y:1.238711|z:1.350735)|Rot(x:57.5108|y:275.3832|z:180.4616),Pos(x:-0.516302|y:1.224263|z:1.348822)|Rot(x:57.51073|y:275.3833|z:180.4617),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:25.48143|y:90|z:0),Pos(x:-0.5704633|y:1.244063|z:1.328133)|Rot(x:60.43657|y:90|z:0),Pos(x:-0.5463526|y:1.25774|z:1.328133)|Rot(x:88.104|y:270|z:180),Pos(x:-0.518068|y:1.256803|z:1.328133)|Rot(x:88.104|y:269.9986|z:179.9986),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.17169|y:87.07052|z:0.1632117),Pos(x:-0.5723825|y:1.234709|z:1.305075)|Rot(x:62.76287|y:87.29295|z:0.3253269),Pos(x:-0.5489929|y:1.246766|z:1.306331)|Rot(x:74.65043|y:328.3822|z:240.4749),Pos(x:-0.5234479|y:1.2434|z:1.307659)|Rot(x:74.65046|y:328.3823|z:240.475),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.14759|y:85.07327|z:356.4768),Pos(x:-0.5775824|y:1.22173|z:1.282034)|Rot(x:40.83737|y:85.22045|z:356.5476),Pos(x:-0.5655307|y:1.235615|z:1.28193)|Rot(x:63.88379|y:94.94294|z:5.257733),Pos(x:-0.5482756|y:1.244031|z:1.282204)|Rot(x:63.88384|y:94.94287|z:5.257646),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:21:05,
F4_T,0.3,0,0,0.09,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:315.8927|y:222.8801|z:17.41179),Pos(x:-0.5578966|y:1.152087|z:1.365981)|Rot(x:324.2177|y:227.4497|z:28.29082),Pos(x:-0.5235856|y:1.187112|z:1.365933)|Rot(x:338.6163|y:240.8521|z:50.63737),Pos(x:-0.5070972|y:1.203943|z:1.349898)|Rot(x:338.6162|y:240.8521|z:50.63736),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:21.06596|y:94.89835|z:359.7343),Pos(x:-0.5739471|y:1.239534|z:1.353793)|Rot(x:58.95752|y:94.58188|z:359.5192),Pos(x:-0.5517977|y:1.252918|z:1.351799)|Rot(x:86.92865|y:279.6199|z:184.6327),Pos(x:-0.5250375|y:1.251481|z:1.349467)|Rot(x:86.92858|y:279.6211|z:184.6339),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:16.90816|y:90|z:0),Pos(x:-0.5778233|y:1.246917|z:1.328133)|Rot(x:47.43568|y:90|z:0),Pos(x:-0.5574073|y:1.265667|z:1.328133)|Rot(x:74.91047|y:90|z:0),Pos(x:-0.5300831|y:1.273034|z:1.328133)|Rot(x:74.9104|y:90.00015|z:0.0001508612),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:13.72986|y:87.04007|z:0.1532803),Pos(x:-0.5803822|y:1.23746|z:1.304664)|Rot(x:39.17697|y:87.12505|z:0.1920777),Pos(x:-0.5637655|y:1.257882|z:1.305587)|Rot(x:59.2594|y:59.93127|z:336.3557),Pos(x:-0.5410014|y:1.269962|z:1.30681)|Rot(x:59.25937|y:59.93128|z:336.3557),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:13.73669|y:85.06674|z:356.4752),Pos(x:-0.5785177|y:1.221972|z:1.281953)|Rot(x:39.18359|y:85.20826|z:356.5398),Pos(x:-0.5668702|y:1.236197|z:1.281816)|Rot(x:62.03773|y:94.32131|z:4.569013),Pos(x:-0.5498984|y:1.245172|z:1.282067)|Rot(x:62.03778|y:94.32125|z:4.568939),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:21:35,
F4_T,0.28,0.01,0,0.02,0.11,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:317.3578|y:224.3333|z:15.29605),Pos(x:-0.5590318|y:1.153159|z:1.365981)|Rot(x:325.7949|y:228.4457|z:26.5543),Pos(x:-0.5260423|y:1.189431|z:1.365933)|Rot(x:340.4747|y:241.2357|z:49.53997),Pos(x:-0.5101892|y:1.206861|z:1.349898)|Rot(x:340.4747|y:241.2357|z:49.53995),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:21.91819|y:94.8941|z:359.7327),Pos(x:-0.5733014|y:1.239278|z:1.353737)|Rot(x:69.63751|y:94.32577|z:359.2874),Pos(x:-0.549063|y:1.248309|z:1.35158)|Rot(x:67.41129|y:275.5899|z:180.6455),Pos(x:-0.5243167|y:1.237977|z:1.349463)|Rot(x:67.41125|y:275.5901|z:180.6457),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:19.03823|y:90|z:0),Pos(x:-0.5759561|y:1.246311|z:1.328133)|Rot(x:59.85383|y:90|z:0),Pos(x:-0.5519857|y:1.260232|z:1.328133)|Rot(x:83.41224|y:270|z:180),Pos(x:-0.5238725|y:1.256986|z:1.328133)|Rot(x:83.41226|y:269.9996|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:13.40084|y:87.03917|z:0.1530602),Pos(x:-0.5806416|y:1.237522|z:1.30465)|Rot(x:42.67445|y:87.14097|z:0.2025161),Pos(x:-0.5628116|y:1.256891|z:1.305634)|Rot(x:65.25791|y:53.25673|z:328.8066),Pos(x:-0.538756|y:1.266128|z:1.306917)|Rot(x:65.25788|y:53.25671|z:328.8066),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:13.40769|y:85.06525|z:356.4748),Pos(x:-0.5787367|y:1.222025|z:1.281934)|Rot(x:42.68104|y:85.2348|z:356.5572),Pos(x:-0.5662462|y:1.235517|z:1.281867)|Rot(x:68.85963|y:97.18922|z:7.683241),Pos(x:-0.5483174|y:1.242379|z:1.282193)|Rot(x:68.85965|y:97.18912|z:7.683143),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-21 19:22:05,
F4_T,0.1,0,0,0.1,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:319.1137|y:225.8951|z:12.95173),Pos(x:-0.5604053|y:1.154355|z:1.365981)|Rot(x:327.6646|y:229.513|z:24.60925),Pos(x:-0.5290149|y:1.192019|z:1.365933)|Rot(x:342.651|y:241.6307|z:48.29105),Pos(x:-0.5139301|y:1.210119|z:1.349898)|Rot(x:342.651|y:241.6308|z:48.29104),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:10.33558|y:94.94865|z:359.748),Pos(x:-0.5823468|y:1.241904|z:1.354516)|Rot(x:52.49009|y:94.67082|z:359.5928),Pos(x:-0.5618412|y:1.257708|z:1.352656)|Rot(x:89.50347|y:304.9414|z:209.9486),Pos(x:-0.535044|y:1.257506|z:1.350315)|Rot(x:89.50426|y:304.9439|z:209.9511),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:13.74213|y:90|z:0),Pos(x:-0.5806371|y:1.247688|z:1.328133)|Rot(x:50.73755|y:90|z:0),Pos(x:-0.5591751|y:1.265231|z:1.328133)|Rot(x:84.03346|y:90|z:0),Pos(x:-0.5310284|y:1.268173|z:1.328133)|Rot(x:84.03336|y:90.00033|z:0.0003449636),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:11.27835|y:87.03339|z:0.151823),Pos(x:-0.5823234|y:1.237891|z:1.304563)|Rot(x:41.28788|y:87.13445|z:0.1981557),Pos(x:-0.5649667|y:1.257686|z:1.305523)|Rot(x:64.65269|y:54.10635|z:329.7465),Pos(x:-0.5410296|y:1.267227|z:1.306801)|Rot(x:64.65267|y:54.10634|z:329.7465),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:11.2852|y:85.05563|z:356.4727),Pos(x:-0.5801561|y:1.222337|z:1.281811)|Rot(x:41.29448|y:85.22393|z:356.5499),Pos(x:-0.5679944|y:1.236126|z:1.281717)|Rot(x:68.15114|y:96.80397|z:7.272582),Pos(x:-0.5501535|y:1.243214|z:1.282036)|Rot(x:68.15121|y:96.80392|z:7.272515),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 19:22:35,
F4_T,0.2,0.02,0.07,0.14,0.12,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:313.0669|y:219.5978|z:22.00951),Pos(x:-0.5557316|y:1.149802|z:1.365981)|Rot(x:321.1183|y:225.1921|z:32.01136),Pos(x:-0.5189002|y:1.182165|z:1.365933)|Rot(x:334.8911|y:239.9427|z:52.9401),Pos(x:-0.5012008|y:1.197718|z:1.349898)|Rot(x:334.891|y:239.9427|z:52.94008),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:26.7604|y:94.86882|z:359.7223),Pos(x:-0.5697095|y:1.237648|z:1.353431)|Rot(x:77.02477|y:93.91766|z:358.8956),Pos(x:-0.5445143|y:1.243474|z:1.351204)|Rot(x:57.73225|y:275.3866|z:180.4645),Pos(x:-0.5218494|y:1.229114|z:1.349286)|Rot(x:57.73221|y:275.3867|z:180.4645),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:21.7591|y:90|z:0),Pos(x:-0.573606|y:1.245437|z:1.328133)|Rot(x:63.68462|y:90|z:0),Pos(x:-0.548759|y:1.257726|z:1.328133)|Rot(x:78.58242|y:270|z:180),Pos(x:-0.5210191|y:1.252124|z:1.328133)|Rot(x:78.58247|y:269.9998|z:179.9998),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.10382|y:87.0703|z:0.1631185),Pos(x:-0.5724328|y:1.234732|z:1.305073)|Rot(x:62.59803|y:87.2909|z:0.3235053),Pos(x:-0.5490779|y:1.246856|z:1.306327)|Rot(x:74.76963|y:329.1942|z:241.3174),Pos(x:-0.5235183|y:1.243603|z:1.307656)|Rot(x:74.76963|y:329.1942|z:241.3174),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.14759|y:85.07327|z:356.4768),Pos(x:-0.5775824|y:1.22173|z:1.282034)|Rot(x:40.83737|y:85.22045|z:356.5476),Pos(x:-0.5655307|y:1.235615|z:1.28193)|Rot(x:63.88379|y:94.94294|z:5.257733),Pos(x:-0.5482756|y:1.244031|z:1.282204)|Rot(x:63.88384|y:94.94287|z:5.257646),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:23:05,
F4_T,0.17,0,0,0,0.07,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:311.903|y:218.3119|z:22.96644),Pos(x:-0.55527|y:1.149004|z:1.366542)|Rot(x:319.581|y:223.9151|z:32.29527),Pos(x:-0.5177609|y:1.180558|z:1.36773)|Rot(x:332.8066|y:238.1504|z:51.74132),Pos(x:-0.4991012|y:1.196255|z:1.352977)|Rot(x:332.8066|y:238.1504|z:51.74129),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:10.14188|y:94.94952|z:359.7481),Pos(x:-0.582502|y:1.241932|z:1.35453)|Rot(x:62.3612|y:94.52034|z:359.4655),Pos(x:-0.5595995|y:1.253972|z:1.352476)|Rot(x:70.63804|y:275.6995|z:180.7479),Pos(x:-0.5343137|y:1.245054|z:1.350305)|Rot(x:70.63802|y:275.6997|z:180.7481),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:10.91932|y:90|z:0),Pos(x:-0.5831784|y:1.248244|z:1.328133)|Rot(x:45.52906|y:90|z:0),Pos(x:-0.5633976|y:1.267663|z:1.328133)|Rot(x:76.67785|y:90|z:0),Pos(x:-0.5358591|y:1.274184|z:1.328133)|Rot(x:76.67778|y:90.00023|z:0.0002149003),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:8.846045|y:87.02686|z:0.150683),Pos(x:-0.5842658|y:1.238236|z:1.304462)|Rot(x:36.12888|y:87.11237|z:0.1843355),Pos(x:-0.5687571|y:1.259514|z:1.30533)|Rot(x:58.01077|y:60.95174|z:337.555),Pos(x:-0.5462939|y:1.272146|z:1.306538)|Rot(x:58.01074|y:60.95176|z:337.555),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:8.852904|y:85.04477|z:356.4709),Pos(x:-0.5817955|y:1.222629|z:1.281669)|Rot(x:36.13555|y:85.18721|z:356.5269),Pos(x:-0.5709178|y:1.237451|z:1.281468)|Rot(x:60.65941|y:93.91078|z:4.108101),Pos(x:-0.5541688|y:1.246835|z:1.281701)|Rot(x:60.65947|y:93.91069|z:4.108013),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 19:23:35,
F4_T,0.38,0,0,0.15,0.31,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:319.3101|y:226.281|z:11.61799),Pos(x:-0.5609903|y:1.154616|z:1.366542)|Rot(x:327.5793|y:229.4812|z:22.9563),Pos(x:-0.5301657|y:1.192726|z:1.36773)|Rot(x:342.2427|y:240.4722|z:45.69323),Pos(x:-0.5148312|y:1.211684|z:1.352977)|Rot(x:342.2427|y:240.4722|z:45.69321),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:10.60673|y:94.94744|z:359.7477),Pos(x:-0.5821297|y:1.241863|z:1.354498)|Rot(x:56.13593|y:94.62437|z:359.555),Pos(x:-0.5606639|y:1.256326|z:1.352559)|Rot(x:82.88203|y:276.9799|z:182.0015),Pos(x:-0.534071|y:1.252995|z:1.35025)|Rot(x:82.88203|y:276.9804|z:182.0019),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:11.94943|y:90|z:0),Pos(x:-0.5822479|y:1.248055|z:1.328133)|Rot(x:45.58226|y:90|z:0),Pos(x:-0.562449|y:1.267456|z:1.328133)|Rot(x:75.85184|y:90|z:0),Pos(x:-0.5350074|y:1.274373|z:1.328133)|Rot(x:75.85178|y:90.0002|z:0.0001886165),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:14.69186|y:87.04274|z:0.1539295),Pos(x:-0.5796258|y:1.237268|z:1.304703)|Rot(x:57.01028|y:87.23308|z:0.2734682),Pos(x:-0.5575611|y:1.251612|z:1.305895)|Rot(x:75.64788|y:336.614|z:248.9962),Pos(x:-0.5318979|y:1.24932|z:1.307232)|Rot(x:75.64788|y:336.6139|z:248.9962),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.14759|y:85.07327|z:356.4768),Pos(x:-0.5775824|y:1.22173|z:1.282034)|Rot(x:40.83737|y:85.22045|z:356.5476),Pos(x:-0.5655307|y:1.235615|z:1.28193)|Rot(x:63.88379|y:94.94294|z:5.257733),Pos(x:-0.5482756|y:1.244031|z:1.282204)|Rot(x:63.88384|y:94.94287|z:5.257646),Yes,1,StressBall (UnityEngine.GameObject),2024-10-21 19:24:05,
F4_T,0.5,0.01,0.5,0.5,0.5,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:315.6956|y:222.9228|z:16.58482),Pos(x:-0.5581727|y:1.152119|z:1.366542)|Rot(x:323.7364|y:227.1422|z:27.09884),Pos(x:-0.5240556|y:1.187313|z:1.36773)|Rot(x:337.7872|y:239.5364|z:48.42875),Pos(x:-0.5070833|y:1.20482|z:1.352977)|Rot(x:337.7872|y:239.5364|z:48.42871),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:20.67858|y:94.90028|z:359.735),Pos(x:-0.5742419|y:1.239646|z:1.353818)|Rot(x:77.92909|y:93.83425|z:358.8142),Pos(x:-0.548958|y:1.245073|z:1.351585)|Rot(x:50.54022|y:275.2951|z:180.3902),Pos(x:-0.5282615|y:1.227978|z:1.349851)|Rot(x:50.54019|y:275.2952|z:180.3902),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:18.15141|y:90|z:0),Pos(x:-0.5767307|y:1.246572|z:1.328133)|Rot(x:68.0971|y:90|z:0),Pos(x:-0.551012|y:1.256912|z:1.328133)|Rot(x:66.95182|y:270|z:180),Pos(x:-0.5249711|y:1.245833|z:1.328133)|Rot(x:66.95185|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.08265|y:87.07025|z:0.1630944),Pos(x:-0.5724484|y:1.234739|z:1.305072)|Rot(x:62.54669|y:87.2903|z:0.3229729),Pos(x:-0.5491044|y:1.246884|z:1.306325)|Rot(x:74.80611|y:329.4497|z:241.5824),Pos(x:-0.5235404|y:1.243666|z:1.307655)|Rot(x:74.80614|y:329.4497|z:241.5824),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.14759|y:85.07327|z:356.4768),Pos(x:-0.5775824|y:1.22173|z:1.282034)|Rot(x:40.83737|y:85.22045|z:356.5476),Pos(x:-0.5655307|y:1.235615|z:1.28193)|Rot(x:63.88379|y:94.94294|z:5.257733),Pos(x:-0.5482756|y:1.244031|z:1.282204)|Rot(x:63.88384|y:94.94287|z:5.257646),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-21 19:24:35,
F4_T,1,1,1,1,1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:315.1532|y:222.378|z:17.25592),Pos(x:-0.5578139|y:1.151733|z:1.366619)|Rot(x:323.1141|y:226.7154|z:27.58133),Pos(x:-0.5232608|y:1.186493|z:1.367977)|Rot(x:337.0153|y:239.1965|z:48.54564),Pos(x:-0.5059941|y:1.203862|z:1.353403)|Rot(x:337.0153|y:239.1965|z:48.54562),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:24.47489|y:94.881|z:359.7276),Pos(x:-0.5713878|y:1.238455|z:1.353574)|Rot(x:76.57475|y:93.95501|z:358.932),Pos(x:-0.546239|y:1.244481|z:1.35135)|Rot(x:56.53059|y:275.3689|z:180.4496),Pos(x:-0.5238789|y:1.229646|z:1.349461)|Rot(x:56.53051|y:275.369|z:180.4497),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:18.98101|y:90|z:0),Pos(x:-0.5760059|y:1.246328|z:1.328133)|Rot(x:60.32646|y:90|z:0),Pos(x:-0.5519215|y:1.260051|z:1.328133)|Rot(x:82.46264|y:270|z:180),Pos(x:-0.523866|y:1.256339|z:1.328133)|Rot(x:82.46266|y:269.9996|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:16.45371|y:87.04767|z:0.1552517),Pos(x:-0.5782492|y:1.236884|z:1.304774)|Rot(x:52.55113|y:87.1981|z:0.2448691),Pos(x:-0.5573652|y:1.252902|z:1.305909)|Rot(x:75.69489|y:16.89176|z:290.4856),Pos(x:-0.5316973|y:1.255133|z:1.307258)|Rot(x:75.69489|y:16.89181|z:290.4857),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.14759|y:85.07327|z:356.4768),Pos(x:-0.5775824|y:1.22173|z:1.282034)|Rot(x:40.83737|y:85.22045|z:356.5476),Pos(x:-0.5655307|y:1.235615|z:1.28193)|Rot(x:63.88379|y:94.94294|z:5.257733),Pos(x:-0.5482756|y:1.244031|z:1.282204)|Rot(x:63.88384|y:94.94287|z:5.257646),Yes,1,StressBall (UnityEngine.GameObject),2024-10-21 19:25:05,
