Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
M1_1,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),Yes,0,StressBall (UnityEngine.GameObject),2024-10-11 19:00:35,
M1_1,0.5,0,0,0.5,0.5,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:314.2105|y:222.7404|z:13.12692),Pos(x:-0.5598516|y:1.151821|z:1.369297)|Rot(x:320.7128|y:225.5032|z:21.66483),Pos(x:-0.5265847|y:1.187089|z:1.376608)|Rot(x:332.3553|y:233.4568|z:37.85719),Pos(x:-0.5077824|y:1.207022|z:1.368773)|Rot(x:332.3553|y:233.4569|z:37.85716),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:1.944932|y:94.98544|z:359.7519),Pos(x:-0.5897438|y:1.242636|z:1.355106)|Rot(x:39.5434|y:94.78915|z:359.6785),Pos(x:-0.5732887|y:1.262652|z:1.353581)|Rot(x:73.38105|y:94.1631|z:359.133),Pos(x:-0.5476129|y:1.270344|z:1.351304)|Rot(x:73.3811|y:94.1629|z:359.1328),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:10.99287|y:90|z:0),Pos(x:-0.5837218|y:1.248231|z:1.328133)|Rot(x:44.14456|y:90|z:0),Pos(x:-0.5644159|y:1.268122|z:1.328133)|Rot(x:73.98106|y:90|z:0),Pos(x:-0.5372148|y:1.275931|z:1.328133)|Rot(x:73.98104|y:90.00017|z:0.0001608817),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:10.97605|y:87.03258|z:0.151665),Pos(x:-0.5831739|y:1.237938|z:1.304551)|Rot(x:44.05688|y:87.14777|z:0.2071872),Pos(x:-0.5648824|y:1.25687|z:1.305557)|Rot(x:69.09619|y:46.35219|z:321.3079),Pos(x:-0.5401379|y:1.264055|z:1.306871)|Rot(x:69.0962|y:46.35217|z:321.3079),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:10.98291|y:85.05426|z:356.4725),Pos(x:-0.5809692|y:1.222377|z:1.281794)|Rot(x:44.06347|y:85.24612|z:356.565),Pos(x:-0.568158|y:1.235565|z:1.281754)|Rot(x:73.53013|y:100.6026|z:11.26397),Pos(x:-0.5497187|y:1.240903|z:1.282118)|Rot(x:73.53017|y:100.6025|z:11.26387),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-11 19:01:05,
M1_1,0,0,0,0,0,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:335.1324|y:225.5403|z:348.6974),Pos(x:-0.5810827|y:1.161069|z:1.372378)|Rot(x:341.0801|y:224.7998|z:358.1169),Pos(x:-0.5710298|y:1.207425|z:1.384788)|Rot(x:354.3564|y:226.7606|z:18.34469),Pos(x:-0.5629471|y:1.234346|z:1.380075)|Rot(x:354.3564|y:226.7607|z:18.34468),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:0.4485027|y:94.99191|z:359.752),Pos(x:-0.590962|y:1.242662|z:1.355213)|Rot(x:11.75598|y:94.94226|z:359.7467),Pos(x:-0.5857032|y:1.268073|z:1.354643)|Rot(x:21.93272|y:94.89402|z:359.7327),Pos(x:-0.575703|y:1.293026|z:1.35366)|Rot(x:21.93275|y:94.89395|z:359.7327),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:359.3435|y:90|z:0),Pos(x:-0.5943962|y:1.249196|z:1.328133)|Rot(x:2.546113|y:90|z:0),Pos(x:-0.5931647|y:1.276888|z:1.328133)|Rot(x:5.428466|y:90|z:0),Pos(x:-0.5904875|y:1.305062|z:1.328133)|Rot(x:5.428418|y:90.00005|z:2.14405E-06),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:1.048474|y:87.00642|z:0.1489123),Pos(x:-0.591172|y:1.238782|z:1.304134)|Rot(x:6.834738|y:87.02155|z:0.1499614),Pos(x:-0.5880448|y:1.264939|z:1.304366)|Rot(x:11.73641|y:73.15595|z:357.2793),Pos(x:-0.5826727|y:1.290171|z:1.304713)|Rot(x:11.73641|y:73.15595|z:357.2793),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:1.055383|y:85.0107|z:356.4679),Pos(x:-0.5877195|y:1.223091|z:1.281207)|Rot(x:6.841608|y:85.0359|z:356.4696),Pos(x:-0.5854437|y:1.241312|z:1.280268)|Rot(x:12.27194|y:89.29021|z:357.3651),Pos(x:-0.5813563|y:1.260053|z:1.279436)|Rot(x:12.27198|y:89.29016|z:357.3651),No,,,2024-10-11 19:01:35,
M1_1,0,0,0,0,0,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:336.3732|y:222.6136|z:337.619),Pos(x:-0.5892661|y:1.159202|z:1.376849)|Rot(x:337.9037|y:221.9758|z:340.3659),Pos(x:-0.5898958|y:1.20199|z:1.400781)|Rot(x:341.4375|y:220.8507|z:346.3816),Pos(x:-0.5892043|y:1.228247|z:1.41184)|Rot(x:341.4375|y:220.8507|z:346.3816),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:2.568441|y:94.98273|z:359.7518),Pos(x:-0.5892365|y:1.242616|z:1.355062)|Rot(x:11.54928|y:94.94319|z:359.7469),Pos(x:-0.5840691|y:1.268046|z:1.3545)|Rot(x:19.63202|y:94.90541|z:359.7367),Pos(x:-0.5750751|y:1.293383|z:1.353604)|Rot(x:19.63207|y:94.90535|z:359.7367),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:4.120371|y:90|z:0),Pos(x:-0.5899969|y:1.249063|z:1.328133)|Rot(x:14.20286|y:90|z:0),Pos(x:-0.5831958|y:1.275936|z:1.328133)|Rot(x:23.27712|y:90|z:0),Pos(x:-0.5720122|y:1.301932|z:1.328133)|Rot(x:23.27707|y:90.00007|z:2.509446E-05),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:3.281759|y:87.01223|z:0.1491398),Pos(x:-0.589362|y:1.238713|z:1.304229)|Rot(x:12.13287|y:87.0357|z:0.1522959),Pos(x:-0.5838361|y:1.264469|z:1.304585)|Rot(x:19.55058|y:72.62594|z:355.2408),Pos(x:-0.5749854|y:1.288698|z:1.305111)|Rot(x:19.55057|y:72.62594|z:355.2409),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:3.28866|y:85.02039|z:356.4683),Pos(x:-0.5861919|y:1.223033|z:1.28134)|Rot(x:12.1397|y:85.05948|z:356.4735),Pos(x:-0.5822496|y:1.240974|z:1.280546)|Rot(x:20.3048|y:89.50571|z:358.0074),Pos(x:-0.5755855|y:1.25897|z:1.279936)|Rot(x:20.30484|y:89.50565|z:358.0073),No,,,2024-10-11 19:02:05,
M1_1,0.3,0,0,0,0.3,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:306.8217|y:211.3507|z:27.9569),Pos(x:-0.5542446|y:1.145248|z:1.369358)|Rot(x:312.6293|y:216.81|z:34.09627),Pos(x:-0.5143402|y:1.172746|z:1.376806)|Rot(x:322.7941|y:228.4428|z:46.67562),Pos(x:-0.4917384|y:1.18832|z:1.369136)|Rot(x:322.7941|y:228.4429|z:46.67559),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:2.651579|y:94.98238|z:359.7518),Pos(x:-0.5891689|y:1.242613|z:1.355056)|Rot(x:34.29386|y:94.82477|z:359.6999),Pos(x:-0.5746078|y:1.264057|z:1.353691)|Rot(x:62.77157|y:94.51198|z:359.4581),Pos(x:-0.5507838|y:1.276364|z:1.351555)|Rot(x:62.77159|y:94.51186|z:359.458),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:9.568981|y:90|z:0),Pos(x:-0.585013|y:1.248465|z:1.328133)|Rot(x:35.17359|y:90|z:0),Pos(x:-0.569045|y:1.271123|z:1.328133)|Rot(x:58.21778|y:90|z:0),Pos(x:-0.5449884|y:1.286029|z:1.328133)|Rot(x:58.21772|y:90.00008|z:7.132436E-05),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:9.136681|y:87.02763|z:0.1508074),Pos(x:-0.5846429|y:1.238199|z:1.304474)|Rot(x:33.59379|y:87.1026|z:0.1787556),Pos(x:-0.5700895|y:1.260143|z:1.305293)|Rot(x:53.38799|y:64.02957|z:341.2933),Pos(x:-0.5488312|y:1.274717|z:1.306444)|Rot(x:53.38801|y:64.02956|z:341.2933),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:9.143533|y:85.04605|z:356.471),Pos(x:-0.582209|y:1.222598|z:1.281687)|Rot(x:33.60047|y:85.17089|z:356.5176),Pos(x:-0.5719949|y:1.237884|z:1.281429)|Rot(x:55.63407|y:92.70766|z:2.718922),Pos(x:-0.5561388|y:1.248709|z:1.281591)|Rot(x:55.6341|y:92.70761|z:2.718865),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-11 19:02:35,
M1_1,0.14,0,0,0,0.02,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:319.619|y:227.7859|z:5.674246),Pos(x:-0.5640948|y:1.155288|z:1.369358)|Rot(x:326.2792|y:229.3143|z:15.09662),Pos(x:-0.5358424|y:1.194661|z:1.376806)|Rot(x:338.4403|y:235.3824|z:32.71578),Pos(x:-0.5198402|y:1.216962|z:1.369136)|Rot(x:338.4403|y:235.3824|z:32.71574),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:1.737101|y:94.98635|z:359.7519),Pos(x:-0.589913|y:1.242642|z:1.355121)|Rot(x:20.67595|y:94.90029|z:359.735),Pos(x:-0.5807922|y:1.266926|z:1.354218)|Rot(x:37.72088|y:94.80207|z:359.6865),Pos(x:-0.5644047|y:1.288203|z:1.352694)|Rot(x:37.72093|y:94.80199|z:359.6865),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:8.615653|y:90|z:0),Pos(x:-0.5858806|y:1.248604|z:1.328133)|Rot(x:28.29495|y:90|z:0),Pos(x:-0.5727412|y:1.273011|z:1.328133)|Rot(x:46.00633|y:90|z:0),Pos(x:-0.5523818|y:1.292668|z:1.328133)|Rot(x:46.00627|y:90.00008|z:5.162618E-05),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:9.733061|y:87.02924|z:0.1510676),Pos(x:-0.5841657|y:1.238119|z:1.304499)|Rot(x:31.60427|y:87.09531|z:0.1748233),Pos(x:-0.5703819|y:1.260557|z:1.305279)|Rot(x:49.3837|y:66.04134|z:343.8806),Pos(x:-0.5502797|y:1.276692|z:1.306373)|Rot(x:49.38371|y:66.04134|z:343.8806),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:9.739919|y:85.04871|z:356.4715),Pos(x:-0.5818062|y:1.22253|z:1.281721)|Rot(x:31.61096|y:85.15874|z:356.511),Pos(x:-0.5721269|y:1.23816|z:1.281418)|Rot(x:51.3523|y:91.94547|z:1.794573),Pos(x:-0.5571272|y:1.250145|z:1.28151)|Rot(x:51.35236|y:91.9454|z:1.79452),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-11 19:03:05,
M1_1,0.02,0,0,0,0,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:330.4453|y:228.8939|z:353.7236),Pos(x:-0.5749127|y:1.159971|z:1.371324)|Rot(x:336.9389|y:228.7322|z:3.71753),Pos(x:-0.5584106|y:1.204988|z:1.381576)|Rot(x:351.0268|y:232.4864|z:25.09542),Pos(x:-0.5478567|y:1.230482|z:1.374439)|Rot(x:351.0268|y:232.4864|z:25.09541),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:359.0768|y:94.99786|z:359.752),Pos(x:-0.5920789|y:1.242657|z:1.35531)|Rot(x:4.846853|y:94.97284|z:359.7512),Pos(x:-0.5899038|y:1.26852|z:1.355008)|Rot(x:10.03992|y:94.94998|z:359.7482),Pos(x:-0.5852419|y:1.295008|z:1.354485)|Rot(x:10.03998|y:94.94991|z:359.7482),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:359.4262|y:90|z:0),Pos(x:-0.5943199|y:1.249197|z:1.328133)|Rot(x:2.709139|y:90|z:0),Pos(x:-0.5930098|y:1.276886|z:1.328133)|Rot(x:5.663807|y:90|z:0),Pos(x:-0.5902168|y:1.305048|z:1.328133)|Rot(x:5.663766|y:90.00005|z:9.652073E-06),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:357.6737|y:86.99765|z:0.1490169),Pos(x:-0.5939088|y:1.238751|z:1.303991)|Rot(x:358.4128|y:86.99957|z:0.1489538),Pos(x:-0.594641|y:1.265085|z:1.304021)|Rot(x:359.1387|y:73.41603|z:0.3613161),Pos(x:-0.5950592|y:1.290882|z:1.304066)|Rot(x:359.1387|y:73.41604|z:0.3613263),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:357.6806|y:84.9961|z:356.468),Pos(x:-0.5900293|y:1.223066|z:1.281005)|Rot(x:358.4197|y:84.99929|z:356.468),Pos(x:-0.5904347|y:1.24141|z:1.279833)|Rot(x:359.3422|y:89.13671|z:356.4111),Pos(x:-0.5906366|y:1.260571|z:1.278628)|Rot(x:359.3422|y:89.13667|z:356.4111),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-11 19:03:35,
M1_1,0.3,0,0,0.06,0.1,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:312.3988|y:220.5914|z:16.05475),Pos(x:-0.5584812|y:1.150456|z:1.369315)|Rot(x:318.7867|y:223.8617|z:24.15255),Pos(x:-0.5235918|y:1.184111|z:1.376666)|Rot(x:330.1523|y:232.524|z:39.64795),Pos(x:-0.50386|y:1.203144|z:1.36888)|Rot(x:330.1523|y:232.5241|z:39.64792),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:2.194331|y:94.98436|z:359.7519),Pos(x:-0.5895409|y:1.242629|z:1.355088)|Rot(x:47.74984|y:94.72088|z:359.6312),Pos(x:-0.5704072|y:1.260081|z:1.353341)|Rot(x:88.72651|y:83.76815|z:348.7716),Pos(x:-0.5436159|y:1.260667|z:1.350997)|Rot(x:88.72636|y:83.76478|z:348.7683),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:11.19716|y:90|z:0),Pos(x:-0.5835371|y:1.248195|z:1.328133)|Rot(x:50.13269|y:90|z:0),Pos(x:-0.5622615|y:1.265963|z:1.328133)|Rot(x:85.17461|y:90|z:0),Pos(x:-0.5340618|y:1.268344|z:1.328133)|Rot(x:85.17469|y:90.00057|z:0.0005480704),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:24.09631|y:87.07029|z:0.1631071),Pos(x:-0.5730483|y:1.234734|z:1.305072)|Rot(x:62.57983|y:87.29069|z:0.3233145),Pos(x:-0.5496972|y:1.246866|z:1.306326)|Rot(x:74.78258|y:329.2847|z:241.4113),Pos(x:-0.5241361|y:1.243625|z:1.307656)|Rot(x:74.78261|y:329.2848|z:241.4113),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:18.72215|y:85.09018|z:356.4817),Pos(x:-0.5758516|y:1.221015|z:1.282235)|Rot(x:49.51839|y:85.29668|z:356.6019),Pos(x:-0.561849|y:1.23293|z:1.282294)|Rot(x:76.77323|y:104.4824|z:15.26092),Pos(x:-0.5431265|y:1.237168|z:1.282677)|Rot(x:76.77327|y:104.4823|z:15.26079),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-11 19:04:05,
M1_1,0.07,0,0.01,0,0.02,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:306.3417|y:210.2261|z:29.41982),Pos(x:-0.5538322|y:1.144668|z:1.369315)|Rot(x:312.0907|y:215.985|z:35.34097),Pos(x:-0.5134442|y:1.171477|z:1.376666)|Rot(x:322.1424|y:228.0569|z:47.63856),Pos(x:-0.4906027|y:1.186639|z:1.36888)|Rot(x:322.1424|y:228.057|z:47.63852),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:2.900985|y:94.9813|z:359.7517),Pos(x:-0.5889661|y:1.242603|z:1.355038)|Rot(x:51.388|y:94.68337|z:359.6027),Pos(x:-0.5687672|y:1.258801|z:1.353203)|Rot(x:84.96639|y:277.8102|z:182.8272),Pos(x:-0.5420715|y:1.256443|z:1.350881)|Rot(x:84.96627|y:277.8105|z:182.8276),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:12.54752|y:90|z:0),Pos(x:-0.5823192|y:1.247939|z:1.328133)|Rot(x:60.1287|y:90|z:0),Pos(x:-0.5582823|y:1.261744|z:1.328133)|Rot(x:77.04826|y:270|z:180),Pos(x:-0.5307022|y:1.255401|z:1.328133)|Rot(x:77.0483|y:269.9998|z:179.9998),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:24.09631|y:87.07029|z:0.1631071),Pos(x:-0.5730483|y:1.234734|z:1.305072)|Rot(x:62.57983|y:87.29069|z:0.3233145),Pos(x:-0.5496972|y:1.246866|z:1.306326)|Rot(x:74.78258|y:329.2847|z:241.4113),Pos(x:-0.5241361|y:1.243625|z:1.307656)|Rot(x:74.78261|y:329.2848|z:241.4113),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:18.72215|y:85.09018|z:356.4817),Pos(x:-0.5758516|y:1.221015|z:1.282235)|Rot(x:49.51839|y:85.29668|z:356.6019),Pos(x:-0.561849|y:1.23293|z:1.282294)|Rot(x:76.77323|y:104.4824|z:15.26092),Pos(x:-0.5431265|y:1.237168|z:1.282677)|Rot(x:76.77327|y:104.4823|z:15.26079),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-11 19:04:35,
M1_1,0.14,0,0,0,0,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:324.91|y:229.6592|z:8.14959),Pos(x:-0.5649034|y:1.15757|z:1.364983)|Rot(x:334.2717|y:232.5309|z:21.52394),Pos(x:-0.5382454|y:1.198659|z:1.362751)|Rot(x:350.7101|y:244.6564|z:49.11309),Pos(x:-0.5263011|y:1.217069|z:1.344568)|Rot(x:350.71|y:244.6564|z:49.11307),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:358.3136|y:95.00117|z:359.7519),Pos(x:-0.5927001|y:1.242643|z:1.355365)|Rot(x:6.968676|y:94.96355|z:359.7502),Pos(x:-0.5895726|y:1.268407|z:1.354979)|Rot(x:14.75828|y:94.92854|z:359.7436),Pos(x:-0.5827558|y:1.294419|z:1.354271)|Rot(x:14.75831|y:94.92848|z:359.7436),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:1.528023|y:90|z:0),Pos(x:-0.592383|y:1.249181|z:1.328133)|Rot(x:8.079853|y:90|z:0),Pos(x:-0.588487|y:1.276625|z:1.328133)|Rot(x:13.97651|y:90|z:0),Pos(x:-0.5816519|y:1.304088|z:1.328133)|Rot(x:13.97647|y:90.00005|z:1.055785E-05),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:0.05777288|y:87.00385|z:0.1488931),Pos(x:-0.5919756|y:1.238789|z:1.304092)|Rot(x:4.337506|y:87.01498|z:0.1493178),Pos(x:-0.5899894|y:1.265058|z:1.304265)|Rot(x:7.994004|y:73.30553|z:358.2102),Pos(x:-0.5863228|y:1.290595|z:1.304523)|Rot(x:7.993992|y:73.30553|z:358.2102),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:0.06469311|y:85.00642|z:356.4679),Pos(x:-0.5883977|y:1.223098|z:1.281148)|Rot(x:4.344402|y:85.02496|z:356.4686),Pos(x:-0.5869146|y:1.241397|z:1.28014)|Rot(x:8.429436|y:89.22135|z:357.075),Pos(x:-0.5840907|y:1.260364|z:1.279199)|Rot(x:8.429469|y:89.22131|z:357.075),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-11 19:05:05,
M1_1,0.5,0,0,0,0,Pos(x:-0.587979|y:1.122002|z:1.353552)|Rot(x:311.2865|y:218.1634|z:21.36246),Pos(x:-0.556415|y:1.148985|z:1.367829)|Rot(x:318.3253|y:222.9487|z:29.88905),Pos(x:-0.5192735|y:1.180736|z:1.371871)|Rot(x:330.6642|y:234.9414|z:47.12687),Pos(x:-0.4994996|y:1.19764|z:1.360231)|Rot(x:330.6642|y:234.9415|z:47.12683),Pos(x:-0.5913095|y:1.195834|z:1.355446)|Rot(x:359.2758|y:94.997|z:359.752),Pos(x:-0.5919168|y:1.24266|z:1.355296)|Rot(x:29.75483|y:94.85212|z:359.7144),Pos(x:-0.5790924|y:1.265193|z:1.354077)|Rot(x:57.18568|y:94.60931|z:359.5424),Pos(x:-0.5565758|y:1.27977|z:1.352047)|Rot(x:57.18571|y:94.60917|z:359.5423),Pos(x:-0.5937911|y:1.196394|z:1.328133)|Rot(x:4.940808|y:90|z:0),Pos(x:-0.5892432|y:1.249004|z:1.328133)|Rot(x:19.78691|y:90|z:0),Pos(x:-0.5798595|y:1.275086|z:1.328133)|Rot(x:33.14841|y:90|z:0),Pos(x:-0.5643848|y:1.298781|z:1.328133)|Rot(x:33.14835|y:90.00006|z:3.87496E-05),Pos(x:-0.5920161|y:1.192253|z:1.303969)|Rot(x:3.546915|y:87.01293|z:0.1491757),Pos(x:-0.5891473|y:1.2387|z:1.30424)|Rot(x:15.2033|y:87.04416|z:0.1542968),Pos(x:-0.5822515|y:1.264122|z:1.304667)|Rot(x:24.96397|y:72.06047|z:353.7113),Pos(x:-0.571084|y:1.287371|z:1.305312)|Rot(x:24.96397|y:72.06048|z:353.7113),Pos(x:-0.5886536|y:1.183715|z:1.283566)|Rot(x:3.553807|y:85.02154|z:356.4683),Pos(x:-0.5860107|y:1.223022|z:1.281356)|Rot(x:15.21013|y:85.07356|z:356.4769),Pos(x:-0.5811168|y:1.240731|z:1.280644)|Rot(x:25.88195|y:89.72174|z:358.4958),Pos(x:-0.5727361|y:1.257999|z:1.280181)|Rot(x:25.88198|y:89.72169|z:358.4958),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-11 19:05:35,
