Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
M4_1,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-14 19:59:33,
M4_1,0.01,0,0,0.01,0.5,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:324.4424|y:232.5912|z:358.6046),Pos(x:-0.5677413|y:1.157715|z:1.36991)|Rot(x:331.2995|y:233.1166|z:8.824483),Pos(x:-0.5446166|y:1.200212|z:1.377858)|Rot(x:345.787|y:238.6621|z:30.51783),Pos(x:-0.5319409|y:1.224012|z:1.368632)|Rot(x:345.7869|y:238.6622|z:30.51781),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:14.68742|y:94.92888|z:359.7437),Pos(x:-0.5788881|y:1.241133|z:1.354218)|Rot(x:37.62505|y:94.80275|z:359.687),Pos(x:-0.5631099|y:1.26169|z:1.352749)|Rot(x:58.26871|y:94.59286|z:359.5285),Pos(x:-0.5403228|y:1.275838|z:1.350697)|Rot(x:58.26875|y:94.59275|z:359.5284),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:19.10451|y:90|z:0),Pos(x:-0.5758983|y:1.246291|z:1.328133)|Rot(x:49.08133|y:90|z:0),Pos(x:-0.5549523|y:1.264447|z:1.328133)|Rot(x:76.06049|y:90|z:0),Pos(x:-0.5274857|y:1.271265|z:1.328133)|Rot(x:76.06042|y:90.00025|z:0.0002480884),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:15.35361|y:87.04459|z:0.1544074),Pos(x:-0.5791073|y:1.237128|z:1.304729)|Rot(x:40.2876|y:87.12991|z:0.1951999),Pos(x:-0.5620984|y:1.257224|z:1.305672)|Rot(x:59.83584|y:59.42633|z:335.7681),Pos(x:-0.5391992|y:1.269046|z:1.306901)|Rot(x:59.83586|y:59.42635|z:335.7681),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.36042|y:85.07424|z:356.4771),Pos(x:-0.5774418|y:1.221692|z:1.282046)|Rot(x:40.29424|y:85.21639|z:356.545),Pos(x:-0.5655217|y:1.23569|z:1.281931)|Rot(x:62.67783|y:94.52689|z:4.797888),Pos(x:-0.5484498|y:1.244472|z:1.282191)|Rot(x:62.6779|y:94.52682|z:4.797819),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-14 20:00:03,
M4_1,0,0,0.01,0.5,0.5,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:337.4026|y:224.8737|z:350.3756),Pos(x:-0.5808345|y:1.161971|z:1.370521)|Rot(x:342.3454|y:224.3444|z:358.1392),Pos(x:-0.5715851|y:1.208668|z:1.382263)|Rot(x:353.4172|y:225.6432|z:14.96667),Pos(x:-0.5641825|y:1.236019|z:1.379207)|Rot(x:353.4172|y:225.6432|z:14.96667),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:27.63102|y:94.86407|z:359.7201),Pos(x:-0.5690789|y:1.237322|z:1.353377)|Rot(x:54.76235|y:94.64284|z:359.5702),Pos(x:-0.5479649|y:1.252298|z:1.351467)|Rot(x:79.17892|y:93.69648|z:358.6791),Pos(x:-0.5216452|y:1.257347|z:1.349145)|Rot(x:79.17899|y:93.69619|z:358.6789),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:24.01058|y:90|z:0),Pos(x:-0.5716944|y:1.244631|z:1.328133)|Rot(x:51.39688|y:90|z:0),Pos(x:-0.5500319|y:1.261925|z:1.328133)|Rot(x:76.04459|y:90|z:0),Pos(x:-0.5225672|y:1.26875|z:1.328133)|Rot(x:76.04453|y:90.00018|z:0.0001557672),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:20.30199|y:87.05878|z:0.1587537),Pos(x:-0.5752875|y:1.235898|z:1.304926)|Rot(x:44.4333|y:87.14967|z:0.2085171),Pos(x:-0.5568721|y:1.25471|z:1.305939)|Rot(x:62.8284|y:56.38939|z:332.2981),Pos(x:-0.5333086|y:1.265141|z:1.3072)|Rot(x:62.82842|y:56.38942|z:332.2981),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:20.30877|y:85.09792|z:356.4843),Pos(x:-0.5742177|y:1.22065|z:1.282323)|Rot(x:44.43987|y:85.24931|z:356.5672),Pos(x:-0.5613205|y:1.233754|z:1.28229)|Rot(x:66.04771|y:95.80002|z:6.192979),Pos(x:-0.5437563|y:1.241504|z:1.282588)|Rot(x:66.04772|y:95.79993|z:6.192898),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-14 20:00:33,
M4_1,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:335.8523|y:227.43|z:356.896),Pos(x:-0.5757676|y:1.162012|z:1.367438)|Rot(x:343.6431|y:227.8344|z:8.683309),Pos(x:-0.5606815|y:1.208518|z:1.371114)|Rot(x:359.8449|y:234.3256|z:34.74635),Pos(x:-0.5511572|y:1.231936|z:1.357956)|Rot(x:359.8449|y:234.3257|z:34.74634),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:11.5431|y:94.94321|z:359.7469),Pos(x:-0.5813814|y:1.241716|z:1.354433)|Rot(x:25.25936|y:94.87687|z:359.7258),Pos(x:-0.5703564|y:1.26519|z:1.353367)|Rot(x:37.60396|y:94.80289|z:359.687),Pos(x:-0.5540122|y:1.286501|z:1.351847)|Rot(x:37.60401|y:94.80282|z:359.687),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:10.88801|y:90|z:0),Pos(x:-0.5832068|y:1.248249|z:1.328133)|Rot(x:28.49726|y:90|z:0),Pos(x:-0.5699813|y:1.27261|z:1.328133)|Rot(x:44.34557|y:90|z:0),Pos(x:-0.5502|y:1.292849|z:1.328133)|Rot(x:44.34554|y:90.00007|z:5.252983E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:6.156687|y:87.01975|z:0.1497535),Pos(x:-0.5864283|y:1.238521|z:1.30435)|Rot(x:18.02386|y:87.05214|z:0.1565768),Pos(x:-0.5782915|y:1.263572|z:1.304841)|Rot(x:27.86988|y:71.67779|z:352.8338),Pos(x:-0.5659201|y:1.286202|z:1.305547)|Rot(x:27.86987|y:71.67779|z:352.8338),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:6.163564|y:85.03291|z:356.4693),Pos(x:-0.5836207|y:1.22287|z:1.281511)|Rot(x:18.03067|y:85.08686|z:356.4807),Pos(x:-0.5778646|y:1.240321|z:1.280873)|Rot(x:28.88168|y:89.86491|z:358.7787),Pos(x:-0.5685921|y:1.257129|z:1.280486)|Rot(x:28.88172|y:89.86488|z:358.7786),Yes,0,StressBall (UnityEngine.GameObject),2024-10-14 20:01:03,
M4_1,0.04,0.09,0.12,0.15,0.16,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:338.974|y:227.205|z:0.1348342),Pos(x:-0.575738|y:1.162989|z:1.36418)|Rot(x:348.0407|y:228.3586|z:13.79095),Pos(x:-0.5605981|y:1.209573|z:1.362002)|Rot(x:5.809865|y:238.3153|z:44.98519),Pos(x:-0.5517522|y:1.229627|z:1.343786)|Rot(x:5.809847|y:238.3153|z:44.98519),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:35.00134|y:94.82023|z:359.6973),Pos(x:-0.5639544|y:1.234194|z:1.352943)|Rot(x:89.02261|y:80.2985|z:345.3025),Pos(x:-0.5381006|y:1.234622|z:1.350682)|Rot(x:42.29723|y:275.2195|z:180.3352),Pos(x:-0.5200586|y:1.214725|z:1.349192)|Rot(x:42.29717|y:275.2195|z:180.3353),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:29.50074|y:90|z:0),Pos(x:-0.567178|y:1.242353|z:1.328133)|Rot(x:75.71055|y:90|z:0),Pos(x:-0.540316|y:1.249195|z:1.328133)|Rot(x:62.70059|y:270|z:180),Pos(x:-0.515168|y:1.236216|z:1.328133)|Rot(x:62.70065|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.08533|y:87.07024|z:0.1630866),Pos(x:-0.5724465|y:1.234738|z:1.305072)|Rot(x:62.55316|y:87.29041|z:0.3230656),Pos(x:-0.5491011|y:1.24688|z:1.306325)|Rot(x:74.80151|y:329.4174|z:241.5489),Pos(x:-0.5235376|y:1.243658|z:1.307655)|Rot(x:74.80154|y:329.4175|z:241.549),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.704|y:85.0901|z:356.4817),Pos(x:-0.5752533|y:1.221019|z:1.282234)|Rot(x:49.47431|y:85.2962|z:356.6015),Pos(x:-0.5612599|y:1.232945|z:1.282292)|Rot(x:76.70968|y:104.3869|z:15.16311),Pos(x:-0.5425424|y:1.237205|z:1.282675)|Rot(x:76.70971|y:104.3868|z:15.16301),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-14 20:01:33,
M4_1,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:326.5081|y:230.4433|z:7.307293),Pos(x:-0.5652818|y:1.158325|z:1.364552)|Rot(x:336.1664|y:233.2387|z:21.23005),Pos(x:-0.539861|y:1.20013|z:1.361381)|Rot(x:353.0542|y:245.7394|z:50.21147),Pos(x:-0.5288519|y:1.218235|z:1.342322)|Rot(x:353.0542|y:245.7394|z:50.21145),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:12.55051|y:94.93867|z:359.746),Pos(x:-0.5805792|y:1.241544|z:1.354363)|Rot(x:32.4298|y:94.83633|z:359.7062),Pos(x:-0.5667208|y:1.263452|z:1.353057)|Rot(x:50.32107|y:94.69498|z:359.6117),Pos(x:-0.5461025|y:1.280627|z:1.351181)|Rot(x:50.32111|y:94.69486|z:359.6116),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:18.38121|y:90|z:0),Pos(x:-0.5765296|y:1.246505|z:1.328133)|Rot(x:47.38205|y:90|z:0),Pos(x:-0.5561312|y:1.265275|z:1.328133)|Rot(x:73.4828|y:90|z:0),Pos(x:-0.528999|y:1.27332|z:1.328133)|Rot(x:73.48273|y:90.0002|z:0.0001801816),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:13.62375|y:87.03978|z:0.1531985),Pos(x:-0.5804658|y:1.23748|z:1.304659)|Rot(x:36.23351|y:87.1128|z:0.1845945),Pos(x:-0.5649184|y:1.25873|z:1.305528)|Rot(x:54.28588|y:63.50469|z:340.64),Pos(x:-0.543415|y:1.272938|z:1.306691)|Rot(x:54.28588|y:63.50468|z:340.64),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:13.63059|y:85.06628|z:356.475),Pos(x:-0.5785883|y:1.221989|z:1.281947)|Rot(x:36.24018|y:85.18789|z:356.5273),Pos(x:-0.5676837|y:1.236791|z:1.281747)|Rot(x:56.60215|y:92.90945|z:2.95688),Pos(x:-0.5516459|y:1.247346|z:1.281924)|Rot(x:56.60217|y:92.90939|z:2.956816),Yes,0,StressBall (UnityEngine.GameObject),2024-10-14 20:02:03,
M4_1,1,1,1,1,1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:323.9112|y:229.2394|z:8.107144),Pos(x:-0.56393|y:1.157132|z:1.365581)|Rot(x:332.9082|y:231.9685|z:20.90088),Pos(x:-0.5367228|y:1.197911|z:1.364655)|Rot(x:348.862|y:243.2574|z:46.97485),Pos(x:-0.5239927|y:1.21699|z:1.347739)|Rot(x:348.862|y:243.2574|z:46.97483),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:37.61343|y:94.80282|z:359.687),Pos(x:-0.5622401|y:1.23293|z:1.352798)|Rot(x:75.93422|y:94.00414|z:358.9797),Pos(x:-0.5371601|y:1.239237|z:1.35058)|Rot(x:69.57191|y:275.6596|z:180.7104),Pos(x:-0.5120437|y:1.229849|z:1.348426)|Rot(x:69.57188|y:275.6598|z:180.7106),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:32.50678|y:90|z:0),Pos(x:-0.5648036|y:1.240927|z:1.328133)|Rot(x:65.55827|y:90|z:0),Pos(x:-0.5395682|y:1.252396|z:1.328133)|Rot(x:84.69537|y:270|z:180),Pos(x:-0.5113894|y:1.24978|z:1.328133)|Rot(x:84.69548|y:269.9995|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:25.58104|y:87.07497|z:0.1650821),Pos(x:-0.5713454|y:1.234228|z:1.305128)|Rot(x:52.78994|y:87.19979|z:0.2462196),Pos(x:-0.550395|y:1.250159|z:1.306266)|Rot(x:71.58131|y:39.65046|z:314.1844),Pos(x:-0.5252635|y:1.25584|z:1.307597)|Rot(x:71.5813|y:39.65048|z:314.1844),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.704|y:85.0901|z:356.4817),Pos(x:-0.5752533|y:1.221019|z:1.282234)|Rot(x:49.47431|y:85.2962|z:356.6015),Pos(x:-0.5612599|y:1.232945|z:1.282292)|Rot(x:76.70968|y:104.3869|z:15.16311),Pos(x:-0.5425424|y:1.237205|z:1.282675)|Rot(x:76.70971|y:104.3868|z:15.16301),Yes,1,StressBall (UnityEngine.GameObject),2024-10-14 20:02:33,
M4_1,0.02,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:326.8961|y:232.6925|z:2.74916),Pos(x:-0.5670388|y:1.158743|z:1.366396)|Rot(x:335.4853|y:234.2484|z:15.30638),Pos(x:-0.543552|y:1.201771|z:1.367357)|Rot(x:352.4787|y:244.0019|z:42.75817),Pos(x:-0.5326087|y:1.222517|z:1.351167)|Rot(x:352.4786|y:244.0019|z:42.75814),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:12.67261|y:94.9381|z:359.7458),Pos(x:-0.5804821|y:1.241523|z:1.354355)|Rot(x:29.1692|y:94.85545|z:359.716),Pos(x:-0.5678879|y:1.264187|z:1.353156)|Rot(x:44.01605|y:94.75427|z:359.6552),Pos(x:-0.5492743|y:1.283531|z:1.351446)|Rot(x:44.01609|y:94.7542|z:359.6552),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.219184|y:90|z:0),Pos(x:-0.5874606|y:1.248889|z:1.328133)|Rot(x:18.32268|y:90|z:0),Pos(x:-0.5787465|y:1.275203|z:1.328133)|Rot(x:29.21582|y:90|z:0),Pos(x:-0.5649332|y:1.299903|z:1.328133)|Rot(x:29.21578|y:90.00005|z:1.956429E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:3.706841|y:87.01334|z:0.1492094),Pos(x:-0.5884079|y:1.238692|z:1.304247)|Rot(x:12.5865|y:87.03693|z:0.1525643),Pos(x:-0.5826784|y:1.264403|z:1.304614)|Rot(x:20.01487|y:72.58432|z:355.1142),Pos(x:-0.5736257|y:1.288557|z:1.30515)|Rot(x:20.01487|y:72.5843|z:355.1142),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:3.713724|y:85.02223|z:356.4684),Pos(x:-0.5852914|y:1.223015|z:1.281366)|Rot(x:12.59334|y:85.06154|z:356.474),Pos(x:-0.5812078|y:1.240925|z:1.280584)|Rot(x:20.78267|y:89.52188|z:358.0476),Pos(x:-0.5743939|y:1.258865|z:1.279986)|Rot(x:20.7827|y:89.52185|z:358.0475),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-14 20:03:03,
M4_1,0.48,0.1,0.29,0.4,0.49,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:324.616|y:230.0404|z:5.386261),Pos(x:-0.565318|y:1.157644|z:1.366651)|Rot(x:333.0316|y:232.0287|z:17.49181),Pos(x:-0.539533|y:1.199322|z:1.368082)|Rot(x:348.313|y:241.1638|z:41.61249),Pos(x:-0.5266235|y:1.220188|z:1.353584)|Rot(x:348.313|y:241.1638|z:41.61247),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:31.69116|y:94.84079|z:359.7086),Pos(x:-0.5662062|y:1.235681|z:1.353133)|Rot(x:72.65363|y:94.2|z:359.1683),Pos(x:-0.5415274|y:1.243418|z:1.350943)|Rot(x:70.47569|y:275.6932|z:180.742),Pos(x:-0.5162668|y:1.234429|z:1.348775)|Rot(x:70.47565|y:275.6933|z:180.7421),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:31.3149|y:90|z:0),Pos(x:-0.5657361|y:1.241507|z:1.328133)|Rot(x:72.05614|y:90|z:0),Pos(x:-0.5393648|y:1.250047|z:1.328133)|Rot(x:71.27686|y:270|z:180),Pos(x:-0.5125624|y:1.240963|z:1.328133)|Rot(x:71.2769|y:269.9998|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.08533|y:87.07024|z:0.1630866),Pos(x:-0.5724465|y:1.234738|z:1.305072)|Rot(x:62.55316|y:87.29041|z:0.3230656),Pos(x:-0.5491011|y:1.24688|z:1.306325)|Rot(x:74.80151|y:329.4174|z:241.5489),Pos(x:-0.5235376|y:1.243658|z:1.307655)|Rot(x:74.80154|y:329.4175|z:241.549),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.704|y:85.0901|z:356.4817),Pos(x:-0.5752533|y:1.221019|z:1.282234)|Rot(x:49.47431|y:85.2962|z:356.6015),Pos(x:-0.5612599|y:1.232945|z:1.282292)|Rot(x:76.70968|y:104.3869|z:15.16311),Pos(x:-0.5425424|y:1.237205|z:1.282675)|Rot(x:76.70971|y:104.3868|z:15.16301),Yes,1,StressBall (UnityEngine.GameObject),2024-10-14 20:03:33,
M4_1,0.12,0,0.01,0.15,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:330.0021|y:230.247|z:358.3252),Pos(x:-0.5713183|y:1.160015|z:1.368572)|Rot(x:338.6662|y:231.0539|z:11.28088),Pos(x:-0.5516848|y:1.204803|z:1.372109)|Rot(x:356.2036|y:239.5485|z:39.58015),Pos(x:-0.5412279|y:1.226721|z:1.357192)|Rot(x:356.2036|y:239.5485|z:39.58014),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:16.06116|y:94.92248|z:359.742),Pos(x:-0.5778095|y:1.240835|z:1.354125)|Rot(x:45.62518|y:94.74043|z:359.6454),Pos(x:-0.5593338|y:1.258987|z:1.352431)|Rot(x:72.23203|y:94.22011|z:359.1875),Pos(x:-0.533817|y:1.267195|z:1.350166)|Rot(x:72.23209|y:94.21988|z:359.1873),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:18.99889|y:90|z:0),Pos(x:-0.5759904|y:1.246323|z:1.328133)|Rot(x:52.00028|y:90|z:0),Pos(x:-0.5541469|y:1.263389|z:1.328133)|Rot(x:81.70149|y:90|z:0),Pos(x:-0.5261433|y:1.267473|z:1.328133)|Rot(x:81.70152|y:90.00031|z:0.0002957702),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:17.31739|y:87.05013|z:0.1559691),Pos(x:-0.5775788|y:1.23668|z:1.304808)|Rot(x:47.72742|y:87.16748|z:0.221348),Pos(x:-0.5581142|y:1.2544|z:1.305873)|Rot(x:70.04104|y:44.08933|z:318.8897),Pos(x:-0.5332171|y:1.261036|z:1.307194)|Rot(x:70.04105|y:44.08928|z:318.8897),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:17.32419|y:85.0835|z:356.4796),Pos(x:-0.5761517|y:1.221312|z:1.282157)|Rot(x:47.73397|y:85.27898|z:356.5886),Pos(x:-0.5625255|y:1.233656|z:1.282184)|Rot(x:74.74661|y:101.8537|z:12.55884),Pos(x:-0.543973|y:1.238586|z:1.282556)|Rot(x:74.74665|y:101.8536|z:12.55873),Yes,1,StressBall (UnityEngine.GameObject),2024-10-14 20:04:03,
M4_1,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:335.8751|y:226.832|z:354.8979),Pos(x:-0.5770023|y:1.161919|z:1.368631)|Rot(x:343.2068|y:226.8989|z:6.081892),Pos(x:-0.5631679|y:1.208594|z:1.374463)|Rot(x:358.7737|y:232.1066|z:30.61466),Pos(x:-0.5538393|y:1.233116|z:1.363331)|Rot(x:358.7737|y:232.1066|z:30.61464),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:10.10831|y:94.94967|z:359.7481),Pos(x:-0.5825289|y:1.241936|z:1.354532)|Rot(x:23.68555|y:94.88509|z:359.7292),Pos(x:-0.5721504|y:1.265706|z:1.353522)|Rot(x:35.90505|y:94.81435|z:359.6939),Pos(x:-0.556443|y:1.287494|z:1.352055)|Rot(x:35.9051|y:94.81425|z:359.6938),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:11.85733|y:90|z:0),Pos(x:-0.5823309|y:1.248073|z:1.328133)|Rot(x:31.18143|y:90|z:0),Pos(x:-0.5679791|y:1.271788|z:1.328133)|Rot(x:48.57314|y:90|z:0),Pos(x:-0.5467598|y:1.290513|z:1.328133)|Rot(x:48.5731|y:90.00007|z:5.677509E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:6.536879|y:87.02076|z:0.1498701),Pos(x:-0.5861218|y:1.238487|z:1.304366)|Rot(x:19.1447|y:87.05539|z:0.1576155),Pos(x:-0.5774972|y:1.263374|z:1.304882)|Rot(x:29.59269|y:71.42131|z:352.2907),Pos(x:-0.5644268|y:1.285606|z:1.305624)|Rot(x:29.59269|y:71.42132|z:352.2907),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:6.543757|y:85.03458|z:356.4695),Pos(x:-0.583362|y:1.222842|z:1.281533)|Rot(x:19.1515|y:85.09226|z:356.4824),Pos(x:-0.577267|y:1.240177|z:1.280925)|Rot(x:30.66254|y:89.96011|z:358.9548),Pos(x:-0.5674768|y:1.25669|z:1.280581)|Rot(x:30.66257|y:89.96008|z:358.9547),No,,,2024-10-14 20:04:33,
