Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
M5_2,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-14 21:29:50,
M5_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:315.0451|y:235.7449|z:353.5688),Pos(x:-0.5646551|y:1.152881|z:1.374972)|Rot(x:318.4511|y:235.4406|z:358.9828),Pos(x:-0.5383719|y:1.189569|z:1.394133)|Rot(x:326.0956|y:236.2188|z:10.23153),Pos(x:-0.5225537|y:1.212847|z:1.398624)|Rot(x:326.0956|y:236.2188|z:10.23149),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:7.888571|y:94.9595|z:359.7497),Pos(x:-0.5843141|y:1.24222|z:1.354687)|Rot(x:28.24907|y:94.86064|z:359.7185),Pos(x:-0.5720841|y:1.265085|z:1.353519)|Rot(x:46.57344|y:94.7319|z:359.6393),Pos(x:-0.5526288|y:1.283576|z:1.351739)|Rot(x:46.57346|y:94.73181|z:359.6393),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:8.083748|y:90|z:0),Pos(x:-0.5857556|y:1.248675|z:1.328133)|Rot(x:24.89012|y:90|z:0),Pos(x:-0.5740891|y:1.27382|z:1.328133)|Rot(x:40.01587|y:90|z:0),Pos(x:-0.5558922|y:1.295494|z:1.328133)|Rot(x:40.01581|y:90.00006|z:4.013211E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:5.553518|y:87.01817|z:0.1495953),Pos(x:-0.586915|y:1.238571|z:1.304325)|Rot(x:18.28837|y:87.05289|z:0.1568122),Pos(x:-0.5786628|y:1.263584|z:1.304822)|Rot(x:28.87777|y:71.53056|z:352.5183),Pos(x:-0.565881|y:1.285984|z:1.305549)|Rot(x:28.87776|y:71.53056|z:352.5183),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:5.560407|y:85.03029|z:356.469),Pos(x:-0.5840314|y:1.222913|z:1.281475)|Rot(x:18.29518|y:85.08811|z:356.4811),Pos(x:-0.5781952|y:1.240337|z:1.280844)|Rot(x:29.9233|y:89.91963|z:358.8809),Pos(x:-0.5686188|y:1.256974|z:1.280483)|Rot(x:29.92334|y:89.91959|z:358.8809),No,,,2024-10-14 21:30:20,
M5_2,0.3,0,0,0,0.09,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:307.1705|y:241.3472|z:3.139134),Pos(x:-0.5555566|y:1.148493|z:1.368195)|Rot(x:314.1428|y:242.8407|z:12.76175),Pos(x:-0.5200811|y:1.181796|z:1.374222)|Rot(x:328.7135|y:250.5307|z:32.25241),Pos(x:-0.5032107|y:1.202394|z:1.364055)|Rot(x:328.7135|y:250.5307|z:32.25239),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:16.39527|y:94.9209|z:359.7415),Pos(x:-0.5775482|y:1.240759|z:1.354102)|Rot(x:35.18956|y:94.81902|z:359.6966),Pos(x:-0.5626549|y:1.261971|z:1.352708)|Rot(x:52.10429|y:94.6753|z:359.5963),Pos(x:-0.5415139|y:1.278494|z:1.350789)|Rot(x:52.10434|y:94.67519|z:359.5962),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:15.22926|y:90|z:0),Pos(x:-0.5793101|y:1.247345|z:1.328133)|Rot(x:37.25831|y:90|z:0),Pos(x:-0.5625284|y:1.269408|z:1.328133)|Rot(x:57.08446|y:90|z:0),Pos(x:-0.5387713|y:1.284786|z:1.328133)|Rot(x:57.08441|y:90.0001|z:8.170039E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:7.053916|y:87.02212|z:0.1500274),Pos(x:-0.5857053|y:1.238437|z:1.304388)|Rot(x:19.75854|y:87.05717|z:0.1582094),Pos(x:-0.576815|y:1.26323|z:1.304917)|Rot(x:30.26771|y:71.31437|z:352.0727),Pos(x:-0.5634739|y:1.2853|z:1.305673)|Rot(x:30.26771|y:71.31436|z:352.0727),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:7.060786|y:85.03685|z:356.4698),Pos(x:-0.5830106|y:1.222799|z:1.281564)|Rot(x:19.76533|y:85.09526|z:356.4834),Pos(x:-0.5767309|y:1.24007|z:1.280971)|Rot(x:31.36086|y:89.99967|z:359.0257),Pos(x:-0.5667402|y:1.256462|z:1.280645)|Rot(x:31.36089|y:89.99962|z:359.0256),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-14 21:30:50,
M5_2,0.1,0,0,0,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:311.8569|y:237.9492|z:357.766),Pos(x:-0.5605778|y:1.15128|z:1.372346)|Rot(x:317.4027|y:238.2121|z:6.049783),Pos(x:-0.5298049|y:1.187172|z:1.385338)|Rot(x:329.4529|y:242.071|z:22.8576),Pos(x:-0.5128267|y:1.209789|z:1.381808)|Rot(x:329.4529|y:242.071|z:22.85758),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:10.96547|y:94.94582|z:359.7474),Pos(x:-0.5818428|y:1.241808|z:1.354473)|Rot(x:33.08197|y:94.83233|z:359.7041),Pos(x:-0.5677368|y:1.263556|z:1.353146)|Rot(x:52.98671|y:94.66498|z:359.5881),Pos(x:-0.5463447|y:1.27975|z:1.351206)|Rot(x:52.98675|y:94.66488|z:359.588),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:17.08527|y:90|z:0),Pos(x:-0.5776672|y:1.246869|z:1.328133)|Rot(x:47.03809|y:90|z:0),Pos(x:-0.5573818|y:1.265761|z:1.328133)|Rot(x:73.99561|y:90|z:0),Pos(x:-0.5301787|y:1.273563|z:1.328133)|Rot(x:73.99558|y:90.00016|z:0.0001486376),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:9.758373|y:87.02931|z:0.1510821),Pos(x:-0.5835355|y:1.238116|z:1.3045)|Rot(x:28.47749|y:87.08447|z:0.1693923),Pos(x:-0.5709944|y:1.261273|z:1.305217)|Rot(x:43.77447|y:68.17255|z:346.8323),Pos(x:-0.5526755|y:1.279412|z:1.306223)|Rot(x:43.77447|y:68.17254|z:346.8323),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:9.765227|y:85.04881|z:356.4715),Pos(x:-0.5811791|y:1.222528|z:1.281723)|Rot(x:28.48423|y:85.14068|z:356.502),Pos(x:-0.5723633|y:1.238658|z:1.281347)|Rot(x:45.42736|y:91.15377|z:0.7716219),Pos(x:-0.5586847|y:1.252132|z:1.28133)|Rot(x:45.42739|y:91.15372|z:0.7715663),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-14 21:31:20,
M5_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:313.9894|y:236.8229|z:357.1165),Pos(x:-0.5621687|y:1.152461|z:1.372668)|Rot(x:318.5447|y:236.8856|z:4.023834),Pos(x:-0.5331684|y:1.189117|z:1.387476)|Rot(x:328.5784|y:239.3358|z:18.23539),Pos(x:-0.5164815|y:1.212216|z:1.387002)|Rot(x:328.5784|y:239.3358|z:18.23536),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:12.6849|y:94.93806|z:359.7458),Pos(x:-0.5804724|y:1.24152|z:1.354354)|Rot(x:29.15364|y:94.85554|z:359.7161),Pos(x:-0.5678843|y:1.264188|z:1.353156)|Rot(x:43.97544|y:94.75462|z:359.6555),Pos(x:-0.5492843|y:1.283546|z:1.351446)|Rot(x:43.97547|y:94.75453|z:359.6554),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:20.96665|y:90|z:0),Pos(x:-0.5742861|y:1.245703|z:1.328133)|Rot(x:51.0732|y:90|z:0),Pos(x:-0.5527217|y:1.26312|z:1.328133)|Rot(x:78.16906|y:90|z:0),Pos(x:-0.5250229|y:1.268923|z:1.328133)|Rot(x:78.16908|y:90.00023|z:0.0002331975),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:16.38562|y:87.04749|z:0.1551912),Pos(x:-0.5783021|y:1.236899|z:1.304771)|Rot(x:40.95115|y:87.1329|z:0.1971394),Pos(x:-0.561062|y:1.256796|z:1.305725)|Rot(x:60.1297|y:59.1601|z:335.4596),Pos(x:-0.5380947|y:1.268485|z:1.306958)|Rot(x:60.1297|y:59.1601|z:335.4596),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:16.39244|y:85.07908|z:356.4784),Pos(x:-0.5767621|y:1.221498|z:1.282104)|Rot(x:40.95775|y:85.22137|z:356.5482),Pos(x:-0.5646814|y:1.235358|z:1.282003)|Rot(x:63.00513|y:94.63595|z:4.918834),Pos(x:-0.547559|y:1.24404|z:1.282267)|Rot(x:63.00516|y:94.63584|z:4.918738),Yes,0,StressBall (UnityEngine.GameObject),2024-10-14 21:31:50,
M5_2,1,1,1,1,1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:309.7113|y:215.1125|z:26.69019),Pos(x:-0.5538754|y:1.147068|z:1.366896)|Rot(x:316.9523|y:221.4025|z:34.99095),Pos(x:-0.5146527|y:1.176422|z:1.368868)|Rot(x:329.4133|y:236.2148|z:52.60168),Pos(x:-0.4947419|y:1.191323|z:1.354948)|Rot(x:329.4133|y:236.2149|z:52.60165),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:47.34509|y:94.72473|z:359.6341),Pos(x:-0.5564011|y:1.227564|z:1.352311)|Rot(x:82.88959|y:93.00575|z:357.9965),Pos(x:-0.5307435|y:1.230775|z:1.350056)|Rot(x:65.11168|y:275.5284|z:180.5892),Pos(x:-0.5064299|y:1.219455|z:1.34798)|Rot(x:65.11163|y:275.5285|z:180.5893),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:43.79786|y:90|z:0),Pos(x:-0.5566338|y:1.234509|z:1.328133)|Rot(x:74.47845|y:90|z:0),Pos(x:-0.5299251|y:1.241926|z:1.328133)|Rot(x:77.90909|y:270|z:180),Pos(x:-0.5022529|y:1.235999|z:1.328133)|Rot(x:77.90909|y:269.9998|z:179.9997),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:40.69009|y:87.13171|z:0.1963606),Pos(x:-0.5611121|y:1.227539|z:1.305646)|Rot(x:68.839|y:87.38836|z:0.4124751),Pos(x:-0.536579|y:1.237049|z:1.306955)|Rot(x:75.94351|y:340.0688|z:252.5625),Pos(x:-0.5108824|y:1.235171|z:1.308295)|Rot(x:75.9435|y:340.0689|z:252.5625),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.70331|y:85.0901|z:356.4817),Pos(x:-0.5752538|y:1.221019|z:1.282234)|Rot(x:49.47263|y:85.29619|z:356.6015),Pos(x:-0.5612607|y:1.232945|z:1.282292)|Rot(x:76.70722|y:104.3832|z:15.15932),Pos(x:-0.5425434|y:1.237206|z:1.282675)|Rot(x:76.70724|y:104.3832|z:15.15926),Yes,1,StressBall (UnityEngine.GameObject),2024-10-14 21:32:20,
M5_2,0.09,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:309.1217|y:239.3889|z:358.2097),Pos(x:-0.5587626|y:1.149695|z:1.372072)|Rot(x:314.9233|y:239.7675|z:6.794904),Pos(x:-0.5260581|y:1.184075|z:1.384417)|Rot(x:327.4759|y:244.1956|z:24.02242),Pos(x:-0.5084074|y:1.206024|z:1.380064)|Rot(x:327.4759|y:244.1956|z:24.02236),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:7.119349|y:94.9629|z:359.7501),Pos(x:-0.5849351|y:1.242302|z:1.354741)|Rot(x:23.96778|y:94.88364|z:359.7286),Pos(x:-0.5744401|y:1.26602|z:1.353721)|Rot(x:39.13131|y:94.79214|z:359.6804),Pos(x:-0.5575356|y:1.286886|z:1.352153)|Rot(x:39.13137|y:94.79203|z:359.6803),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.367591|y:90|z:0),Pos(x:-0.5873246|y:1.248874|z:1.328133)|Rot(x:19.98416|y:90|z:0),Pos(x:-0.5778512|y:1.274925|z:1.328133)|Rot(x:32.23905|y:90|z:0),Pos(x:-0.5627545|y:1.298862|z:1.328133)|Rot(x:32.23901|y:90.00007|z:3.230053E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:2.007978|y:87.0089|z:0.1489874),Pos(x:-0.5897841|y:1.238761|z:1.304175)|Rot(x:9.074606|y:87.02748|z:0.1507825),Pos(x:-0.5856383|y:1.264775|z:1.30446)|Rot(x:15.02876|y:72.97029|z:356.4393),Pos(x:-0.5787846|y:1.289645|z:1.304883)|Rot(x:15.02876|y:72.97029|z:356.4393),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:2.014877|y:85.01486|z:356.468),Pos(x:-0.586453|y:1.223074|z:1.281264)|Rot(x:9.08147|y:85.04578|z:356.471),Pos(x:-0.5834695|y:1.241195|z:1.280387)|Rot(x:15.65448|y:89.36849|z:357.6286),Pos(x:-0.5782846|y:1.259667|z:1.27965)|Rot(x:15.65451|y:89.36846|z:357.6286),Yes,1,StressBall (UnityEngine.GameObject),2024-10-14 21:32:50,
M5_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:310.4311|y:238.1581|z:354.7005),Pos(x:-0.5612356|y:1.150358|z:1.374557)|Rot(x:313.9226|y:237.9267|z:0.2022246),Pos(x:-0.5312188|y:1.184369|z:1.393162)|Rot(x:321.7343|y:239.0045|z:11.48491),Pos(x:-0.5134695|y:1.206298|z:1.397205)|Rot(x:321.7343|y:239.0046|z:11.48488),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:8.29581|y:94.95771|z:359.7494),Pos(x:-0.5839858|y:1.242173|z:1.354658)|Rot(x:23.67297|y:94.88517|z:359.7293),Pos(x:-0.5736125|y:1.265945|z:1.353649)|Rot(x:37.51237|y:94.80351|z:359.6874),Pos(x:-0.5573022|y:1.287282|z:1.352131)|Rot(x:37.51242|y:94.80345|z:359.6874),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:5.973765|y:90|z:0),Pos(x:-0.5876855|y:1.248913|z:1.328133)|Rot(x:18.49137|y:90|z:0),Pos(x:-0.578894|y:1.275201|z:1.328133)|Rot(x:29.75721|y:90|z:0),Pos(x:-0.5648479|y:1.29977|z:1.328133)|Rot(x:29.75718|y:90.00007|z:2.950366E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:3.902239|y:87.01385|z:0.1492366),Pos(x:-0.5882497|y:1.238681|z:1.304255)|Rot(x:13.48676|y:87.03941|z:0.1531146),Pos(x:-0.5821176|y:1.264299|z:1.304643)|Rot(x:21.50069|y:72.44275|z:354.7036),Pos(x:-0.5724221|y:1.288201|z:1.305212)|Rot(x:21.50068|y:72.44276|z:354.7036),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:3.909134|y:85.02309|z:356.4684),Pos(x:-0.5851579|y:1.223006|z:1.281377)|Rot(x:13.49359|y:85.06564|z:356.4749),Pos(x:-0.5807946|y:1.240851|z:1.280619)|Rot(x:22.31245|y:89.57655|z:358.1783),Pos(x:-0.5735045|y:1.258605|z:1.280063)|Rot(x:22.31249|y:89.57648|z:358.1783),No,,,2024-10-14 21:33:20,
M5_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:311.789|y:237.2743|z:353.2685),Pos(x:-0.562798|y:1.151062|z:1.375461)|Rot(x:314.545|y:236.9567|z:357.7154),Pos(x:-0.5345951|y:1.185428|z:1.396138)|Rot(x:320.7545|y:237.3006|z:6.974914),Pos(x:-0.5176649|y:1.207336|z:1.402894)|Rot(x:320.7545|y:237.3007|z:6.97488),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:9.698503|y:94.95149|z:359.7484),Pos(x:-0.5828577|y:1.241994|z:1.354561)|Rot(x:27.11646|y:94.86688|z:359.7214),Pos(x:-0.5710804|y:1.265097|z:1.353431)|Rot(x:42.79256|y:94.76432|z:359.6621),Pos(x:-0.5528827|y:1.284836|z:1.351755)|Rot(x:42.79261|y:94.76424|z:359.662),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.02278|y:90|z:0),Pos(x:-0.5876406|y:1.248908|z:1.328133)|Rot(x:18.61537|y:90|z:0),Pos(x:-0.5787921|y:1.275178|z:1.328133)|Rot(x:29.94871|y:90|z:0),Pos(x:-0.5646641|y:1.299699|z:1.328133)|Rot(x:29.94865|y:90.00005|z:2.857496E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:357.9559|y:86.99839|z:0.1489891),Pos(x:-0.59307|y:1.23876|z:1.304003)|Rot(x:359.0955|y:87.00135|z:0.1489155),Pos(x:-0.5934889|y:1.265101|z:1.304049)|Rot(x:0.1526157|y:73.42023|z:0.1162988),Pos(x:-0.593438|y:1.290901|z:1.304119)|Rot(x:0.1526095|y:73.42023|z:0.116307),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:357.9629|y:84.99731|z:356.468),Pos(x:-0.5892262|y:1.223073|z:1.281022)|Rot(x:359.1024|y:85.00225|z:356.4679),Pos(x:-0.5894139|y:1.241422|z:1.279869)|Rot(x:0.3825786|y:89.14105|z:356.4863),Pos(x:-0.5892683|y:1.260586|z:1.278694)|Rot(x:0.3826161|y:89.14102|z:356.4863),No,,,2024-10-14 21:33:50,
M5_2,0.07,0.01,0.04,0.06,0.05,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:313.4721|y:220.5655|z:19.40657),Pos(x:-0.5567391|y:1.150496|z:1.366897)|Rot(x:321.1567|y:225.2688|z:29.09645),Pos(x:-0.5208699|y:1.183865|z:1.36887)|Rot(x:334.5534|y:237.9842|z:48.83502),Pos(x:-0.5026609|y:1.200805|z:1.354951)|Rot(x:334.5534|y:237.9842|z:48.835),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:34.53986|y:94.8232|z:359.699),Pos(x:-0.5642631|y:1.234409|z:1.352969)|Rot(x:86.02748|y:91.42103|z:356.4186),Pos(x:-0.5384682|y:1.236203|z:1.350707)|Rot(x:47.61866|y:275.2656|z:180.3679),Pos(x:-0.5186663|y:1.218071|z:1.349055)|Rot(x:47.61862|y:275.2657|z:180.3679),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:29.4622|y:90|z:0),Pos(x:-0.5672089|y:1.242371|z:1.328133)|Rot(x:75.61696|y:90|z:0),Pos(x:-0.5403581|y:1.249257|z:1.328133)|Rot(x:62.84378|y:270|z:180),Pos(x:-0.5151778|y:1.23634|z:1.328133)|Rot(x:62.84381|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.08398|y:87.07025|z:0.1630989),Pos(x:-0.5724475|y:1.234738|z:1.305072)|Rot(x:62.54989|y:87.29034|z:0.3230004),Pos(x:-0.5491027|y:1.246882|z:1.306325)|Rot(x:74.80383|y:329.4337|z:241.5658),Pos(x:-0.523539|y:1.243662|z:1.307655)|Rot(x:74.80385|y:329.4337|z:241.5658),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.70331|y:85.0901|z:356.4817),Pos(x:-0.5752538|y:1.221019|z:1.282234)|Rot(x:49.47263|y:85.29619|z:356.6015),Pos(x:-0.5612607|y:1.232945|z:1.282292)|Rot(x:76.70722|y:104.3832|z:15.15932),Pos(x:-0.5425434|y:1.237206|z:1.282675)|Rot(x:76.70724|y:104.3832|z:15.15926),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-14 21:34:20,
