Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,Rendering Method,TimeStamp
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,,2024-08-26 10:56:41
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:320.4298|y:232.4852|z:348.2035),Pos(x:-0.5657842|y:1.150162|z:1.377348)|Rot(x:321.676|y:232.1815|z:350.3278),Pos(x:-0.5471588|y:1.18808|z:1.402233)|Rot(x:324.5059|y:231.7244|z:354.953),Pos(x:-0.5357717|y:1.211194|z:1.414411)|Rot(x:324.5059|y:231.7244|z:354.953),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.2454|y:95.00579|z:359.7518),Pos(x:-0.5876267|y:1.237635|z:1.355441)|Rot(x:6.668535|y:94.96488|z:359.7504),Pos(x:-0.5846337|y:1.263415|z:1.355067)|Rot(x:15.14932|y:94.92674|z:359.7431),Pos(x:-0.5776402|y:1.28938|z:1.354343)|Rot(x:15.14936|y:94.92667|z:359.7431),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:3.464581|y:90|z:0),Pos(x:-0.5846576|y:1.244129|z:1.328133)|Rot(x:13.2908|y:90|z:0),Pos(x:-0.5782851|y:1.271106|z:1.328133)|Rot(x:22.13438|y:90|z:0),Pos(x:-0.5676222|y:1.29732|z:1.328133)|Rot(x:22.13435|y:90.00006|z:2.857271E-05),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:2.217456|y:87.00946|z:0.1490039),Pos(x:-0.5842819|y:1.23378|z:1.304184)|Rot(x:9.978281|y:87.02989|z:0.1511882),Pos(x:-0.5797268|y:1.259726|z:1.30449)|Rot(x:16.51126|y:72.86922|z:356.0529),Pos(x:-0.5722132|y:1.284403|z:1.304947)|Rot(x:16.51126|y:72.86922|z:356.0529),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:2.224359|y:85.01577|z:356.468),Pos(x:-0.5809772|y:1.218094|z:1.281277)|Rot(x:9.985141|y:85.0498|z:356.4717),Pos(x:-0.5777094|y:1.236167|z:1.280424)|Rot(x:17.17844|y:89.40953|z:357.7504),Pos(x:-0.5720357|y:1.254497|z:1.279729)|Rot(x:17.17849|y:89.40948|z:357.7503),No,,,,2024-08-26 10:56:42
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:323.0841|y:231.1634|z:347.7583),Pos(x:-0.5677981|y:1.156312|z:1.376969)|Rot(x:324.5694|y:230.8063|z:350.2752),Pos(x:-0.5513197|y:1.195688|z:1.401091)|Rot(x:327.9473|y:230.3082|z:355.742),Pos(x:-0.5410648|y:1.219777|z:1.412353)|Rot(x:327.9474|y:230.3083|z:355.742),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.6978|y:95.00384|z:359.7518),Pos(x:-0.5872588|y:1.242626|z:1.355408)|Rot(x:357.6978|y:95.00384|z:359.7518),Pos(x:-0.5883072|y:1.26856|z:1.355387)|Rot(x:357.6978|y:95.00384|z:359.7518),Pos(x:-0.5893938|y:1.295438|z:1.355366)|Rot(x:357.6978|y:95.00378|z:359.7519),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:358.1406|y:90|z:0),Pos(x:-0.5895621|y:1.249172|z:1.328133)|Rot(x:359.5484|y:90|z:0),Pos(x:-0.5897806|y:1.276891|z:1.328133)|Rot(x:0.8154922|y:90|z:0),Pos(x:-0.5893778|y:1.305188|z:1.328133)|Rot(x:0.8154441|y:90.00005|z:3.201975E-07),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:358.7665|y:87.00049|z:0.1489383),Pos(x:-0.5870804|y:1.238779|z:1.304037)|Rot(x:1.060075|y:87.00645|z:0.148914),Pos(x:-0.5865973|y:1.265118|z:1.304131)|Rot(x:3.071834|y:73.40818|z:359.4104),Pos(x:-0.5851966|y:1.29088|z:1.304272)|Rot(x:3.071828|y:73.40819|z:359.4105),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:358.7734|y:85.00083|z:356.4679),Pos(x:-0.5833392|y:1.223089|z:1.281071)|Rot(x:1.066986|y:85.01076|z:356.4679),Pos(x:-0.5829002|y:1.241437|z:1.279972)|Rot(x:3.377978|y:89.16119|z:356.7035),Pos(x:-0.5817547|y:1.260572|z:1.278885)|Rot(x:3.378011|y:89.16113|z:356.7035),No,,,,2024-08-26 10:56:43
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:323.1761|y:231.1386|z:347.901),Pos(x:-0.5677733|y:1.156371|z:1.376866)|Rot(x:325.4772|y:230.6306|z:351.7614),Pos(x:-0.5509701|y:1.19635|z:1.399741)|Rot(x:330.7205|y:230.187|z:0.01980553),Pos(x:-0.5402572|y:1.221209|z:1.408658)|Rot(x:330.7205|y:230.187|z:0.01976736),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.7778|y:95.00349|z:359.7519),Pos(x:-0.5871937|y:1.242628|z:1.355403)|Rot(x:52.23252|y:94.67384|z:359.5952),Pos(x:-0.5667591|y:1.258525|z:1.353548)|Rot(x:78.7542|y:276.241|z:181.2715),Pos(x:-0.5404735|y:1.25328|z:1.351274)|Rot(x:78.7542|y:276.2413|z:181.2719),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:10.08458|y:90|z:0),Pos(x:-0.5786024|y:1.248384|z:1.328133)|Rot(x:56.19535|y:90|z:0),Pos(x:-0.5555692|y:1.263806|z:1.328133)|Rot(x:82.30505|y:270|z:180),Pos(x:-0.527524|y:1.260017|z:1.328133)|Rot(x:82.30507|y:269.9996|z:179.9996),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:9.555193|y:87.02876|z:0.1509849),Pos(x:-0.5783656|y:1.238144|z:1.304492)|Rot(x:51.39761|y:87.1902|z:0.238653),Pos(x:-0.5578079|y:1.25458|z:1.305611)|Rot(x:76.53269|y:0.9457116|z:274.0556),Pos(x:-0.5320467|y:1.255005|z:1.30696)|Rot(x:76.53265|y:0.9457559|z:274.0557),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:9.562047|y:85.04791|z:356.4713),Pos(x:-0.5759839|y:1.222551|z:1.281711)|Rot(x:51.40409|y:85.31682|z:356.6174),Pos(x:-0.5615982|y:1.234001|z:1.281801)|Rot(x:85.56906|y:166.4107|z:77.59209),Pos(x:-0.5424052|y:1.234319|z:1.282209)|Rot(x:85.56906|y:166.4108|z:77.59221),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 10:56:44
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:310.3825|y:238.2034|z:354.8408),Pos(x:-0.5558034|y:1.150336|z:1.374462)|Rot(x:315.2565|y:238.0312|z:2.407265),Pos(x:-0.5254594|y:1.18513|z:1.390972)|Rot(x:326.03|y:240.4879|z:17.62344),Pos(x:-0.5080009|y:1.207657|z:1.390939)|Rot(x:326.03|y:240.4879|z:17.62342),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:6.201159|y:94.96691|z:359.7506),Pos(x:-0.5803453|y:1.242389|z:1.354805)|Rot(x:39.91916|y:94.78642|z:359.6767),Pos(x:-0.5637598|y:1.262296|z:1.35327)|Rot(x:70.26463|y:94.30267|z:359.2657),Pos(x:-0.5385391|y:1.271379|z:1.351026)|Rot(x:70.26469|y:94.30251|z:359.2655),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:12.72027|y:90|z:0),Pos(x:-0.5762215|y:1.247904|z:1.328133)|Rot(x:45.22681|y:90|z:0),Pos(x:-0.5565434|y:1.267427|z:1.328133)|Rot(x:74.48268|y:90|z:0),Pos(x:-0.5292748|y:1.274998|z:1.328133)|Rot(x:74.48264|y:90.00018|z:0.0001659481),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:15.57711|y:87.0452|z:0.1545741),Pos(x:-0.5736002|y:1.23708|z:1.304739)|Rot(x:55.68791|y:87.22187|z:0.2641419),Pos(x:-0.551872|y:1.25193|z:1.305915)|Rot(x:76.44892|y:349.5662|z:262.3473),Pos(x:-0.5261198|y:1.251125|z:1.30726)|Rot(x:76.44894|y:349.5663|z:262.3473),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:15.58393|y:85.0753|z:356.4773),Pos(x:-0.5719619|y:1.221651|z:1.282059)|Rot(x:55.69431|y:85.36957|z:356.6599),Pos(x:-0.5567629|y:1.231996|z:1.282215)|Rot(x:85.1558|y:200.2409|z:111.515),Pos(x:-0.5375763|y:1.231401|z:1.282618)|Rot(x:85.15592|y:200.2415|z:111.5155),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 10:56:45
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:305.3928|y:240.7237|z:353.4541),Pos(x:-0.5534639|y:1.147269|z:1.37531)|Rot(x:308.6628|y:240.3536|z:358.7477),Pos(x:-0.5207289|y:1.177892|z:1.395174)|Rot(x:316.009|y:241.1327|z:9.428618),Pos(x:-0.5013742|y:1.198119|z:1.400513)|Rot(x:316.009|y:241.1327|z:9.428588),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:358.3376|y:95.00106|z:359.752),Pos(x:-0.5867382|y:1.242644|z:1.355363)|Rot(x:9.503575|y:94.95236|z:359.7486),Pos(x:-0.5824785|y:1.268243|z:1.354879)|Rot(x:19.55298|y:94.90582|z:359.7369),Pos(x:-0.5735192|y:1.293592|z:1.353986)|Rot(x:19.55303|y:94.90575|z:359.7369),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:2.255965|y:90|z:0),Pos(x:-0.5857701|y:1.249159|z:1.328133)|Rot(x:10.0967|y:90|z:0),Pos(x:-0.5809106|y:1.276449|z:1.328133)|Rot(x:17.15334|y:90|z:0),Pos(x:-0.5725641|y:1.30349|z:1.328133)|Rot(x:17.1533|y:90.00005|z:1.429629E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:1.506558|y:87.00761|z:0.1489499),Pos(x:-0.5848582|y:1.238773|z:1.304154)|Rot(x:8.125437|y:87.02496|z:0.1504082),Pos(x:-0.5811433|y:1.264853|z:1.304416)|Rot(x:13.71672|y:73.05057|z:356.7769),Pos(x:-0.5748776|y:1.289878|z:1.304809)|Rot(x:13.71672|y:73.05057|z:356.7769),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:1.513472|y:85.0127|z:356.468),Pos(x:-0.5814636|y:1.223084|z:1.281235)|Rot(x:8.132299|y:85.04156|z:356.4704),Pos(x:-0.5787795|y:1.241251|z:1.280331)|Rot(x:14.30621|y:89.33522|z:357.5226),Pos(x:-0.5740302|y:1.259838|z:1.279556)|Rot(x:14.30624|y:89.33517|z:357.5225),No,,,,2024-08-26 10:56:46
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:306.1494|y:209.8477|z:29.77226),Pos(x:-0.5478068|y:1.144486|z:1.369395)|Rot(x:311.8336|y:215.6341|z:35.57376),Pos(x:-0.5073129|y:1.171084|z:1.376927)|Rot(x:321.7704|y:227.6795|z:47.64005),Pos(x:-0.4843479|y:1.186169|z:1.369357)|Rot(x:321.7704|y:227.6795|z:47.64004),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.58973|y:94.85306|z:359.7148),Pos(x:-0.5623462|y:1.236556|z:1.353258)|Rot(x:75.90984|y:94.00594|z:358.9814),Pos(x:-0.5372688|y:1.242874|z:1.351039)|Rot(x:62.39724|y:275.4681|z:180.5352),Pos(x:-0.5135161|y:1.230411|z:1.349018)|Rot(x:62.39721|y:275.4682|z:180.5353),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:29.95881|y:90|z:0),Pos(x:-0.561479|y:1.242144|z:1.328133)|Rot(x:76.82303|y:90|z:0),Pos(x:-0.5344892|y:1.248463|z:1.328133)|Rot(x:60.99918|y:270|z:180),Pos(x:-0.5097377|y:1.234743|z:1.328133)|Rot(x:60.99923|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.58715|y:87.07182|z:0.1637415),Pos(x:-0.5667432|y:1.23457|z:1.305091)|Rot(x:63.77182|y:87.30592|z:0.3369004),Pos(x:-0.5431451|y:1.246212|z:1.306356)|Rot(x:73.85576|y:323.692|z:235.598),Pos(x:-0.5176997|y:1.242159|z:1.307678)|Rot(x:73.85574|y:323.692|z:235.598),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.5939|y:85.11963|z:356.4926),Pos(x:-0.5661744|y:1.219526|z:1.282555)|Rot(x:63.77805|y:85.50957|z:356.7811),Pos(x:-0.5496761|y:1.227637|z:1.282815)|Rot(x:79.70934|y:239.7103|z:151.231),Pos(x:-0.5307166|y:1.224631|z:1.283188)|Rot(x:79.7093|y:239.7105|z:151.2312),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 10:56:47
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:312.8553|y:221.2141|z:15.09883),Pos(x:-0.552955|y:1.150837|z:1.369395)|Rot(x:319.228|y:224.2915|z:23.26507),Pos(x:-0.5185515|y:1.184949|z:1.376927)|Rot(x:330.5864|y:232.6164|z:38.80863),Pos(x:-0.4990405|y:1.204295|z:1.369357)|Rot(x:330.5864|y:232.6165|z:38.80859),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:29.58973|y:94.85306|z:359.7148),Pos(x:-0.5623462|y:1.236556|z:1.353258)|Rot(x:75.90984|y:94.00594|z:358.9814),Pos(x:-0.5372688|y:1.242874|z:1.351039)|Rot(x:62.39724|y:275.4681|z:180.5352),Pos(x:-0.5135161|y:1.230411|z:1.349018)|Rot(x:62.39721|y:275.4682|z:180.5353),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:29.95881|y:90|z:0),Pos(x:-0.561479|y:1.242144|z:1.328133)|Rot(x:76.82303|y:90|z:0),Pos(x:-0.5344892|y:1.248463|z:1.328133)|Rot(x:60.99918|y:270|z:180),Pos(x:-0.5097377|y:1.234743|z:1.328133)|Rot(x:60.99923|y:269.9999|z:179.9999),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.33317|y:87.07104|z:0.1634181),Pos(x:-0.5669307|y:1.234655|z:1.305081)|Rot(x:63.15502|y:87.29789|z:0.329734),Pos(x:-0.5434592|y:1.246552|z:1.306341)|Rot(x:74.35446|y:326.5021|z:238.5223),Pos(x:-0.5179507|y:1.242918|z:1.307667)|Rot(x:74.35446|y:326.5021|z:238.5223),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.33992|y:85.11831|z:356.4921),Pos(x:-0.5663326|y:1.219599|z:1.282542)|Rot(x:63.16127|y:85.49619|z:356.7691),Pos(x:-0.5499223|y:1.227886|z:1.282795)|Rot(x:80.55369|y:237.2856|z:148.7742),Pos(x:-0.5309161|y:1.225192|z:1.283173)|Rot(x:80.55373|y:237.286|z:148.7745),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 10:56:48
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:340.0207|y:222.3678|z:345.9605),Pos(x:-0.5800983|y:1.162038|z:1.371485)|Rot(x:344.806|y:221.4655|z:353.653),Pos(x:-0.5757031|y:1.209064|z:1.384645)|Rot(x:355.7079|y:221.8488|z:10.32266),Pos(x:-0.5704989|y:1.237024|z:1.382801)|Rot(x:355.7079|y:221.8488|z:10.32264),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:28.48577|y:94.85931|z:359.7179),Pos(x:-0.5631322|y:1.236994|z:1.353325)|Rot(x:61.98344|y:94.52784|z:359.4721),Pos(x:-0.5403093|y:1.249186|z:1.351277)|Rot(x:87.85278|y:281.6218|z:186.6326),Pos(x:-0.5135296|y:1.248184|z:1.348942)|Rot(x:87.8526|y:281.6228|z:186.6336),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:30.50708|y:90|z:0),Pos(x:-0.5610424|y:1.24189|z:1.328133)|Rot(x:67.75864|y:90|z:0),Pos(x:-0.5353852|y:1.252382|z:1.328133)|Rot(x:78.71502|y:270|z:180),Pos(x:-0.5076324|y:1.246844|z:1.328133)|Rot(x:78.71503|y:269.9997|z:179.9997),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:24.07645|y:87.07024|z:0.1630865),Pos(x:-0.5671206|y:1.234741|z:1.305072)|Rot(x:54.31732|y:87.21104|z:0.2552596),Pos(x:-0.5457535|y:1.250107|z:1.30623)|Rot(x:74.16351|y:28.62908|z:302.6463),Pos(x:-0.52027|y:1.253905|z:1.307574)|Rot(x:74.16351|y:28.62903|z:302.6462),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:24.08322|y:85.11698|z:356.4915),Pos(x:-0.566493|y:1.219671|z:1.282528)|Rot(x:54.32377|y:85.35152|z:356.6451),Pos(x:-0.5515448|y:1.230375|z:1.282664)|Rot(x:80.72218|y:113.2709|z:24.19665),Pos(x:-0.5325578|y:1.233199|z:1.283064)|Rot(x:80.72227|y:113.2707|z:24.19647),Yes,0,StressBall (UnityEngine.GameObject),1,2024-08-26 10:56:49
heymin,0,0,0,0,0,Pos(x:-0.5820366|y:1.122002|z:1.353552)|Rot(x:340.0731|y:221.1209|z:341.2052),Pos(x:-0.5833766|y:1.161083|z:1.373529)|Rot(x:345.1932|y:219.729|z:349.6949),Pos(x:-0.5822426|y:1.20772|z:1.388617)|Rot(x:357.0518|y:219.483|z:7.951642),Pos(x:-0.5782766|y:1.235909|z:1.38723)|Rot(x:357.0518|y:219.483|z:7.951622),Pos(x:-0.5853671|y:1.195834|z:1.355446)|Rot(x:357.1908|y:95.00603|z:359.7517),Pos(x:-0.5876711|y:1.242607|z:1.355444)|Rot(x:8.68688|y:94.95599|z:359.7492),Pos(x:-0.5837754|y:1.268265|z:1.354993)|Rot(x:19.03331|y:94.90832|z:359.7377),Pos(x:-0.5750456|y:1.293694|z:1.354119)|Rot(x:19.03337|y:94.90826|z:359.7377),Pos(x:-0.5878487|y:1.196394|z:1.328133)|Rot(x:1.894318|y:90|z:0),Pos(x:-0.5861032|y:1.249171|z:1.328133)|Rot(x:9.246448|y:90|z:0),Pos(x:-0.5816491|y:1.27653|z:1.328133)|Rot(x:15.86336|y:90|z:0),Pos(x:-0.5739135|y:1.303753|z:1.328133)|Rot(x:15.86333|y:90.00005|z:1.686394E-05),Pos(x:-0.5860737|y:1.192253|z:1.303969)|Rot(x:3.471074|y:87.01272|z:0.1491691),Pos(x:-0.5832663|y:1.238704|z:1.304237)|Rot(x:13.49273|y:87.03942|z:0.1531224),Pos(x:-0.5771315|y:1.264321|z:1.304625)|Rot(x:21.88724|y:72.4038|z:354.5953),Pos(x:-0.5672699|y:1.288155|z:1.305203)|Rot(x:21.88723|y:72.40379|z:354.5954),Pos(x:-0.5827112|y:1.183715|z:1.283566)|Rot(x:3.47797|y:85.02121|z:356.4683),Pos(x:-0.5801201|y:1.223025|z:1.281352)|Rot(x:13.49957|y:85.06567|z:356.4749),Pos(x:-0.5757548|y:1.24087|z:1.280594)|Rot(x:22.7106|y:89.59148|z:358.2128),Pos(x:-0.5683417|y:1.258573|z:1.280048)|Rot(x:22.71063|y:89.59142|z:358.2127),No,,,,2024-08-26 10:56:50
