Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip
hyunwook,0,0,0,0,0.03,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:347.3423|y:57.88415|z:334.0507),Pos(x:-0.3604074|y:1.038634|z:1.232174)|Rot(x:351.1028|y:56.28396|z:340.5674),Pos(x:-0.3573012|y:1.084315|z:1.214636)|Rot(x:0.04383445|y:54.32259|z:354.732),Pos(x:-0.3557574|y:1.112694|z:1.212523)|Rot(x:0.04384086|y:54.32262|z:354.732),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:333.2559|y:275.5923|z:357.203),Pos(x:-0.3054643|y:1.106054|z:1.251377)|Rot(x:345.4143|y:274.9832|z:357.4192),Pos(x:-0.2988577|y:1.131148|z:1.251974)|Rot(x:356.3582|y:274.4919|z:357.4973),Pos(x:-0.2970639|y:1.157968|z:1.253011)|Rot(x:356.3582|y:274.4919|z:357.4973),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:338.0724|y:270|z:0),Pos(x:-0.3044522|y:1.112635|z:1.278467)|Rot(x:350.6639|y:270|z:0),Pos(x:-0.2999554|y:1.139987|z:1.278467)|Rot(x:1.99619|y:270|z:0),Pos(x:-0.3009412|y:1.16827|z:1.278467)|Rot(x:1.996154|y:270.0001|z:-1.601798E-06),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:339.6952|y:266.8464|z:1.598865),Pos(x:-0.3114514|y:1.104403|z:1.302222)|Rot(x:354.9524|y:267.2689|z:1.505329),Pos(x:-0.309104|y:1.130636|z:1.301642)|Rot(x:8.79558|y:253.8868|z:359.4187),Pos(x:-0.3129666|y:1.156131|z:1.300798)|Rot(x:8.795568|y:253.8868|z:359.4187),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:339.7685|y:264.746|z:358.8819),Pos(x:-0.3210148|y:1.091729|z:1.32505)|Rot(x:355.0159|y:265.4492|z:358.727),Pos(x:-0.3194552|y:1.110041|z:1.325584)|Rot(x:8.806739|y:270.242|z:359.3863),Pos(x:-0.3223937|y:1.129014|z:1.325802)|Rot(x:8.806783|y:270.2419|z:359.3863)
hyunwook,1,0,0,0.62,0.8,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:328.7466|y:74.09142|z:354.8376),Pos(x:-0.3840322|y:1.037496|z:1.243028)|Rot(x:338.4044|y:74.49582|z:9.462484),Pos(x:-0.4033393|y:1.082464|z:1.246038)|Rot(x:357.8832|y:83.83942|z:41.14371),Pos(x:-0.4061399|y:1.103912|z:1.264596)|Rot(x:357.8832|y:83.83944|z:41.1437),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:15.16625|y:273.6554|z:357.4122),Pos(x:-0.3387148|y:1.109437|z:1.254044)|Rot(x:69.07846|y:267.7812|z:352.9903),Pos(x:-0.3628829|y:1.118636|z:1.256278)|Rot(x:62.03941|y:99.0463|z:185.3329),Pos(x:-0.3866388|y:1.106078|z:1.257528)|Rot(x:62.03937|y:99.04641|z:185.3331),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:17.367|y:270|z:0),Pos(x:-0.3399335|y:1.114048|z:1.278467)|Rot(x:76.84892|y:270|z:0),Pos(x:-0.3669261|y:1.120355|z:1.278467)|Rot(x:49.6174|y:90|z:180),Pos(x:-0.3884832|y:1.10202|z:1.278467)|Rot(x:49.61745|y:89.99993|z:179.9999),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:9.844048|y:267.6616|z:1.521904),Pos(x:-0.3355373|y:1.10661|z:1.301072)|Rot(x:56.36968|y:269.6567|z:2.708169),Pos(x:-0.3574399|y:1.121184|z:1.299695)|Rot(x:75.39188|y:143.6162|z:235.1181),Pos(x:-0.3829481|y:1.117463|z:1.298635)|Rot(x:75.39185|y:143.6163|z:235.1182),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:9.898425|y:266.1032|z:358.7553),Pos(x:-0.3413531|y:1.093574|z:1.323429)|Rot(x:56.37765|y:269.4283|z:0.7338055),Pos(x:-0.3566591|y:1.103754|z:1.32304)|Rot(x:79.12151|y:48.13333|z:138.7998),Pos(x:-0.3756644|y:1.101027|z:1.32299)|Rot(x:79.12151|y:48.13361|z:138.8001)
hyunwook,1,0,0,0.68,0.84,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:330.7867|y:72.83641|z:355.6844),Pos(x:-0.3827383|y:1.038327|z:1.243584)|Rot(x:340.7614|y:73.44967|z:10.74175),Pos(x:-0.4005563|y:1.083808|z:1.247822)|Rot(x:0.5467308|y:83.71753|z:43.84658),Pos(x:-0.4025218|y:1.104361|z:1.267468)|Rot(x:0.5467171|y:83.71755|z:43.84656),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:10.79892|y:273.8561|z:357.4573),Pos(x:-0.3352413|y:1.110239|z:1.253816)|Rot(x:58.14577|y:270.3073|z:355.2636),Pos(x:-0.357201|y:1.123891|z:1.256077)|Rot(x:78.80589|y:107.0662|z:192.972),Pos(x:-0.3835557|y:1.118802|z:1.257851)|Rot(x:78.80583|y:107.0663|z:192.9721),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:15.91342|y:270|z:0),Pos(x:-0.3386499|y:1.114432|z:1.278467)|Rot(x:72.35246|y:270|z:0),Pos(x:-0.365065|y:1.122835|z:1.278467)|Rot(x:56.85236|y:90|z:180),Pos(x:-0.3887596|y:1.107361|z:1.278467)|Rot(x:56.85241|y:89.99991|z:179.9999),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:10.99696|y:267.6928|z:1.527541),Pos(x:-0.3364578|y:1.106441|z:1.301034)|Rot(x:58.91284|y:269.8896|z:2.904976),Pos(x:-0.358987|y:1.120026|z:1.299656)|Rot(x:72.99293|y:133.2647|z:224.2612),Pos(x:-0.3841947|y:1.114622|z:1.298653)|Rot(x:72.99292|y:133.2647|z:224.2612),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:11.05062|y:266.1552|z:358.7647),Pos(x:-0.3421306|y:1.09343|z:1.323376)|Rot(x:58.91542|y:269.8163|z:1.061634),Pos(x:-0.3578728|y:1.102921|z:1.322985)|Rot(x:75.91961|y:57.60394|z:148.3253),Pos(x:-0.3766568|y:1.098946|z:1.323006)|Rot(x:75.91958|y:57.60426|z:148.3255)
hyunwook,0.89,0,0,0.17,0.54,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:341.5535|y:65.70104|z:353.9736),Pos(x:-0.3739909|y:1.041534|z:1.24316)|Rot(x:349.4321|y:65.70074|z:6.022242),Pos(x:-0.384258|y:1.089467|z:1.244168)|Rot(x:6.026062|y:71.57088|z:33.06979),Pos(x:-0.3867955|y:1.113218|z:1.259715)|Rot(x:6.026046|y:71.57092|z:33.06978),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:0.1695658|y:274.3255|z:357.5024),Pos(x:-0.3266195|y:1.111069|z:1.253199)|Rot(x:23.42896|y:273.2498|z:357.2778),Pos(x:-0.3368418|y:1.134858|z:1.255014)|Rot(x:44.35382|y:271.8887|z:356.506),Pos(x:-0.3555481|y:1.154057|z:1.257271)|Rot(x:44.35387|y:271.8886|z:356.5059),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:4.522124|y:270|z:0),Pos(x:-0.3283349|y:1.116291|z:1.278467)|Rot(x:36.6724|y:270|z:0),Pos(x:-0.3448902|y:1.138524|z:1.278467)|Rot(x:65.60768|y:270|z:0),Pos(x:-0.3706641|y:1.150211|z:1.278467)|Rot(x:65.60763|y:270.0001|z:9.923196E-05),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:0.3796419|y:267.4113|z:1.499518),Pos(x:-0.3278939|y:1.107295|z:1.301401)|Rot(x:29.01103|y:268.2331|z:1.714696),Pos(x:-0.3406342|y:1.130323|z:1.300219)|Rot(x:53.14538|y:246.4978|z:343.8912),Pos(x:-0.3616771|y:1.14519|z:1.298874)|Rot(x:53.14538|y:246.4978|z:343.8912),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:0.4398365|y:265.6863|z:358.7176),Pos(x:-0.3348977|y:1.094159|z:1.323892)|Rot(x:29.05214|y:267.0556|z:359.0773),Pos(x:-0.3438284|y:1.11023|z:1.323729)|Rot(x:54.53184|y:276.3605|z:6.389056),Pos(x:-0.3595096|y:1.121302|z:1.323327)|Rot(x:54.5319|y:276.3605|z:6.389015)
hyunwook,0.1,0.07,0,0,0.08,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:341.7376|y:68.1981|z:5.294594),Pos(x:-0.377521|y:1.041631|z:1.251721)|Rot(x:358.4559|y:73.83852|z:31.62402),Pos(x:-0.3857575|y:1.083365|z:1.2761)|Rot(x:14.79473|y:108.5635|z:99.20376),Pos(x:-0.3779047|y:1.078958|z:1.30314)|Rot(x:14.7947|y:108.5635|z:99.20374),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:25.89949|y:273.1193|z:357.2233),Pos(x:-0.3469126|y:1.106361|z:1.254531)|Rot(x:81.81732|y:111.9917|z:197.829),Pos(x:-0.3725668|y:1.102844|z:1.25632)|Rot(x:17.50636|y:95.12121|z:182.619),Pos(x:-0.3807276|y:1.077217|z:1.255818)|Rot(x:17.50632|y:95.12127|z:182.619),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:28.14046|y:270|z:0),Pos(x:-0.3490764|y:1.110213|z:1.278467)|Rot(x:70.98634|y:90|z:180),Pos(x:-0.3752836|y:1.101182|z:1.278467)|Rot(x:358.2004|y:90|z:180),Pos(x:-0.3743948|y:1.072896|z:1.278467)|Rot(x:358.2005|y:89.99996|z:180),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:26.07292|y:268.1353|z:1.669414),Pos(x:-0.3480307|y:1.102558|z:1.300611)|Rot(x:76.6625|y:81.06218|z:173.4866),Pos(x:-0.373654|y:1.09652|z:1.299606)|Rot(x:7.43832|y:100.9059|z:180.2519),Pos(x:-0.3769552|y:1.070937|z:1.300127)|Rot(x:7.438319|y:100.9059|z:180.2519),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:26.1163|y:266.8925|z:359.0017),Pos(x:-0.3519074|y:1.090137|z:1.322779)|Rot(x:76.45703|y:75.23393|z:165.4951),Pos(x:-0.3698148|y:1.085968|z:1.322821)|Rot(x:6.75068|y:81.20447|z:173.1978),Pos(x:-0.3723772|y:1.067036|z:1.324726)|Rot(x:6.750645|y:81.20451|z:173.1978)
hyunwook,0,0,0,0,0.02,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:344.381|y:59.81902|z:331.5646),Pos(x:-0.3617698|y:1.037297|z:1.229746)|Rot(x:345.8196|y:59.05707|z:334.2239),Pos(x:-0.3600836|y:1.080103|z:1.205898)|Rot(x:349.1697|y:57.61154|z:340.0812),Pos(x:-0.3591341|y:1.106421|z:1.195002)|Rot(x:349.1697|y:57.61157|z:340.0812),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:333.6241|y:275.5723|z:357.2119),Pos(x:-0.3057326|y:1.106189|z:1.251403)|Rot(x:338.4167|y:275.3216|z:357.3139),Pos(x:-0.2961233|y:1.130298|z:1.251729)|Rot(x:342.7302|y:275.1099|z:357.3844),Pos(x:-0.2880682|y:1.155959|z:1.252242)|Rot(x:342.7303|y:275.1098|z:357.3844),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:341.6193|y:270|z:0),Pos(x:-0.3075205|y:1.113761|z:1.278467)|Rot(x:358.1656|y:270|z:0),Pos(x:-0.3066332|y:1.141467|z:1.278467)|Rot(x:13.05728|y:270|z:0),Pos(x:-0.3130269|y:1.169035|z:1.278467)|Rot(x:13.05723|y:270.0001|z:1.577581E-05),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:345.1241|y:267.0029|z:1.551497),Pos(x:-0.3156487|y:1.105735|z:1.301997)|Rot(x:6.58514|y:267.5745|z:1.509442),Pos(x:-0.3186367|y:1.131897|z:1.301176)|Rot(x:25.51341|y:253.0516|z:355.0959),Pos(x:-0.3298707|y:1.155096|z:1.300058)|Rot(x:25.51341|y:253.0516|z:355.0959),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:345.1938|y:265.0065|z:358.8034),Pos(x:-0.3245581|y:1.092852|z:1.324733)|Rot(x:6.641551|y:265.9581|z:358.7344),Pos(x:-0.3267075|y:1.11111|z:1.324988)|Rot(x:25.94264|y:271.4897|z:1.013773),Pos(x:-0.3351116|y:1.128373|z:1.324867)|Rot(x:25.94268|y:271.4896|z:1.013739)
hyunwook,0.1,0.07,0.1,0.1,0.08,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:334.0397|y:73.79704|z:11.85479),Pos(x:-0.3838765|y:1.038748|z:1.256461)|Rot(x:353.0925|y:83.88673|z:42.33398),Pos(x:-0.3917272|y:1.074729|z:1.288828)|Rot(x:1.005628|y:128.4185|z:118.5092),Pos(x:-0.3763518|y:1.061128|z:1.308598)|Rot(x:1.005597|y:128.4185|z:118.5092),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:16.66584|y:273.5847|z:357.3928),Pos(x:-0.3398923|y:1.1091|z:1.254118)|Rot(x:81.17265|y:258.0204|z:343.5025),Pos(x:-0.3654792|y:1.112919|z:1.256224)|Rot(x:40.0599|y:96.43489|z:183.264),Pos(x:-0.3828264|y:1.092364|z:1.256639)|Rot(x:40.05984|y:96.43496|z:183.264),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:16.89195|y:270|z:0),Pos(x:-0.3395151|y:1.114177|z:1.278467)|Rot(x:82.61269|y:270|z:0),Pos(x:-0.3670045|y:1.117741|z:1.278467)|Rot(x:38.23878|y:90|z:180),Pos(x:-0.3845205|y:1.095513|z:1.278467)|Rot(x:38.23882|y:89.99994|z:180),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:16.06059|y:267.8331|z:1.560405),Pos(x:-0.3404535|y:1.105479|z:1.300878)|Rot(x:80.38608|y:276.2913|z:9.014507),Pos(x:-0.3664048|y:1.109824|z:1.299586)|Rot(x:40.54686|y:104.0676|z:189.8623),Pos(x:-0.3835073|y:1.090509|z:1.299316)|Rot(x:40.54686|y:104.0677|z:189.8623),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:16.11098|y:266.389|z:358.8197),Pos(x:-0.3455059|y:1.092613|z:1.323156)|Rot(x:80.24107|y:280.3586|z:11.11753),Pos(x:-0.3636336|y:1.095671|z:1.322865)|Rot(x:40.7551|y:78.03406|z:169.3206),Pos(x:-0.3764209|y:1.081379|z:1.323792)|Rot(x:40.75506|y:78.03411|z:169.3206)
hyunwook,0.1,0.07,0.1,0.1,0.09,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:334.009|y:73.90076|z:12.28692),Pos(x:-0.3839509|y:1.038675|z:1.256812)|Rot(x:353.179|y:84.30714|z:43.07831),Pos(x:-0.3915051|y:1.074234|z:1.289712)|Rot(x:0.2680654|y:129.431|z:119.9671),Pos(x:-0.3758748|y:1.059999|z:1.308825)|Rot(x:0.268033|y:129.431|z:119.9671),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:17.37616|y:273.5508|z:357.3829),Pos(x:-0.3404469|y:1.10893|z:1.254153)|Rot(x:80.44766|y:259.31|z:344.7756),Pos(x:-0.3659804|y:1.113086|z:1.256269)|Rot(x:42.1282|y:96.5939|z:183.3685),Pos(x:-0.3840559|y:1.09317|z:1.256768)|Rot(x:42.12815|y:96.59394|z:183.3686),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:17.22371|y:270|z:0),Pos(x:-0.3398074|y:1.114087|z:1.278467)|Rot(x:81.55724|y:270|z:0),Pos(x:-0.3672265|y:1.118157|z:1.278467)|Rot(x:40.54263|y:90|z:180),Pos(x:-0.3856219|y:1.096651|z:1.278467)|Rot(x:40.54267|y:89.99994|z:180),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:16.40054|y:267.8428|z:1.563096),Pos(x:-0.3407185|y:1.105401|z:1.300868)|Rot(x:79.2778|y:275.3475|z:8.085543),Pos(x:-0.3665793|y:1.110254|z:1.299567)|Rot(x:42.87569|y:104.6367|z:190.8131),Pos(x:-0.3844857|y:1.091683|z:1.299241)|Rot(x:42.8757|y:104.6367|z:190.8131),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:16.4507|y:266.4051|z:358.8242),Pos(x:-0.3457297|y:1.092547|z:1.323142)|Rot(x:79.15426|y:278.8272|z:9.610823),Pos(x:-0.3637942|y:1.095958|z:1.322841)|Rot(x:43.16547|y:77.62963|z:168.8746),Pos(x:-0.3771767|y:1.082217|z:1.323698)|Rot(x:43.16542|y:77.6297|z:168.8746)
hyunwook,0,0,0,0,0.01,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:345.4072|y:58.98443|z:331.2984),Pos(x:-0.3607449|y:1.037383|z:1.229974)|Rot(x:346.9116|y:58.18423|z:334.0708),Pos(x:-0.3579275|y:1.080332|z:1.206492)|Rot(x:350.4207|y:56.67453|z:340.1765),Pos(x:-0.3563456|y:1.106769|z:1.195965)|Rot(x:350.4207|y:56.67456|z:340.1765),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:342.6209|y:275.1151|z:357.3828),Pos(x:-0.3125273|y:1.108929|z:1.252038)|Rot(x:352.2073|y:274.6749|z:357.4791),Pos(x:-0.30893|y:1.134621|z:1.252889)|Rot(x:0.8354247|y:274.2964|z:357.5021),Pos(x:-0.309233|y:1.161492|z:1.254087)|Rot(x:0.8354815|y:274.2964|z:357.5021),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:346.0044|y:270|z:0),Pos(x:-0.3114008|y:1.114888|z:1.278467)|Rot(x:5.845367|y:270|z:0),Pos(x:-0.3142238|y:1.142463|z:1.278467)|Rot(x:23.70221|y:270|z:0),Pos(x:-0.3255999|y:1.168376|z:1.278467)|Rot(x:23.70217|y:270.0001|z:2.424308E-05),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:345.9218|y:267.0252|z:1.54593),Pos(x:-0.3162754|y:1.105897|z:1.301964)|Rot(x:5.618113|y:267.5489|z:1.506723),Pos(x:-0.3188215|y:1.132106|z:1.301162)|Rot(x:23.03661|y:253.2682|z:355.7854),Pos(x:-0.3290099|y:1.155784|z:1.300079)|Rot(x:23.0366|y:253.2682|z:355.7854),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:345.991|y:265.0436|z:358.7941),Pos(x:-0.3250872|y:1.092988|z:1.324687)|Rot(x:5.675113|y:265.9155|z:358.7298),Pos(x:-0.3269294|y:1.11128|z:1.324964)|Rot(x:23.40153|y:271.2615|z:0.7342536),Pos(x:-0.334558|y:1.128899|z:1.324885)|Rot(x:23.40158|y:271.2615|z:0.7342342)
hyunwook,0.03,0,0,0.01,0.02,Pos(x:-0.3632945|y:1.000109|z:1.253047)|Rot(x:337.7964|y:67.33267|z:350.2214),Pos(x:-0.3755102|y:1.040174|z:1.239864)|Rot(x:349.6664|y:67.19431|z:8.493922),Pos(x:-0.3863358|y:1.08788|z:1.243168)|Rot(x:12.61907|y:80.00865|z:50.37706),Pos(x:-0.386234|y:1.105616|z:1.265476)|Rot(x:12.61905|y:80.00869|z:50.37706),Pos(x:-0.3266354|y:1.064284|z:1.251154)|Rot(x:348.9351|y:274.8216|z:357.455),Pos(x:-0.3175136|y:1.110198|z:1.252471)|Rot(x:26.31555|y:273.0967|z:357.2134),Pos(x:-0.3289217|y:1.133436|z:1.254352)|Rot(x:59.92453|y:270.0132|z:355.0114),Pos(x:-0.3521113|y:1.146866|z:1.256696)|Rot(x:59.92458|y:270.013|z:355.0113),Pos(x:-0.3241715|y:1.06365|z:1.278467)|Rot(x:352.7799|y:270|z:0),Pos(x:-0.317535|y:1.116037|z:1.278467)|Rot(x:33.70547|y:270|z:0),Pos(x:-0.3329172|y:1.139096|z:1.278467)|Rot(x:70.53842|y:270|z:0),Pos(x:-0.3596003|y:1.148525|z:1.278467)|Rot(x:70.5384|y:270.0001|z:0.0001332519),Pos(x:-0.3276409|y:1.060775|z:1.302631)|Rot(x:355.9362|y:267.2948|z:1.503263),Pos(x:-0.3242902|y:1.107179|z:1.301567)|Rot(x:42.52388|y:268.7769|z:2.034777),Pos(x:-0.342061|y:1.126582|z:1.300252)|Rot(x:76.74223|y:201.4246|z:294.7513),Pos(x:-0.3677124|y:1.129059|z:1.299023)|Rot(x:76.74219|y:201.4246|z:294.7513),Pos(x:-0.3345293|y:1.054713|z:1.323034)|Rot(x:355.9991|y:265.4923|z:358.7236),Pos(x:-0.3318546|y:1.094065|z:1.324127)|Rot(x:42.55232|y:267.962|z:359.6113),Pos(x:-0.3442848|y:1.107609|z:1.323809)|Rot(x:81.5894|y:317.6877|z:48.15651),Pos(x:-0.3633914|y:1.109482|z:1.32355)|Rot(x:81.58936|y:317.6877|z:48.15655)
