name,perception,maxforce,result,rendering,timestamp,Sequence
jaeho_S_1,2,0.1,0.5,0.04,2024-09-28 10:08:43,1
jaeho_S_1,3,0.3,0.3,0.04,2024-09-28 10:08:57,1
jaeho_S_1,4,0.5,1.0,0.04,2024-09-28 10:09:07,1
jaeho_S_1,3,0.3,1.0,0.04,2024-09-28 10:09:17,1
jaeho_S_1,2,0.1,0.1,0.04,2024-09-28 10:09:22,1
jaeho_S_1,3,0.3,0.5,0.04,2024-09-28 10:09:34,1
jaeho_S_1,3,0.3,0.3,0.04,2024-09-28 10:09:46,1
jaeho_S_1,2,0.1,0.1,0.04,2024-09-28 10:09:51,1
jaeho_S_1,1,0.0,0.0,0.04,2024-09-28 10:09:55,1
jaeho_S_1,4,0.5,0.3,0.04,2024-09-28 10:10:06,1
jaeho_S_1,1,0.0,0.0,0.04,2024-09-28 10:10:10,1
jaeho_S_1,1,0.0,0.0,0.04,2024-09-28 10:10:15,1
jaeho_S_1,2,0.1,0.1,0.04,2024-09-28 10:10:20,1
jaeho_S_1,5,1.0,1.0,0.04,2024-09-28 10:10:29,1
jaeho_S_1,1,0.0,0.0,0.04,2024-09-28 10:10:32,1
jaeho_S_1,1,0.0,0.0,0.04,2024-09-28 10:10:35,1
jaeho_S_1,2,0.1,0.3,0.04,2024-09-28 10:10:41,1
jaeho_S_1,4,0.5,0.5,0.04,2024-09-28 10:10:51,1
jaeho_S_1,5,1.0,1.0,0.04,2024-09-28 10:10:56,1
jaeho_S_1,5,1.0,1.0,0.04,2024-09-28 10:11:02,1
jaeho_S_1,2,0.1,0.1,0.04,2024-09-28 10:11:07,1
jaeho_S_1,4,0.5,0.5,0.04,2024-09-28 10:11:17,1
jaeho_S_1,2,0.1,0.1,0.04,2024-09-28 10:11:22,1
jaeho_S_1,2,0.1,0.3,0.04,2024-09-28 10:11:35,1
jaeho_S_1,3,0.3,0.5,0.04,2024-09-28 10:11:45,1
