name,perception,maxforce,result,rendering,timestamp,Sequence
jaewan_I_2,5,1.0,0.5,0.0,2024-09-25 15:18:45,1
jaewan_I_2,5,1.0,0.5,0.0,2024-09-25 15:18:49,1
jaewan_I_2,3,0.3,0.3,0.0,2024-09-25 15:18:54,1
jaewan_I_2,3,0.3,0.1,0.0,2024-09-25 15:19:02,1
jaewan_I_2,2,0.1,0.1,0.0,2024-09-25 15:19:06,1
jaewan_I_2,4,0.5,1.0,0.0,2024-09-25 15:19:11,1
jaewan_I_2,5,1.0,1.0,0.0,2024-09-25 15:19:17,1
jaewan_I_2,1,0.0,0.0,0.0,2024-09-25 15:19:21,1
jaewan_I_2,5,1.0,1.0,0.0,2024-09-25 15:19:26,1
jaewan_I_2,4,0.5,1.0,0.0,2024-09-25 15:19:37,1
jaewan_I_2,4,0.5,0.5,0.0,2024-09-25 15:19:44,1
jaewan_I_2,4,0.5,1.0,0.0,2024-09-25 15:19:53,1
jaewan_I_2,3,0.3,0.3,0.0,2024-09-25 15:19:59,1
jaewan_I_2,1,0.0,0.0,0.0,2024-09-25 15:20:03,1
jaewan_I_2,2,0.1,0.1,0.0,2024-09-25 15:20:07,1
jaewan_I_2,1,0.0,0.0,0.0,2024-09-25 15:20:10,1
jaewan_I_2,2,0.1,0.1,0.0,2024-09-25 15:20:14,1
jaewan_I_2,5,1.0,0.5,0.0,2024-09-25 15:20:30,1
jaewan_I_2,1,0.0,0.0,0.0,2024-09-25 15:20:36,1
jaewan_I_2,4,0.5,0.3,0.0,2024-09-25 15:20:41,1
jaewan_I_2,2,0.1,0.1,0.0,2024-09-25 15:20:47,1
jaewan_I_2,1,0.0,0.0,0.0,2024-09-25 15:20:57,1
jaewan_I_2,3,0.3,0.3,0.0,2024-09-25 15:21:03,1
jaewan_I_2,3,0.3,0.3,0.0,2024-09-25 15:21:08,1
jaewan_I_2,4,0.5,0.5,0.0,2024-09-25 15:21:18,1
