name,perception,maxforce,result,rendering,Sequence,timestamp
minho_I_4,1,0.0,0.0,0.0,1,2024-09-12 17:04:25
minho_I_4,1,0.0,0.0,0.0,1,2024-09-12 17:04:30
minho_I_4,3,0.3,0.5,0.0,1,2024-09-12 17:04:52
minho_I_4,5,1.0,1.0,0.0,1,2024-09-12 17:05:09
minho_I_4,1,0.0,0.0,0.0,1,2024-09-12 17:05:30
minho_I_4,4,0.5,1.0,0.0,1,2024-09-12 17:06:45
minho_I_4,2,0.1,0.5,0.0,1,2024-09-12 17:06:52
minho_I_4,1,0.0,0.0,0.0,1,2024-09-12 17:06:57
minho_I_4,3,0.3,1.0,0.0,1,2024-09-12 17:07:11
minho_I_4,1,0.0,0.1,0.0,1,2024-09-12 17:07:18
minho_I_4,2,0.1,0.1,0.0,1,2024-09-12 17:07:29
minho_I_4,3,0.3,0.5,0.0,1,2024-09-12 17:07:37
minho_I_4,2,0.1,0.3,0.0,1,2024-09-12 17:07:48
minho_I_4,2,0.1,0.3,0.0,1,2024-09-12 17:07:59
minho_I_4,4,0.5,0.5,0.0,1,2024-09-12 17:08:07
minho_I_4,5,1.0,1.0,0.0,1,2024-09-12 17:08:16
minho_I_4,1,0.0,0.0,0.0,1,2024-09-12 17:08:22
minho_I_4,3,0.3,0.3,0.0,1,2024-09-12 17:08:37
minho_I_4,4,0.5,1.0,0.0,1,2024-09-12 17:08:53
minho_I_4,3,0.3,0.5,0.0,1,2024-09-12 17:09:07
minho_I_4,2,0.1,0.1,0.0,1,2024-09-12 17:09:14
minho_I_4,2,0.1,0.3,0.0,1,2024-09-12 17:09:25
minho_I_4,1,0.0,0.1,0.0,1,2024-09-12 17:09:30
minho_I_4,2,0.1,0.1,0.0,1,2024-09-12 17:09:38
minho_I_4,3,0.3,0.3,0.0,1,2024-09-12 17:09:50
