name,perception,maxforce,result,rendering,Sequence,timestamp
minho_S_2,5,1.0,1.0,0.04,2,2024-09-12 17:42:02
minho_S_2,2,0.1,0.1,0.04,2,2024-09-12 17:42:07
minho_S_2,2,0.1,0.1,0.04,2,2024-09-12 17:42:16
minho_S_2,3,0.3,0.5,0.04,2,2024-09-12 17:42:21
minho_S_2,4,0.5,0.5,0.04,2,2024-09-12 17:42:33
minho_S_2,5,1.0,1.0,0.04,2,2024-09-12 17:42:38
minho_S_2,1,0.0,0.0,0.04,2,2024-09-12 17:42:42
minho_S_2,3,0.3,0.3,0.04,2,2024-09-12 17:43:03
minho_S_2,2,0.1,0.1,0.04,2,2024-09-12 17:43:10
minho_S_2,5,1.0,1.0,0.04,2,2024-09-12 17:43:14
minho_S_2,3,0.3,0.3,0.04,2,2024-09-12 17:43:37
minho_S_2,1,0.0,0.0,0.04,2,2024-09-12 17:43:42
minho_S_2,3,0.3,0.5,0.04,2,2024-09-12 17:43:55
minho_S_2,2,0.1,0.1,0.04,2,2024-09-12 17:44:03
minho_S_2,2,0.1,0.1,0.04,2,2024-09-12 17:44:18
minho_S_2,5,1.0,1.0,0.04,2,2024-09-12 17:44:31
minho_S_2,3,0.3,0.3,0.04,2,2024-09-12 17:44:39
minho_S_2,1,0.0,0.0,0.04,2,2024-09-12 17:44:44
minho_S_2,1,0.0,0.0,0.04,2,2024-09-12 17:45:03
minho_S_2,5,1.0,1.0,0.04,2,2024-09-12 17:45:09
minho_S_2,1,0.0,0.0,0.04,2,2024-09-12 17:45:15
minho_S_2,4,0.5,0.5,0.04,2,2024-09-12 17:45:29
minho_S_2,2,0.1,0.3,0.04,2,2024-09-12 17:45:37
minho_S_2,3,0.3,0.3,0.04,2,2024-09-12 17:45:50
minho_S_2,4,0.5,0.5,0.04,2,2024-09-12 17:45:58
