name,perception,maxforce,result,rendering,Sequence,timestamp
nayoung_I_2,1,0.0,0.0,0.0,1,2024-09-19 16:39:00
nayoung_I_2,5,1.0,0.5,0.0,1,2024-09-19 16:39:07
nayoung_I_2,3,0.3,0.1,0.0,1,2024-09-19 16:39:12
nayoung_I_2,3,0.3,0.1,0.0,1,2024-09-19 16:39:16
nayoung_I_2,3,0.3,0.1,0.0,1,2024-09-19 16:39:21
nayoung_I_2,4,0.5,0.3,0.0,1,2024-09-19 16:39:26
nayoung_I_2,4,0.5,0.3,0.0,1,2024-09-19 16:39:34
nayoung_I_2,5,1.0,1.0,0.0,1,2024-09-19 16:39:40
nayoung_I_2,1,0.0,0.0,0.0,1,2024-09-19 16:39:44
nayoung_I_2,5,1.0,0.5,0.0,1,2024-09-19 16:39:50
nayoung_I_2,5,1.0,1.0,0.0,1,2024-09-19 16:39:55
nayoung_I_2,5,1.0,0.5,0.0,1,2024-09-19 16:40:02
nayoung_I_2,1,0.0,0.0,0.0,1,2024-09-19 16:40:07
nayoung_I_2,4,0.5,0.5,0.0,1,2024-09-19 16:40:11
nayoung_I_2,3,0.3,0.1,0.0,1,2024-09-19 16:40:16
nayoung_I_2,3,0.3,0.3,0.0,1,2024-09-19 16:40:22
nayoung_I_2,5,1.0,1.0,0.0,1,2024-09-19 16:40:27
nayoung_I_2,4,0.5,0.3,0.0,1,2024-09-19 16:40:32
nayoung_I_2,5,1.0,0.5,0.0,1,2024-09-19 16:40:40
nayoung_I_2,5,1.0,1.0,0.0,1,2024-09-19 16:40:46
nayoung_I_2,3,0.3,0.1,0.0,1,2024-09-19 16:40:51
nayoung_I_2,5,1.0,1.0,0.0,1,2024-09-19 16:40:57
nayoung_I_2,1,0.0,0.0,0.0,1,2024-09-19 16:41:01
nayoung_I_2,3,0.3,0.3,0.0,1,2024-09-19 16:41:06
nayoung_I_2,2,0.1,0.0,0.0,1,2024-09-19 16:41:11
