name,perception,maxforce,result,rendering,Sequence,timestamp
seongjun_S_1,2,0.1,0.3,0.04,2,2024-09-27 18:35:26
seongjun_S_1,4,0.5,1.0,0.04,2,2024-09-27 18:35:37
seongjun_S_1,2,0.1,0.3,0.04,2,2024-09-27 18:35:46
seongjun_S_1,3,0.3,0.5,0.04,2,2024-09-27 18:36:01
seongjun_S_1,5,1.0,1.0,0.04,2,2024-09-27 18:36:09
seongjun_S_1,2,0.1,0.1,0.04,2,2024-09-27 18:36:15
seongjun_S_1,1,0.0,0.0,0.04,2,2024-09-27 18:36:18
seongjun_S_1,3,0.3,0.5,0.04,2,2024-09-27 18:36:39
seongjun_S_1,2,0.1,0.1,0.04,2,2024-09-27 18:36:51
seongjun_S_1,1,0.0,0.0,0.04,2,2024-09-27 18:36:55
seongjun_S_1,3,0.3,0.3,0.04,2,2024-09-27 18:37:10
seongjun_S_1,1,0.0,0.0,0.04,2,2024-09-27 18:37:13
seongjun_S_1,5,1.0,0.5,0.04,2,2024-09-27 18:37:23
seongjun_S_1,4,0.5,0.5,0.04,2,2024-09-27 18:37:30
seongjun_S_1,5,1.0,1.0,0.04,2,2024-09-27 18:37:35
seongjun_S_1,5,1.0,1.0,0.04,2,2024-09-27 18:37:40
seongjun_S_1,2,0.1,0.1,0.04,2,2024-09-27 18:38:13
seongjun_S_1,5,1.0,1.0,0.04,2,2024-09-27 18:38:19
seongjun_S_1,2,0.1,0.1,0.04,2,2024-09-27 18:38:26
seongjun_S_1,3,0.3,0.3,0.04,2,2024-09-27 18:38:37
seongjun_S_1,1,0.0,0.0,0.04,2,2024-09-27 18:38:40
seongjun_S_1,2,0.1,0.1,0.04,2,2024-09-27 18:38:47
seongjun_S_1,1,0.0,0.0,0.04,2,2024-09-27 18:38:50
seongjun_S_1,4,0.5,0.5,0.04,2,2024-09-27 18:39:09
seongjun_S_1,3,0.3,0.3,0.04,2,2024-09-27 18:39:34
