name,perception,maxforce,result,rendering,timestamp
seoyeong_S_4,2,0.1,0.1,0.04,2024-09-25 13:09:29
seoyeong_S_4,4,0.5,0.5,0.04,2024-09-25 13:09:36
seoyeong_S_4,3,0.3,0.5,0.04,2024-09-25 13:09:44
seoyeong_S_4,5,1.0,1.0,0.04,2024-09-25 13:09:48
seoyeong_S_4,2,0.1,0.1,0.04,2024-09-25 13:09:54
seoyeong_S_4,5,1.0,1.0,0.04,2024-09-25 13:09:59
seoyeong_S_4,4,0.5,0.5,0.04,2024-09-25 13:10:03
seoyeong_S_4,1,0.0,0.0,0.04,2024-09-25 13:10:07
seoyeong_S_4,2,0.1,0.3,0.04,2024-09-25 13:10:11
seoyeong_S_4,2,0.1,0.3,0.04,2024-09-25 13:10:18
seoyeong_S_4,3,0.3,0.5,0.04,2024-09-25 13:10:26
seoyeong_S_4,1,0.0,0.0,0.04,2024-09-25 13:10:29
seoyeong_S_4,1,0.0,0.0,0.04,2024-09-25 13:10:34
seoyeong_S_4,1,0.0,0.0,0.04,2024-09-25 13:10:39
seoyeong_S_4,2,0.1,0.1,0.04,2024-09-25 13:10:43
seoyeong_S_4,3,0.3,0.3,0.04,2024-09-25 13:10:48
seoyeong_S_4,3,0.3,0.3,0.04,2024-09-25 13:10:53
seoyeong_S_4,5,1.0,1.0,0.04,2024-09-25 13:11:02
seoyeong_S_4,5,1.0,1.0,0.04,2024-09-25 13:11:07
seoyeong_S_4,1,0.0,0.0,0.04,2024-09-25 13:11:11
seoyeong_S_4,5,1.0,1.0,0.04,2024-09-25 13:11:21
seoyeong_S_4,2,0.1,0.1,0.04,2024-09-25 13:11:26
seoyeong_S_4,4,0.5,0.5,0.04,2024-09-25 13:11:33
seoyeong_S_4,3,0.3,0.3,0.04,2024-09-25 13:11:40
seoyeong_S_4,2,0.1,0.1,0.04,2024-09-25 13:11:45
