name,perception,maxforce,result,rendering,timestamp,Sequence
taeyoon_S_1,3,0.3,0.3,0.04,2024-09-13 14:08:29,1
taeyoon_S_1,1,0.0,0.0,0.04,2024-09-13 14:08:35,1
taeyoon_S_1,5,1.0,0.5,0.04,2024-09-13 14:08:40,1
taeyoon_S_1,5,1.0,0.5,0.04,2024-09-13 14:08:45,1
taeyoon_S_1,5,1.0,0.3,0.04,2024-09-13 14:08:52,1
taeyoon_S_1,4,0.5,0.3,0.04,2024-09-13 14:09:01,1
taeyoon_S_1,1,0.0,0.0,0.04,2024-09-13 14:09:06,1
taeyoon_S_1,2,0.1,0.3,0.04,2024-09-13 14:09:11,1
taeyoon_S_1,3,0.3,0.5,0.04,2024-09-13 14:09:17,1
taeyoon_S_1,3,0.3,0.5,0.04,2024-09-13 14:09:28,1
taeyoon_S_1,4,0.5,1.0,0.04,2024-09-13 14:09:37,1
taeyoon_S_1,5,1.0,1.0,0.04,2024-09-13 14:09:43,1
taeyoon_S_1,3,0.3,0.1,0.04,2024-09-13 14:09:49,1
taeyoon_S_1,4,0.5,0.3,0.04,2024-09-13 14:09:59,1
taeyoon_S_1,1,0.0,0.0,0.04,2024-09-13 14:10:04,1
taeyoon_S_1,2,0.1,1.0,0.04,2024-09-13 14:10:18,1
taeyoon_S_1,2,0.1,1.0,0.04,2024-09-13 14:10:28,1
taeyoon_S_1,3,0.3,0.1,0.04,2024-09-13 14:10:41,1
taeyoon_S_1,4,0.5,0.1,0.04,2024-09-13 14:10:47,1
taeyoon_S_1,4,0.5,0.1,0.04,2024-09-13 14:11:00,1
taeyoon_S_1,3,0.3,0.1,0.04,2024-09-13 14:11:18,1
taeyoon_S_1,5,1.0,1.0,0.04,2024-09-13 14:11:25,1
taeyoon_S_1,5,1.0,0.5,0.04,2024-09-13 14:11:31,1
taeyoon_S_1,1,0.0,0.0,0.04,2024-09-13 14:11:36,1
taeyoon_S_1,1,0.0,0.0,0.04,2024-09-13 14:11:40,1
