name,perception,maxforce,timestamp
minho_S_3,1,0.0,2024-09-12 17:48:05
minho_S_3,2,0.1,2024-09-12 17:48:13
minho_S_3,4,0.5,2024-09-12 17:48:26
minho_S_3,4,0.5,2024-09-12 17:48:40
minho_S_3,5,1.0,2024-09-12 17:48:46
minho_S_3,2,0.1,2024-09-12 17:48:51
minho_S_3,3,0.3,2024-09-12 17:48:57
minho_S_3,1,0.0,2024-09-12 17:49:01
minho_S_3,5,1.0,2024-09-12 17:49:15
minho_S_3,3,0.3,2024-09-12 17:49:43
minho_S_3,4,0.5,2024-09-12 17:50:07
minho_S_3,1,0.0,2024-09-12 17:50:18
minho_S_3,4,0.5,2024-09-12 17:50:28
minho_S_3,5,1.0,2024-09-12 17:50:36
minho_S_3,2,0.1,2024-09-12 17:50:44
minho_S_3,4,0.5,2024-09-12 17:50:52
minho_S_3,1,0.0,2024-09-12 17:50:58
minho_S_3,3,0.3,2024-09-12 17:51:09
minho_S_3,3,0.3,2024-09-12 17:51:25
minho_S_3,3,0.3,2024-09-12 17:51:35
minho_S_3,5,1.0,2024-09-12 17:51:40
minho_S_3,2,0.1,2024-09-12 17:51:54
minho_S_3,4,0.5,2024-09-12 17:52:11
minho_S_3,1,0.0,2024-09-12 17:52:16
minho_S_3,3,0.3,2024-09-12 17:52:26
