name,perception,maxforce,timestamp,result,rendering,Sequence
M5_I_3,1,0.0,2024-10-05 21:59:53,0.0,0.06,2
M5_I_3,5,1.0,2024-10-05 22:00:03,1.0,0.06,2
M5_I_3,3,0.3,2024-10-05 22:00:12,0.5,0.06,2
M5_I_3,1,0.0,2024-10-05 22:00:17,0.0,0.06,2
M5_I_3,1,0.0,2024-10-05 22:00:21,0.0,0.06,2
M5_I_3,3,0.3,2024-10-05 22:00:28,0.3,0.06,2
M5_I_3,3,0.3,2024-10-05 22:00:38,0.1,0.06,2
M5_I_3,4,0.5,2024-10-05 22:00:42,0.5,0.06,2
M5_I_3,3,0.3,2024-10-05 22:01:30,0.3,0.06,2
M5_I_3,3,0.3,2024-10-05 22:01:34,0.5,0.06,2
M5_I_3,2,0.1,2024-10-05 22:01:38,0.1,0.06,2
M5_I_3,5,1.0,2024-10-05 22:01:43,1.0,0.06,2
M5_I_3,3,0.3,2024-10-05 22:01:47,0.3,0.06,2
M5_I_3,2,0.1,2024-10-05 22:01:51,0.1,0.06,2
M5_I_3,5,1.0,2024-10-05 22:01:54,1.0,0.06,2
M5_I_3,2,0.1,2024-10-05 22:01:58,0.1,0.06,2
M5_I_3,4,0.5,2024-10-05 22:02:11,0.5,0.06,2
M5_I_3,5,1.0,2024-10-05 22:02:17,1.0,0.06,2
M5_I_3,5,1.0,2024-10-05 22:02:21,1.0,0.06,2
M5_I_3,1,0.0,2024-10-05 22:02:24,0.0,0.06,2
M5_I_3,2,0.1,2024-10-05 22:02:32,0.1,0.06,2
M5_I_3,4,0.5,2024-10-05 22:02:37,0.5,0.06,2
M5_I_3,1,0.0,2024-10-05 22:02:40,0.0,0.06,2
M5_I_3,3,0.3,2024-10-05 22:02:44,0.3,0.06,2
M5_I_3,3,0.3,2024-10-05 22:03:00,0.3,0.06,2
