name,perception,maxforce,timestamp,result,rendering,Sequence
M6_S_4,4,0.5,2024-10-06 20:26:48,0.5,0.06,1
M6_S_4,4,0.5,2024-10-06 20:27:00,0.3,0.06,1
M6_S_4,3,0.3,2024-10-06 20:27:14,0.3,0.06,1
M6_S_4,2,0.1,2024-10-06 20:27:20,0.1,0.06,1
M6_S_4,3,0.3,2024-10-06 20:27:33,0.1,0.06,1
M6_S_4,1,0.0,2024-10-06 20:27:38,0.0,0.06,1
M6_S_4,1,0.0,2024-10-06 20:27:43,0.0,0.06,1
M6_S_4,4,0.5,2024-10-06 20:27:51,0.5,0.06,1
M6_S_4,5,1.0,2024-10-06 20:27:56,1.0,0.06,1
M6_S_4,5,1.0,2024-10-06 20:28:12,1.0,0.06,1
M6_S_4,5,1.0,2024-10-06 20:28:24,1.0,0.06,1
M6_S_4,2,0.1,2024-10-06 20:28:33,0.1,0.06,1
M6_S_4,1,0.0,2024-10-06 20:28:39,0.0,0.06,1
M6_S_4,1,0.0,2024-10-06 20:28:44,0.0,0.06,1
M6_S_4,1,0.0,2024-10-06 20:28:53,0.0,0.06,1
M6_S_4,4,0.5,2024-10-06 20:29:00,0.5,0.06,1
M6_S_4,3,0.3,2024-10-06 20:29:07,0.1,0.06,1
M6_S_4,3,0.3,2024-10-06 20:29:14,0.1,0.06,1
M6_S_4,3,0.3,2024-10-06 20:29:28,0.3,0.06,1
M6_S_4,5,1.0,2024-10-06 20:29:33,0.5,0.06,1
M6_S_4,5,1.0,2024-10-06 20:29:51,1.0,0.06,1
M6_S_4,4,0.5,2024-10-06 20:29:59,0.3,0.06,1
M6_S_4,3,0.3,2024-10-06 20:30:07,1.0,0.06,1
M6_S_4,2,0.1,2024-10-06 20:30:15,0.3,0.06,1
M6_S_4,5,1.0,2024-10-06 20:30:20,0.5,0.06,1
