Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
F3_1,40.0,38.61,9,9.3,3.8,2024-10-10 19:24:46,0.5,0.0
F3_1,32.0,33.72,9,9.33,4.7,2024-10-10 19:25:15,0.5,0.0
F3_1,40.0,41.06,9,9.94,3.8,2024-10-10 19:25:51,1.0,0.0
F3_1,40.0,40.08,9,9.07,1.7,2024-10-10 19:26:13,0.1,2.0
F3_1,40.0,38.61,9,9.24,3.1,2024-10-10 19:26:39,0.1,0.0
F3_1,32.0,32.26,9,9.62,5.6,2024-10-10 19:27:02,1.0,0.0
F3_1,40.0,40.08,9,9.07,4.1,2024-10-10 19:27:34,1.0,5.0
F3_1,24.0,28.84,9,9.87,3.7,2024-10-10 19:28:07,0.3,3.0
F3_1,32.0,30.79,9,9.76,1.6,2024-10-10 19:28:41,0.1,0.0
F3_1,32.0,31.28,9,9.69,5.1,2024-10-10 19:29:07,0.5,4.0
F3_1,24.0,26.88,9,9.67,5.2,2024-10-10 19:29:31,0.5,4.0
F3_1,24.0,22.48,9,9.26,2.4,2024-10-10 19:30:01,0.3,0.0
F3_1,24.0,26.39,9,9.04,5.2,2024-10-10 19:30:38,1.0,5.0
F3_1,40.0,37.63,9,9.13,4.2,2024-10-10 19:31:08,0.5,4.0
F3_1,24.0,30.3,9,9.48,2.7,2024-10-10 19:31:54,0.5,0.0
F3_1,40.0,38.61,9,10.0,3.7,2024-10-10 19:32:32,0.3,3.0
F3_1,24.0,29.33,9,9.45,3.8,2024-10-10 19:33:01,1.0,0.0
F3_1,32.0,28.35,9,9.16,2.1,2024-10-10 19:33:28,0.1,2.0
F3_1,32.0,31.77,9,9.11,6,2024-10-10 19:33:57,1.0,5.0
F3_1,32.0,31.28,9,9.03,2.4,2024-10-10 19:34:18,0.3,0.0
F3_1,40.0,40.08,9,9.04,2.8,2024-10-10 19:34:39,0.3,0.0
F3_1,40.0,40.57,9,9.7,0,2024-10-10 19:34:58,0.0,0.0
F3_1,32.0,35.19,9,9.32,3.4,2024-10-10 19:35:25,0.3,3.0
F3_1,24.0,24.44,9,9.45,0,2024-10-10 19:35:42,0.0,0.0
F3_1,32.0,28.84,9,9.14,0,2024-10-10 19:36:03,0.0,0.0
F3_1,24.0,24.93,9,9.97,1.3,2024-10-10 19:36:26,0.1,0.0
F3_1,24.0,23.46,9,9.44,2.7,2024-10-10 19:36:50,0.1,2.0
