Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
M4_4,24.0,23.46,9,10.21,3.4,2024-10-14 20:46:38,0.5,0.0
M4_4,32.0,28.35,9,9.91,3.8,2024-10-14 20:47:01,0.5,0.0
M4_4,24.0,28.35,9,9.27,4,2024-10-14 20:47:21,0.3,3.0
M4_4,24.0,23.95,9,9.16,0,2024-10-14 20:47:45,0.0,0.0
M4_4,32.0,28.84,9,9.39,2,2024-10-14 20:48:05,0.3,0.0
M4_4,24.0,29.33,9,9.85,1,2024-10-14 20:48:25,0.1,0.0
M4_4,32.0,24.44,9,9.37,3,2024-10-14 20:48:49,0.1,2.0
M4_4,24.0,27.86,9,10.1,8,2024-10-14 20:49:09,1.0,5.0
M4_4,40.0,24.93,9,9.1,4.7,2024-10-14 20:49:35,0.3,3.0
M4_4,40.0,,9,9.25,4.8,2024-10-14 20:50:04,1.0,0.0
M4_4,40.0,,9,10.48,3.6,2024-10-14 20:50:41,0.1,2.0
M4_4,40.0,,9,9.58,0,2024-10-14 20:50:58,0.0,0.0
M4_4,32.0,40.08,9,9.5,0,2024-10-14 20:51:14,0.0,0.0
M4_4,40.0,31.28,9,9.6,3,2024-10-14 20:51:35,0.5,0.0
M4_4,24.0,40.57,9,9.05,3.2,2024-10-14 20:52:03,0.1,2.0
M4_4,24.0,23.95,9,9.15,4.7,2024-10-14 20:52:26,1.0,0.0
M4_4,24.0,23.46,9,10.47,5,2024-10-14 20:52:47,0.5,4.0
M4_4,40.0,26.39,9,10.3,1,2024-10-14 20:53:09,0.1,0.0
M4_4,32.0,37.63,9,9.75,8,2024-10-14 20:53:26,1.0,5.0
M4_4,40.0,30.79,9,10.39,7,2024-10-14 20:53:51,0.5,4.0
M4_4,32.0,34.7,9,9.48,4,2024-10-14 20:54:12,0.3,3.0
M4_4,32.0,31.28,9,9.29,1,2024-10-14 20:54:30,0.1,0.0
M4_4,40.0,31.77,9,9.33,8,2024-10-14 20:54:47,1.0,5.0
M4_4,32.0,39.59,9,9.07,4.7,2024-10-14 20:55:08,0.5,4.0
M4_4,40.0,33.72,9,9.11,2,2024-10-14 20:55:27,0.3,0.0
M4_4,32.0,38.61,9,9.63,4.9,2024-10-14 20:55:54,1.0,0.0
M4_4,24.0,25.9,9,10.44,2,2024-10-14 20:56:15,0.3,0.0
