Name,Setpoint,Feedback,Time Stamp,Maxforce,Rendering,Time Interval,Rendering Type
F1_1,24.0,0.8461538461538461,2024-10-10 15:05:10,0.3,3.0,23.0,Stiffness
F1_1,32.0,0.8769230769230769,2024-10-10 15:07:03,0.3,3.0,19.0,Stiffness
F1_1,32.0,0.5692307692307692,2024-10-10 15:07:26,0.1,2.0,23.0,Stiffness
F1_1,40.0,1.0,2024-10-10 15:08:43,0.3,3.0,19.0,Stiffness
F1_1,24.0,0.0307692307692307,2024-10-10 15:09:07,0.0,0.0,24.0,"Impedence, Stiffness"
F1_1,24.0,0.8769230769230769,2024-10-10 15:09:30,0.5,4.0,23.0,Stiffness
F1_1,40.0,0.0,2024-10-10 15:10:17,0.0,0.0,21.0,"Impedence, Stiffness"
F1_1,32.0,0.8923076923076924,2024-10-10 15:10:42,1.0,5.0,25.0,Stiffness
F1_1,40.0,0.8,2024-10-10 15:11:29,0.5,4.0,26.0,Stiffness
F1_1,32.0,0.8461538461538461,2024-10-10 15:11:50,0.5,4.0,21.0,Stiffness
F1_1,24.0,0.8,2024-10-10 15:12:36,1.0,5.0,24.0,Stiffness
F1_1,40.0,0.8615384615384616,2024-10-10 15:13:41,0.1,2.0,20.0,Stiffness
F1_1,24.0,0.7538461538461538,2024-10-10 15:14:10,0.1,2.0,29.0,Stiffness
F1_1,32.0,0.0,2024-10-10 15:14:31,0.0,0.0,21.0,"Impedence, Stiffness"
F1_1,40.0,0.9076923076923076,2024-10-10 15:14:51,1.0,5.0,20.0,Stiffness
F1_2,32.0,0.015625,2024-10-10 15:15:42,0.0,0.0,0.0,"Impedence, Stiffness"
F1_2,32.0,0.875,2024-10-10 15:16:25,0.3,3.0,18.0,Stiffness
F1_2,24.0,0.875,2024-10-10 15:17:11,0.1,2.0,26.0,Stiffness
F1_2,40.0,0.921875,2024-10-10 15:17:31,1.0,5.0,20.0,Stiffness
F1_2,24.0,0.984375,2024-10-10 15:17:53,0.3,3.0,22.0,Stiffness
F1_2,32.0,0.921875,2024-10-10 15:18:22,1.0,5.0,29.0,Stiffness
F1_2,40.0,0.671875,2024-10-10 15:18:47,0.1,2.0,25.0,Stiffness
F1_2,24.0,1.0,2024-10-10 15:19:50,1.0,5.0,19.0,Stiffness
F1_2,32.0,0.9375,2024-10-10 15:20:39,0.5,4.0,27.0,Stiffness
F1_2,32.0,0.609375,2024-10-10 15:21:00,0.1,2.0,21.0,Stiffness
F1_2,40.0,0.921875,2024-10-10 15:21:21,0.5,4.0,21.0,Stiffness
F1_2,40.0,0.0,2024-10-10 15:23:14,0.0,0.0,19.0,"Impedence, Stiffness"
F1_2,40.0,0.875,2024-10-10 15:23:38,0.3,3.0,24.0,Stiffness
F1_2,24.0,0.046875,2024-10-10 15:24:48,0.0,0.0,19.0,"Impedence, Stiffness"
F1_2,24.0,0.90625,2024-10-10 15:25:10,0.5,4.0,22.0,Stiffness
F1_3,24.0,0.9047619047619048,2024-10-10 15:31:54,0.3,3.0,18.0,Stiffness
F1_3,24.0,0.4761904761904761,2024-10-10 15:32:16,0.1,2.0,22.0,Stiffness
F1_3,40.0,0.0,2024-10-10 15:33:40,0.0,0.0,19.0,"Impedence, Stiffness"
F1_3,24.0,0.8888888888888888,2024-10-10 15:34:03,1.0,5.0,23.0,Stiffness
F1_3,40.0,0.9523809523809524,2024-10-10 15:34:24,1.0,5.0,21.0,Stiffness
F1_3,24.0,1.0,2024-10-10 15:34:41,0.5,4.0,17.0,Stiffness
F1_3,32.0,0.0158730158730158,2024-10-10 15:36:35,0.0,0.0,19.0,"Impedence, Stiffness"
F1_3,32.0,0.8571428571428571,2024-10-10 15:36:56,1.0,5.0,21.0,Stiffness
F1_3,32.0,0.8888888888888888,2024-10-10 15:37:21,0.5,4.0,25.0,Stiffness
F1_3,24.0,0.0634920634920634,2024-10-10 15:38:03,0.0,0.0,23.0,"Impedence, Stiffness"
F1_3,40.0,0.9047619047619048,2024-10-10 15:38:31,0.5,4.0,28.0,Stiffness
F1_3,32.0,0.8412698412698413,2024-10-10 15:39:29,0.3,3.0,24.0,Stiffness
F1_3,40.0,0.8888888888888888,2024-10-10 15:40:15,0.3,3.0,24.0,Stiffness
F1_3,32.0,0.6190476190476191,2024-10-10 15:40:42,0.1,2.0,27.0,Stiffness
F1_3,40.0,0.6984126984126984,2024-10-10 15:41:09,0.1,2.0,27.0,Stiffness
F2_1,32.0,0.6666666666666666,2024-10-10 17:10:25,0.5,4.0,0.0,Stiffness
F2_1,24.0,1.0,2024-10-10 17:10:50,1.0,5.0,25.0,Stiffness
F2_1,40.0,0.8333333333333334,2024-10-10 17:11:15,0.3,3.0,25.0,Stiffness
F2_1,32.0,0.1666666666666666,2024-10-10 17:12:39,1.0,5.0,21.0,Stiffness
F2_1,32.0,0.3333333333333333,2024-10-10 17:12:59,0.3,3.0,20.0,Stiffness
F2_1,24.0,0.3333333333333333,2024-10-10 17:14:12,0.1,2.0,25.0,Stiffness
F2_1,32.0,0.1,2024-10-10 17:14:34,0.0,0.0,22.0,"Impedence, Stiffness"
F2_1,24.0,0.1,2024-10-10 17:14:57,0.0,0.0,23.0,"Impedence, Stiffness"
F2_1,40.0,0.0,2024-10-10 17:15:22,0.0,0.0,25.0,"Impedence, Stiffness"
F2_1,40.0,0.5,2024-10-10 17:17:30,0.1,2.0,25.0,Stiffness
F2_1,24.0,0.4333333333333333,2024-10-10 17:17:57,0.5,4.0,27.0,Stiffness
F2_1,40.0,0.3333333333333333,2024-10-10 17:18:16,0.5,4.0,19.0,Stiffness
F2_1,24.0,0.5666666666666668,2024-10-10 17:18:43,0.3,3.0,27.0,Stiffness
F2_1,32.0,0.3333333333333333,2024-10-10 17:19:03,0.1,2.0,20.0,Stiffness
F2_1,40.0,0.0333333333333333,2024-10-10 17:20:29,1.0,5.0,23.0,Stiffness
F2_2,32.0,0.8181818181818181,2024-10-10 17:22:09,0.5,4.0,22.0,Stiffness
F2_2,24.0,0.8181818181818181,2024-10-10 17:22:32,0.3,3.0,23.0,Stiffness
F2_2,32.0,0.8181818181818181,2024-10-10 17:23:44,1.0,5.0,19.0,Stiffness
F2_2,32.0,0.3636363636363636,2024-10-10 17:24:37,0.0,0.0,28.0,"Impedence, Stiffness"
F2_2,40.0,0.5454545454545454,2024-10-10 17:25:20,0.5,4.0,22.0,Stiffness
F2_2,40.0,0.4545454545454545,2024-10-10 17:25:40,0.3,3.0,20.0,Stiffness
F2_2,32.0,1.0,2024-10-10 17:26:05,0.1,2.0,25.0,Stiffness
F2_2,40.0,0.7272727272727272,2024-10-10 17:26:31,1.0,5.0,26.0,Stiffness
F2_2,40.0,0.0909090909090908,2024-10-10 17:26:58,0.0,0.0,27.0,"Impedence, Stiffness"
F2_2,32.0,0.8181818181818181,2024-10-10 17:27:19,0.3,3.0,21.0,Stiffness
F2_2,24.0,0.4545454545454545,2024-10-10 17:27:43,1.0,5.0,24.0,Stiffness
F2_2,24.0,0.5454545454545454,2024-10-10 17:28:05,0.1,2.0,22.0,Stiffness
F2_2,40.0,0.5454545454545454,2024-10-10 17:29:06,0.1,2.0,34.0,Stiffness
F2_2,24.0,0.0,2024-10-10 17:29:30,0.0,0.0,24.0,"Impedence, Stiffness"
F2_2,24.0,0.4545454545454545,2024-10-10 17:31:45,0.5,4.0,27.0,Stiffness
F2_3,32.0,0.3750000000000001,2024-10-10 17:34:17,0.5,4.0,16.0,Stiffness
F2_3,24.0,0.6250000000000002,2024-10-10 17:34:48,0.5,4.0,31.0,Stiffness
F2_3,32.0,0.8750000000000001,2024-10-10 17:35:19,0.1,2.0,31.0,Stiffness
F2_3,24.0,0.0,2024-10-10 17:37:29,0.0,0.0,21.0,"Impedence, Stiffness"
F2_3,40.0,1.0,2024-10-10 17:37:56,0.5,4.0,27.0,Stiffness
F2_3,40.0,0.8750000000000001,2024-10-10 17:38:21,1.0,5.0,25.0,Stiffness
F2_3,40.0,0.3750000000000001,2024-10-10 17:38:44,0.3,3.0,23.0,Stiffness
F2_3,32.0,0.5000000000000001,2024-10-10 17:39:16,1.0,5.0,32.0,Stiffness
F2_3,32.0,0.1249999999999999,2024-10-10 17:39:36,0.0,0.0,20.0,"Impedence, Stiffness"
F2_3,24.0,0.3750000000000001,2024-10-10 17:40:15,1.0,5.0,39.0,Stiffness
F2_3,40.0,0.1249999999999999,2024-10-10 17:41:07,0.1,2.0,25.0,Stiffness
F2_3,24.0,0.2500000000000001,2024-10-10 17:42:18,0.1,2.0,38.0,Stiffness
F2_3,40.0,0.0,2024-10-10 17:43:34,0.0,0.0,31.0,"Impedence, Stiffness"
F2_3,32.0,0.1249999999999999,2024-10-10 17:44:06,0.3,3.0,32.0,Stiffness
F2_3,24.0,0.3750000000000001,2024-10-10 17:46:23,0.3,3.0,30.0,Stiffness
F3_1,40.0,0.2833333333333333,2024-10-10 19:26:13,0.1,2.0,22.0,Stiffness
F3_1,40.0,0.6833333333333332,2024-10-10 19:27:34,1.0,5.0,32.0,Stiffness
F3_1,24.0,0.6166666666666667,2024-10-10 19:28:07,0.3,3.0,33.0,Stiffness
F3_1,32.0,0.85,2024-10-10 19:29:07,0.5,4.0,26.0,Stiffness
F3_1,24.0,0.8666666666666667,2024-10-10 19:29:31,0.5,4.0,24.0,Stiffness
F3_1,24.0,0.8666666666666667,2024-10-10 19:30:38,1.0,5.0,37.0,Stiffness
F3_1,40.0,0.7000000000000001,2024-10-10 19:31:08,0.5,4.0,30.0,Stiffness
F3_1,40.0,0.6166666666666667,2024-10-10 19:32:32,0.3,3.0,38.0,Stiffness
F3_1,32.0,0.35,2024-10-10 19:33:28,0.1,2.0,27.0,Stiffness
F3_1,32.0,1.0,2024-10-10 19:33:57,1.0,5.0,29.0,Stiffness
F3_1,40.0,0.0,2024-10-10 19:34:58,0.0,0.0,19.0,"Impedence, Stiffness"
F3_1,32.0,0.5666666666666667,2024-10-10 19:35:25,0.3,3.0,27.0,Stiffness
F3_1,24.0,0.0,2024-10-10 19:35:42,0.0,0.0,17.0,"Impedence, Stiffness"
F3_1,32.0,0.0,2024-10-10 19:36:03,0.0,0.0,21.0,"Impedence, Stiffness"
F3_1,24.0,0.45,2024-10-10 19:36:50,0.1,2.0,24.0,Stiffness
F3_2,32.0,0.4827586206896551,2024-10-10 19:38:44,0.3,3.0,0.0,Stiffness
F3_2,32.0,0.896551724137931,2024-10-10 19:40:09,0.5,4.0,26.0,Stiffness
F3_2,24.0,0.0,2024-10-10 19:40:58,0.0,0.0,21.0,"Impedence, Stiffness"
F3_2,24.0,0.5517241379310345,2024-10-10 19:42:24,0.3,3.0,27.0,Stiffness
F3_2,40.0,0.0,2024-10-10 19:43:06,0.0,0.0,18.0,"Impedence, Stiffness"
F3_2,40.0,0.6206896551724138,2024-10-10 19:43:32,0.3,3.0,26.0,Stiffness
F3_2,32.0,0.4137931034482758,2024-10-10 19:44:03,0.1,2.0,31.0,Stiffness
F3_2,24.0,1.0,2024-10-10 19:45:10,1.0,5.0,31.0,Stiffness
F3_2,24.0,0.2413793103448275,2024-10-10 19:46:46,0.1,2.0,22.0,Stiffness
F3_2,24.0,0.896551724137931,2024-10-10 19:48:13,0.5,4.0,27.0,Stiffness
F3_2,40.0,0.396551724137931,2024-10-10 19:48:41,0.1,2.0,28.0,Stiffness
F3_2,32.0,0.9482758620689656,2024-10-10 19:49:04,1.0,5.0,23.0,Stiffness
F3_2,40.0,0.7068965517241379,2024-10-10 19:49:29,0.5,4.0,25.0,Stiffness
F3_2,40.0,1.0,2024-10-10 19:49:53,1.0,5.0,24.0,Stiffness
F3_2,32.0,0.0,2024-10-10 19:50:11,0.0,0.0,18.0,"Impedence, Stiffness"
F3_3,24.0,0.8275862068965517,2024-10-10 19:53:18,0.5,4.0,0.0,Stiffness
F3_3,24.0,0.0,2024-10-10 19:53:35,0.0,0.0,17.0,"Impedence, Stiffness"
F3_3,32.0,0.0,2024-10-10 19:53:53,0.0,0.0,18.0,"Impedence, Stiffness"
F3_3,40.0,1.0,2024-10-10 19:54:43,1.0,5.0,27.0,Stiffness
F3_3,40.0,0.8793103448275862,2024-10-10 19:55:19,0.5,4.0,36.0,Stiffness
F3_3,32.0,0.793103448275862,2024-10-10 19:55:43,0.5,4.0,24.0,Stiffness
F3_3,32.0,0.9482758620689656,2024-10-10 19:56:31,1.0,5.0,26.0,Stiffness
F3_3,40.0,0.4655172413793104,2024-10-10 19:56:54,0.1,2.0,23.0,Stiffness
F3_3,24.0,0.6379310344827587,2024-10-10 19:57:57,0.3,3.0,35.0,Stiffness
F3_3,40.0,0.0,2024-10-10 19:59:18,0.0,0.0,18.0,"Impedence, Stiffness"
F3_3,32.0,0.4310344827586207,2024-10-10 20:00:29,0.1,2.0,28.0,Stiffness
F3_3,24.0,0.8448275862068967,2024-10-10 20:01:41,1.0,5.0,26.0,Stiffness
F3_3,32.0,0.5862068965517241,2024-10-10 20:02:48,0.3,3.0,35.0,Stiffness
F3_3,40.0,0.3793103448275862,2024-10-10 20:04:07,0.3,3.0,26.0,Stiffness
F3_3,24.0,0.2413793103448275,2024-10-10 20:04:53,0.1,2.0,46.0,Stiffness
M1_1,40.0,0.8823529411764706,2024-10-11 19:01:07,0.5,4.0,0.0,Stiffness
M1_1,40.0,0.7058823529411765,2024-10-11 19:01:28,1.0,5.0,21.0,Stiffness
M1_1,24.0,0.8235294117647058,2024-10-11 19:02:35,0.3,3.0,19.0,Stiffness
M1_1,32.0,0.0,2024-10-11 19:02:56,0.0,0.0,21.0,"Impedence, Stiffness"
M1_1,32.0,0.7058823529411765,2024-10-11 19:04:31,0.3,3.0,23.0,Stiffness
M1_1,24.0,0.8235294117647058,2024-10-11 19:05:43,0.5,4.0,25.0,Stiffness
M1_1,24.0,0.4117647058823529,2024-10-11 19:06:05,0.1,2.0,22.0,Stiffness
