Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
F2_1,32.0,29.81,9,9.06,3,2024-10-10 17:10:25,0.5,4.0
F2_1,24.0,25.42,9,9.24,4,2024-10-10 17:10:50,1.0,5.0
F2_1,40.0,37.63,9,9.05,3.5,2024-10-10 17:11:15,0.3,3.0
F2_1,40.0,40.08,9,9.13,2.7,2024-10-10 17:11:53,0.3,0.0
F2_1,40.0,40.08,9,9.94,2,2024-10-10 17:12:18,0.1,0.0
F2_1,32.0,33.24,9,9.28,1.5,2024-10-10 17:12:39,1.0,5.0
F2_1,32.0,31.28,9,9.31,2,2024-10-10 17:12:59,0.3,3.0
F2_1,32.0,,9,9.44,2.3,2024-10-10 17:13:20,0.5,0.0
F2_1,24.0,27.86,9,9.97,2,2024-10-10 17:13:47,0.3,0.0
F2_1,24.0,24.44,9,9.09,2,2024-10-10 17:14:12,0.1,2.0
F2_1,32.0,30.3,9,9.12,1.3,2024-10-10 17:14:34,0.0,0.0
F2_1,24.0,25.42,9,9.43,1.3,2024-10-10 17:14:57,0.0,0.0
F2_1,40.0,39.1,9,9.72,1,2024-10-10 17:15:22,0.0,0.0
F2_1,32.0,33.72,9,9.97,2.5,2024-10-10 17:15:47,1.0,0.0
F2_1,40.0,39.1,9,9.1,2.3,2024-10-10 17:16:08,0.5,0.0
F2_1,40.0,,9,9.07,2.3,2024-10-10 17:16:36,1.0,0.0
F2_1,24.0,30.3,9,9.38,2,2024-10-10 17:17:05,0.1,0.0
F2_1,40.0,38.61,9,9.68,2.5,2024-10-10 17:17:30,0.1,2.0
F2_1,24.0,30.3,9,9.49,2.3,2024-10-10 17:17:57,0.5,4.0
F2_1,40.0,36.66,9,9.07,2,2024-10-10 17:18:16,0.5,4.0
F2_1,24.0,32.26,9,9.03,2.7,2024-10-10 17:18:43,0.3,3.0
F2_1,32.0,29.33,9,9.91,2,2024-10-10 17:19:03,0.1,2.0
F2_1,32.0,31.28,9,9.35,1.7,2024-10-10 17:19:21,0.3,0.0
F2_1,24.0,28.84,9,9.88,1.3,2024-10-10 17:19:44,0.5,0.0
F2_1,32.0,30.79,9,9.33,1.2,2024-10-10 17:20:06,0.1,0.0
F2_1,40.0,40.57,9,9.77,1.1,2024-10-10 17:20:29,1.0,5.0
F2_1,24.0,29.81,9,9.23,1.5,2024-10-10 17:20:57,1.0,0.0
