Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
F4_T,40.0,35.19,9,9.47,9,2024-10-21 19:20:45,0.3,3.0
F4_T,32.0,32.26,9,9.32,7,2024-10-21 19:21:18,0.0,0.0
F4_T,32.0,31.77,9,9.88,8,2024-10-21 19:21:55,0.3,3.0
F4_T,24.0,25.9,9,9.58,4,2024-10-21 19:22:21,0.5,0.0
F4_T,40.0,37.15,9,9.44,2,2024-10-21 19:22:44,0.1,2.0
F4_T,24.0,27.86,9,9.95,1.5,2024-10-21 19:23:09,0.3,0.0
F4_T,40.0,36.66,9,9.48,0.8,2024-10-21 19:23:43,0.3,0.0
F4_T,40.0,40.57,9,9.29,8,2024-10-21 19:24:11,1.0,0.0
F4_T,32.0,34.21,9,9.43,9.8,2024-10-21 19:24:35,0.5,4.0
F4_T,32.0,,9,9.62,6,2024-10-21 19:25:11,1.0,5.0
