Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
M6_2,32.0,29.33,9,10.15,3,2024-10-16 16:26:34,0.3,0.0
M6_2,24.0,24.93,9,10.06,1,2024-10-16 16:27:00,0.1,0.0
M6_2,40.0,37.63,9,9.05,1,2024-10-16 16:27:20,0.1,0.0
M6_2,40.0,,9,10.02,2,2024-10-16 16:27:43,0.5,4.0
M6_2,32.0,34.7,9,9.65,8,2024-10-16 16:28:09,0.3,3.0
M6_2,24.0,25.42,9,10.01,6,2024-10-16 16:28:45,1.0,0.0
M6_2,24.0,22.97,9,10.23,3,2024-10-16 16:29:20,0.1,2.0
M6_2,40.0,37.15,9,9.08,2,2024-10-16 16:29:42,0.3,0.0
M6_2,32.0,35.68,9,9.6,1,2024-10-16 16:30:09,0.1,0.0
M6_2,40.0,39.59,9,9.16,0,2024-10-16 16:30:27,0.0,0.0
M6_2,32.0,39.59,9,9.57,4,2024-10-16 16:30:48,0.1,2.0
M6_2,32.0,31.77,9,9.47,9,2024-10-16 16:31:13,0.5,4.0
M6_2,40.0,37.63,9,9.02,5,2024-10-16 16:31:39,0.3,3.0
M6_2,32.0,33.24,9,9.78,0,2024-10-16 16:31:59,0.0,0.0
M6_2,40.0,30.79,9,9.39,3,2024-10-16 16:32:22,0.5,0.0
M6_2,32.0,34.7,9,10.22,7,2024-10-16 16:32:53,1.0,0.0
M6_2,40.0,40.08,9,9.38,10,2024-10-16 16:33:12,1.0,5.0
M6_2,40.0,,9,9.95,5,2024-10-16 16:33:40,0.1,2.0
M6_2,24.0,29.81,9,10.09,10,2024-10-16 16:34:07,1.0,5.0
M6_2,24.0,23.46,9,9.97,9,2024-10-16 16:34:28,0.5,4.0
M6_2,32.0,25.42,9,10.15,9.5,2024-10-16 16:34:50,1.0,5.0
M6_2,24.0,29.33,9,9.01,10,2024-10-16 16:35:18,0.5,0.0
M6_2,24.0,23.46,9,9.14,2,2024-10-16 16:35:47,0.0,0.0
M6_2,40.0,38.61,9,10.49,4,2024-10-16 16:36:16,1.0,0.0
M6_2,24.0,28.84,9,9.25,7,2024-10-16 16:36:41,0.3,3.0
M6_2,24.0,23.46,9,9.56,2,2024-10-16 16:37:07,0.3,0.0
M6_2,32.0,30.3,9,10.12,3,2024-10-16 16:37:44,0.5,0.0
