Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
M8_T,32.0,29.33,9,9.46,30,2024-10-21 15:22:19,0.1,0.0
M8_T,24.0,25.9,9,9.82,40,2024-10-21 15:22:41,0.5,0.0
M8_T,32.0,30.3,9,9.54,10,2024-10-21 15:23:02,0.0,0.0
M8_T,40.0,37.63,9,9.96,60,2024-10-21 15:23:31,0.5,4.0
M8_T,24.0,28.84,9,9.09,40,2024-10-21 15:23:52,0.1,2.0
M8_T,24.0,21.02,9,9.95,20,2024-10-21 15:24:19,0.1,0.0
M8_T,40.0,36.66,9,9.32,10,2024-10-21 15:24:56,0.0,0.0
M8_T,40.0,40.57,9,9.5,40,2024-10-21 15:25:40,0.3,3.0
M8_T,32.0,33.24,9,9.4,35,2024-10-21 15:26:05,0.5,0.0
M8_T,32.0,31.28,9,9.63,40,2024-10-21 15:26:33,0.1,2.0
