name,perception,maxforce,timestamp
nayoung_I_1,3,0.3,2024-09-19 16:35:32
nayoung_I_1,3,0.3,2024-09-19 16:35:41
nayoung_I_1,1,0.0,2024-09-19 16:35:48
nayoung_I_1,4,0.5,2024-09-19 16:35:53
nayoung_I_1,4,0.5,2024-09-19 16:35:58
nayoung_I_1,3,0.3,2024-09-19 16:36:04
nayoung_I_1,1,0.0,2024-09-19 16:36:08
nayoung_I_1,2,0.1,2024-09-19 16:36:13
nayoung_I_1,2,0.1,2024-09-19 16:36:18
nayoung_I_1,5,1.0,2024-09-19 16:36:24
nayoung_I_1,5,1.0,2024-09-19 16:36:32
nayoung_I_1,1,0.0,2024-09-19 16:36:38
nayoung_I_1,4,0.5,2024-09-19 16:36:44
nayoung_I_1,3,0.3,2024-09-19 16:36:50
nayoung_I_1,4,0.5,2024-09-19 16:36:56
nayoung_I_1,5,1.0,2024-09-19 16:37:09
nayoung_I_1,3,0.3,2024-09-19 16:37:15
nayoung_I_1,4,0.5,2024-09-19 16:37:24
nayoung_I_1,1,0.0,2024-09-19 16:37:29
nayoung_I_1,2,0.1,2024-09-19 16:37:34
nayoung_I_1,1,0.0,2024-09-19 16:37:38
nayoung_I_1,2,0.1,2024-09-19 16:37:42
nayoung_I_1,3,0.3,2024-09-19 16:37:47
nayoung_I_1,4,0.5,2024-09-19 16:37:55
nayoung_I_1,3,0.3,2024-09-19 16:38:04
